# This is a comment line to skip
username,age,salary,score,note
sierra_evans_5984,83.0,25.1,65.2,"""(Rich discover different) , Sit research and Still exist just capital"""
mr_dds_3662,84.0,59.1,2.2,"""Join discover; Middle issue , Vote performance none notice"""
ian_clarke_1288,49.0,25.1,52.2,"""Arrive house thank answer why; Contain ground benefit might fight reality , Great raise"""
amanda_stafford_2351,42.0,90.1,70.2,"""Sister senior, Actually quality right Reality"""
jonathan_jones_1451,59.0,100.1,3.2,"""Present common office hit, View eat among around Seem meet degree"""
maria_jordan_7438,35.0,34.1,32.2,"""(Last traditional growth) , Life amount individual and Town necessary believe"""
mary_jones_5518,68.0,23.1,80.2,"""Blood south; Weight herself seek , Room her want to through network"""
lindsay_andrews_7537,5.0,,40.2,"""(Charge whole) , Live site inside case discussion media and Stuff he"""
mrs_md_6173,20.0,55.1,26.2,"""Many financial force voice; Sound own Congress animal , Energy treat ask"""
gina_brewer_8358,83.0,30.1,63.2,"""Feel despite; Series play , Would may"""
jennifer_jones_4978,79.0,14.1,59.2,"""(Any tonight after to) , Career social reach red police science and Room thing sport"""
stacy_johnson_1563,71.0,45.1,57.2,"""(Ok together) , Nation director change structure and Let"""
willie_perez_0914,39.0,78.1,9.2,"""(Alone increase computer need) , Age think true and Voice the"""
bobby_fernandez_1266,17.0,19.1,55.2,"""(Long top sense loss can) , Author part fall and Beyond perhaps standard those"""
luis_mann_2813,8.0,88.1,10.2,"""Card world age: Join fear car, End feel teach"""
angel_tucker_4116,54.0,20.1,28.2,"""Figure; Interview many level economic play , Congress then"""
robert_blevins_8529,91.0,71.1,26.2,"""Significant reflect three most when, Always major change into Scene partner sound international"""
elizabeth_cook_0802,88.0,80.1,64.2,"""Base enter various: Body remain, Television media"""
scott_davenport_3234,91.0,58.1,28.2,"""Score, Thing recognize reflect Official sure enter must case"""
shannon_ramirez_7392,65.0,20.1,62.2,"""Reveal huge good big, Sign on Reality tax require"""
aaron_martinez_4476,92.0,7.1,48.2,"""Rise develop contain seven level; Government fight , Camera day scene listen believe"""
robert_leonard_6664,28.0,83.1,93.2,"""And entire player, Challenge else join During type international"""
denise_miller_2767,95.0,36.1,88.2,"""Upon he identify agree your; Specific herself never somebody , Who go anyone"""
lindsey_robinson_1114,91.0,68.1,41.2,"""Week role poor, High From defense cell finally life"""
tina_miller_0528,19.0,99.1,86.2,"""Every common food; Child , Risk"""
christian_romero_4960,,15.1,86.2,"""Where message shoulder; Including white central cover very , Those effort budget"""
carolyn_leon_2178,72.0,61.1,,"""Sell international future; Employee , Care political hour purpose"""
sarah_ray_8360,81.0,75.1,62.2,"""Tonight out court past, Camera watch thousand Full family high"""
edward_baker_6373,87.0,8.1,27.2,"""Mouth no film explain; Mother , Old project list goal almost"""
christopher_mills_2740,61.0,16.1,40.2,"""Shake toward travel: Building do, Lot"""
brittany_salazar_0109,92.0,30.1,22.2,"""Parent; Couple benefit you , Recent class"""
zachary_scott_8136,87.0,95.1,88.2,"""Program general, Seem order card Season cold"""
eric_bray_9695,11.0,68.1,66.2,"""Indeed play hope least; Like civil which world , High father member away"""
