username	salary	message	comment
carole_kemp_7263	77.0	"""Asperiores veritatis nisi	 Facere nihil assumenda veritatis praesentium adipisci Quidem tempore recusandae"""	"""Error maiores fugit omnis: Pariatur	 Ut voluptatum inventore deserunt"""
patrick_harvey_6801	95.0	"""(Sint) 	 Aut beatae and Ducimus aut commodi quidem quis perferendis"""	"""Note: Commodi atque qui	 then Rerum nihil earum"""
cameron_thompson_8505	76.0	"""Quo deleniti adipisci quas	 Quos expedita Aliquid dolorem minima non"""	"""Illum distinctio: Earum ipsa optio ratione facere	 Unde adipisci tenetur tempora perferendis"""
hollie_brown_0093	43.0	"""Ducimus at dolorem quae; Eum in dolor odio 	 Reiciendis quibusdam nihil quas quo aliquid"""	"""(Aperiam et) 	 Repudiandae voluptatem officia and Quis tempore"""
elliott_jones_3255	65.0	"""(Ea consequuntur reiciendis facilis perferendis) 	 Tempore and Cumque consequuntur nihil"""	"""Esse deleniti saepe in mollitia repellat	 Repellendus doloremque voluptatem consequuntur Dolores vitae officiis"""
patrick_burton_5711	7.0	"""Blanditiis sit voluptas; Dolorum numquam 	 Quis nostrum aperiam eligendi nostrum"""	"""Deleniti dolorem a; Assumenda temporibus quisquam quaerat nobis 	 Adipisci dolor veniam"""
david_bates_2161	44.0	"""Note: Eligendi hic laboriosam possimus	 then Ut possimus corrupti"""	"""Tempore	 Beatae in vel Id impedit eum odit"""
dr_patterson_9882	87.0	"""Doloremque ipsam illo fugiat; Tenetur ratione 	 Quo laboriosam quos"""	"""(Animi harum) 	 Numquam modi ex facilis and Vero veritatis perspiciatis"""
janet_smith_1270	98.0	"""Odit at velit perspiciatis excepturi; Veritatis id 	 Est"""	"""(Eaque corrupti nihil) 	 Error incidunt necessitatibus similique accusantium and Quae commodi laboriosam"""
nicole_stanley_7652	44.0	"""Note: Deleniti	 then Consectetur natus"""	"""Rem earum dolorum porro ipsum: Nulla	 Fugit"""
jacqueline_harrison_8381	25.0	"""Voluptate est totam; Magnam modi consequuntur consequuntur commodi magni 	 Consectetur eveniet voluptate"""	"""Soluta nobis maiores	 Necessitatibus voluptatibus tempore tempore maiores accusamus Maxime"""
kirsty_owen_8411	6.0	"""Note: Hic nisi quibusdam possimus	 then Reiciendis distinctio nisi"""	"""(Unde neque sequi quaerat) 	 Quae quos accusantium autem inventore and A temporibus voluptates provident voluptatem"""
owen_wells_0227	86.0	"""Neque voluptatibus: Optio nemo	 Aliquid fugit"""	"""Note: Enim error laudantium illo	 then Nulla ipsa"""
keith_reid_6111	36.0	"""Note: Temporibus repudiandae tenetur	 then Sint voluptatum"""	"""Repellendus quasi ullam; Quis 	 Quo tenetur unde sapiente"""
hugh_lyons_6295	81.0	"""Nobis ad voluptatibus; Veritatis earum 	 In modi mollitia"""	"""(Aliquid magni culpa) 	 Fuga and Est quam assumenda consectetur minima"""
liam_robinson_7786	61.0	"""Eaque accusantium at modi	 Modi modi nisi blanditiis Recusandae esse esse"""	"""Voluptatem commodi necessitatibus neque; Eveniet 	 Necessitatibus soluta dignissimos quod"""
mr_payne_2126	64.0	"""Hic; A a repellendus quisquam 	 Voluptates ut magnam"""	"""(Magnam iure perspiciatis tenetur explicabo blanditiis) 	 Corporis aspernatur quod accusamus dolor laborum and Placeat"""
holly_bird_6800	6.0	"""Note: Necessitatibus itaque excepturi eaque aspernatur	 then Incidunt nemo"""	"""At cumque eum deserunt: Quasi nesciunt	 Recusandae aspernatur quas iste distinctio"""
allan_moore_4147	21.0	"""Vero deleniti unde cumque reiciendis	 Similique sit eaque incidunt Impedit nihil"""	"""Note: Placeat eaque tempora quae	 then Harum illo saepe quaerat nisi cumque"""
