name,username,score,rating,price,remark
Tom Bailey,tom_bailey_8521,39.0,87.1,83.2,"""Reiciendis nostrum accusamus eveniet; Alias accusantium atque ipsum minus , Iste"""
Dr Mark Vincent,dr_vincent_5306,17.0,26.1,71.2,"""(Commodi) , Commodi quasi and Rem"""
Mr Keith Kerr,mr_kerr_3230,5.0,76.1,50.2,"""Rerum nostrum: Similique eaque dolorum, Reiciendis fuga dolores sequi"""
Miss Kim Bentley,miss_bentley_8567,31.0,35.1,48.2,"""Nobis debitis facere; Exercitationem a , Voluptates impedit ut"""
Nicola Cole,nicola_cole_0528,25.0,39.1,92.2,"""Excepturi error animi: Excepturi iste quidem labore illo, Quos labore"""
Kate Fry,kate_fry_0505,77.0,21.1,85.2,"""(Quibusdam quae quidem earum asperiores voluptatibus) , Reiciendis veritatis and Tenetur"""
Guy Watson,guy_watson_0441,11.0,52.1,89.2,"""Nobis amet alias quis; Aperiam odit voluptatem , Facere labore repudiandae placeat mollitia"""
Kim Bull,kim_bull_0100,33.0,81.1,67.2,"""Velit maxime ratione iusto: Id dolor illum, Iste nihil a sapiente explicabo"""
Tracey George,tracey_george_2919,59.0,,81.2,"""Corrupti, Eaque eligendi aperiam Occaecati"""
Dr Wayne Knowles,dr_knowles_2082,98.0,56.1,5.2,"""Note: Veniam deserunt ex quos, then Dicta impedit"""
Linda Williamson-Franklin,linda_franklin_9088,18.0,14.1,35.2,"""(Aliquid vitae) , Earum sed aut quo and Laudantium"""
Mrs Melanie Jones,mrs_jones_4557,45.0,62.1,87.2,"""Pariatur culpa soluta deleniti; Ut harum autem ad , Odit eius"""
Dominic Gordon,dominic_gordon_4511,22.0,80.1,98.2,"""Note: Dignissimos ducimus temporibus velit reiciendis, then Dolores possimus mollitia neque laudantium"""
Mr Nigel Ali,mr_ali_4234,51.0,44.1,22.2,"""(Repudiandae possimus) , Numquam accusantium and Exercitationem qui"""
Dr Nathan Boyle,dr_boyle_5425,80.0,29.1,87.2,"""Odit dolore neque laboriosam debitis rem: Vel illo ipsam ea, Molestiae sapiente sed"""
Maria Sinclair,maria_sinclair_6953,81.0,54.1,59.2,"""Nemo: Est eligendi quibusdam expedita, Voluptatem nisi"""
Dr Bryan Roberts,dr_roberts_8456,75.0,73.1,4.2,"""Dolor; Temporibus earum tempore laboriosam quisquam quam , Beatae"""
Colin Rowe-Taylor,colin_taylor_7376,44.0,78.1,15.2,"""Note: Facilis, then Odit illum"""
Mr Keith Lawrence,mr_lawrence_4570,4.0,17.1,83.2,"""Esse quaerat inventore reprehenderit, Nostrum debitis dolores odio praesentium autem Minima aliquid doloremque laboriosam explicabo aspernatur"""
Janice Rogers,janice_rogers_6818,42.0,91.1,86.2,"""Veniam atque maxime et: Optio maxime repudiandae dolorum fuga, Assumenda ad magni nihil iure"""
Neil Stephenson-Morris,neil_morris_2072,76.0,55.1,61.2,"""Iusto aliquid alias, Nam Voluptate"""
Josh Bowen-Atkinson,josh_atkinson_7346,95.0,72.1,20.2,"""Illo ipsam voluptatem nostrum: Maxime necessitatibus, Praesentium beatae illum fugiat nostrum"""
Lawrence Young,lawrence_young_1294,74.0,19.1,62.2,"""Exercitationem iure voluptatum, Inventore eligendi officiis molestias Dolorem"""
Beverley Patel,beverley_patel_7720,55.0,18.1,81.2,"""At: Doloremque ab, Iste error reprehenderit voluptate"""
Julia Clark,julia_clark_7250,35.0,17.1,51.2,"""(Iste) , Dignissimos hic recusandae and Nesciunt asperiores adipisci"""
Dr Elliott Jordan,dr_jordan_3178,48.0,81.1,18.2,"""Note: Deleniti commodi atque, then Placeat voluptas molestiae nihil eaque"""
A,james_saunders_6546,44.0,95.1,50.2,"""Non quas, Occaecati corporis quam consectetur Cupiditate voluptatibus necessitatibus dolorem"""
Malcolm Ahmed,malcolm_ahmed_9670,56.0,5.1,59.2,"""Ipsa unde a, Dicta eius asperiores ad fuga provident Saepe"""
Christian Jones,christian_jones_9762,42.0,87.1,47.2,"""Note: Omnis veniam, then Adipisci cumque modi perferendis"""
Stanley Wilkinson,stanley_wilkinson_2053,95.0,70.1,72.2,"""Nesciunt: Atque quasi, Repellat dolorem facere"""
Gavin Taylor,gavin_taylor_1812,65.0,18.1,77.2,"""Note: Delectus facere minus ratione culpa, then Earum delectus"""
Mr Leon Chan,mr_chan_1280,14.0,48.1,,"""(Maxime provident) , Nam omnis cumque and Corporis placeat repudiandae a"""
Howard Jones,howard_jones_0039,,31.1,6.2,"""Nostrum perspiciatis quam voluptatem tenetur; Atque dolorem , Enim quisquam laudantium amet"""
