# This is a comment line to skip
username;name;salary;description
lisa_cox_6805;Lisa Cox;10.0;'''Dog very: Management prove network understand; Bank over'''
holly_hernandez_1599;Holly Hernandez;14.0;'''Themselves effect economy politics dinner; City never seat most including somebody ; Behind station person'''
heather_dorsey_3296;Heather Dorsey;43.0;'''Note: Exactly lay whatever throughout level; then Newspaper'''
william_villegas_2904;William Villegas;59.0;'''(Within rate result) ; Nearly find society near and Grow suggest sort'''
tammy_henry_5464;Tammy Henry;46.0;'''Here; Computer ; My letter back home data area'''
vickie_mejia_5496;Vickie Mejia;32.0;'''Position trade century: Community expert; Like standard establish'''
richard_wright_4665;Richard Wright;73.0;'''Note: Range; then Long community remember'''
yolanda_jones_9160;Yolanda Jones;13.0;'''(Material) ; Protect change and Prevent star'''
teresa_carter_1966;Teresa Carter;70.0;'''Them send: Seek paper student note marriage; Myself'''
keith_young_0011;Keith Young;81.0;'''Cup table me; Forget score ; Economic meeting'''
caitlin_burke_4753;Caitlin Burke;99.0;'''Somebody forget himself: Great main sport government discuss answer; Skill out break'''
jacob_brown_2537;Jacob Brown;70.0;'''Also: Difficult describe; Weight son they significant fill worker'''
james_travis_6783;James Travis;10.0;'''Example; Foreign research easy almost threat perform Her'''
louis_harrison_6797;Louis Harrison;64.0;'''(Son) ; Despite measure part into and Line take use'''
anita_espinoza_1077;Anita Espinoza;31.0;'''(Understand modern heavy) ; Strong later month again and Experience yes'''
jessica_strickland_1072;Jessica Strickland;78.0;'''Note: Church me ahead; then Fill probably lay perform baby'''
ricardo_taylor_5670;Ricardo Taylor;4.0;'''Half; Special blue data state ; Whatever once so college'''
kelly_foster_3605;Kelly Foster;50.0;'''Camera collection something; Federal condition ; Today will'''
jacqueline_sheppard_0260;Jacqueline Sheppard;94.0;'''(Knowledge those success cultural) ; Instead say either and Common fire lead bag'''
pamela_khan_2217;Pamela Khan;58.0;'''Writer probably: Relationship project bring; Commercial believe sound'''
teresa_gentry_8964;Teresa Gentry;71.0;'''Include you live; Treatment ; Customer young perform'''
christopher_martin_5608;Christopher Martin;95.0;'''Note: Deal remember; then Investment notice'''
steven_moore_4998;Steven Moore;96.0;'''Something tax employee; Box view concern glass Their challenge fine'''
katherine_brown_9319;Katherine Brown;52.0;'''Alone way one pick: Open truth; Issue throughout'''
lisa_jenkins_5082;Lisa Jenkins;77.0;'''Commercial affect economic; Itself career group ; Politics war again evening'''
michelle_nichols_6545;Michelle Nichols;44.0;'''Television couple pressure decide top board; House site risk Billion'''
kelly_white_8660;Kelly White;26.0;'''Soldier international: Board; Practice born join'''
john_mendez_5714;o;;'''Per price: Total; Do share'''
marcus_lewis_8873;Marcus Lewis;32.0;'''Describe prepare some job; Class organization kind physical character ; Discuss nation doctor'''
dawn_hill_5026;Dawn Hill;16.0;'''Company: Finish western; Administration company'''
rodney_roman_6087;Rodney Roman;53.0;'''Note: Side; then Stock'''
robert_lamb_7775;Robert Lamb;2.0;'''Stop cell about piece similar; On pressure budget difficult ; Image health or newspaper contain'''
luis_martinez_0040;Luis Martinez;67.0;'''Debate through similar service; People consider Lay society technology'''
paul_gardner_2062;Paul Gardner;14.0;'''(Admit professor) ; Stand house and Really have'''
andrew_goodwin_4694;Andrew Goodwin;64.0;'''(Feeling language) ; Election develop and How bad'''
tammy_woods_8819;Tammy Woods;16.0;'''Now work section respond word him; Few up Score poor from child once people'''
eric_phd_1180;Eric White PhD;16.0;'''Art occur camera: Rock sing out happen; Public full'''
tony_perez_7143;Tony Perez;84.0;'''Leg thank skin; Need deal management catch ; Central kitchen firm gun'''
kelly_curtis_9285;Kelly Curtis;65.0;'''(Ball summer cause) ; Research help soldier and Actually store'''
mandy_nicholson_2932;Mandy Nicholson;2.0;'''Such eye role; Research better ; Eat use plan off camera'''
thomas_howard_6576;Thomas Howard;64.0;'''Structure; Act director guy building move Real doctor her'''
debbie_campbell_9531;Debbie Campbell;5.0;'''Product: Age forget sea; Brother know'''
