name,age,total_count,rating,comment
Roger Adams,72.0,30.1,23.2,'''Itaque sapiente fugiat vel totam sequi: Repudiandae consequuntur in, Illo odit voluptatibus'''
Miss Jean Payne,67.0,6.1,96.2,'''Vero consequatur reiciendis eius repudiandae, Optio voluptates alias Modi'''
e,6.0,4.1,95.2,'''Note: Rem quis officia quibusdam, then Occaecati eius'''
Mrs Suzanne Cox,69.0,34.1,17.2,'''(Aperiam tempore) , Itaque laborum and Ab itaque accusantium inventore'''
Robin Page,39.0,89.1,4.2,'''Note: Veritatis dolorum sequi, then Similique error veniam'''
Dr Paul Cook,35.0,,,'''(Provident) , Reiciendis animi and Provident dicta'''
Janice Smith-Smith,74.0,74.1,52.2,'''Note: Deleniti debitis, then Unde deserunt'''
Mrs Lorraine Wilson,58.0,69.1,16.2,'''Delectus quisquam exercitationem: Illum blanditiis architecto culpa odio, Eius atque tempore tempore non'''
Samantha Moran,73.0,24.1,88.2,'''(Optio ea ullam numquam) , Eligendi perspiciatis voluptatum and Fugit fuga'''
Jill Dennis,66.0,45.1,82.2,'''(Temporibus sapiente illo sed) , Veritatis eos reiciendis and Quia'''
Sophie Roberts-Cook,3.0,68.1,60.2,'''Sint ullam nemo, Optio laboriosam odit soluta Voluptatum quaerat incidunt totam'''
Karen Parry,16.0,22.1,68.2,'''(Voluptatum sunt ex) , Quos repellat debitis laborum impedit incidunt and Architecto quasi'''
Mrs Stephanie Steele,59.0,74.1,19.2,'''Rem tenetur recusandae; Mollitia mollitia , Vel culpa quidem laboriosam'''
Barry Jenkins,80.0,57.1,44.2,'''Quae eligendi ab: Dolor minus sapiente optio, Voluptate aspernatur eligendi'''
Connor Scott-Sanders,41.0,4.1,11.2,'''Iusto numquam eveniet dolorum eos, Rem nisi Similique'''
Keith Harris,,10.1,33.2,'''Voluptates corporis reprehenderit: Suscipit fugit, Eos omnis quia'''
Ms Georgia Turner,73.0,73.1,59.2,'''(Hic cupiditate) , Omnis alias quis and Rem'''
Naomi Warren,16.0,100.1,52.2,'''Note: Aut at deserunt voluptatem, then Ipsa deserunt nisi'''
Clive Armstrong,99.0,22.1,10.2,'''(Vero) , Quisquam distinctio eum maxime and Accusantium maiores autem'''
Mr Maurice Shaw,6.0,10.1,8.2,'''A rem error voluptas, Architecto ad deleniti Dolorem'''
