# This is a comment line to skip
username;name;score;rating;salary;note
angela_foster_0132;Angela Foster;90.0;23.1;58.2;"""(Simply create) ; Heart social light close and Pull listen rest certain"""
gregory_norton_7514;Gregory Norton;14.0;23.1;93.2;"""Note: Window campaign; then Product fish"""
brandon_bennett_9130;Brandon Bennett;41.0;82.1;95.2;"""(Conference image) ; Less and Floor hotel"""
michael_boyd_3889;Michael Boyd;41.0;61.1;38.2;"""Congress floor lose drug; Population low Glass majority their trouble"""
matthew_alexander_0750;Matthew Alexander;39.0;60.1;68.2;"""Office ago; Once eye letter again plan ; Again happy"""
felicia_wheeler_3190;Felicia Wheeler;8.0;51.1;68.2;"""Decade total hit and blue; Mission most special grow Eat full"""
amanda_fischer_6187;Amanda Fischer;26.0;74.1;43.2;"""Job; Impact service military ; Up word site enjoy theory"""
michael_bradshaw_0846;Michael Bradshaw;91.0;21.1;83.2;"""Leg; Stay seem skin Democrat ; Likely pay whole"""
john_larson_1035;John Larson;68.0;48.1;;"""Movement ground glass score; Station list choice require year Magazine attention Mr always"""
cheyenne_cole_3792;Cheyenne Cole;29.0;67.1;39.2;"""Chair about: Dark responsibility believe cause also; Agree break"""
margaret_downs_9383;Margaret Downs;52.0;58.1;30.2;"""Note: Can more could black; then Share stop hundred better improve"""
kimberly_santiago_4470;Kimberly Santiago;5.0;42.1;12.2;"""Test describe wear painting light; Natural cultural Attention above because space"""
courtney_morris_2296;Courtney Morris;74.0;96.1;85.2;"""Century big range: Take ground quality should bar; Treatment dog know"""
sherry_diaz_7620;Sherry Diaz;52.0;15.1;65.2;"""Detail program: Option prevent; Source than everything past"""
alexis_nichols_3844;Alexis Nichols;80.0;81.1;44.2;"""Around spend become: Different pretty finish but hour; You fire assume two"""
jorge_parrish_7476;Jorge Parrish;41.0;83.1;25.2;"""(Win cultural feeling once contain) ; Call and Example data network"""
jose_king_9238;Jose King;91.0;7.1;27.2;"""Fund yourself ago force; Team trade never again pull ; Drive analysis write"""
zachary_powell_1534;Zachary Powell;88.0;8.1;90.2;"""Only candidate writer that: Successful hope phone box these; Book drug mind pass yet manager"""
dennis_mcfarland_4577;Dennis Mcfarland;47.0;62.1;40.2;"""Sell entire early; Under behind realize ; State wait"""
jared_silva_5293;Jared Silva;93.0;39.1;11.2;"""Oil; Specific us ; Without south"""
virginia_md_3830;Virginia Fernandez MD;68.0;50.1;100.2;"""Look them: Exactly particular; Trouble"""
emily_rios_0886;Emily Rios;95.0;98.1;78.2;"""Without professional event piece heavy; Only read follow Ago fact"""
john_campos_9933;John Campos;2.0;20.1;64.2;"""Note: Quite important go; then Coach value bed wrong"""
amanda_davis_3343;Amanda Davis;72.0;82.1;58.2;"""Note: Yard; then Talk two"""
joanne_lynn_1615;x;84.0;87.1;51.2;"""Note: Pressure since after; then Write"""
jason_thomas_4446;Jason Thomas;57.0;33.1;93.2;"""Mind create: Development; Pm brother life"""
joshua_day_7037;Joshua Day;14.0;98.1;16.2;"""Note: Recognize oil; then Radio put popular"""
marissa_bowers_7154;Marissa Bowers;53.0;93.1;44.2;"""Note: Office wish though serious fund; then Choice argue half trouble mission"""
christopher_bernard_6676;Christopher Bernard;;73.1;47.2;"""Myself under; Fall hour hair language light Pay"""
paul_jones_2846;Paul Jones;95.0;25.1;6.2;"""(Yeah such talk) ; Guess strong area and Represent down accept buy call"""
melissa_huffman_1657;Melissa Huffman;38.0;90.1;88.2;"""Week manage such; Skin here Serious"""
emily_aguirre_2124;Emily Aguirre;84.0;31.1;9.2;"""Standard enter; Tonight person practice early toward Glass wall save learn"""
jodi_fry_3533;Jodi Fry;86.0;72.1;6.2;"""More successful whether give article for: Gas member level other; Stock among water"""
erin_garcia_4256;Erin Garcia;36.0;;11.2;"""Note: Worry; then Ask purpose"""
carol_duncan_4583;Carol Duncan;74.0;6.1;93.2;"""Senior when different resource; Participant myself magazine Very box"""
jeff_dunn_3390;Jeff Dunn;25.0;18.1;70.2;"""(Manage call serious) ; Son yourself hard message community and Possible couple idea"""
brooke_ferguson_8792;Brooke Ferguson;71.0;10.1;96.2;"""Choose tough: Maintain point first large under; Say the"""
phillip_hughes_4543;Phillip Hughes;36.0;57.1;58.2;"""(Consider wall) ; Service past good sort behavior size and Six station"""
joseph_williams_1241;Joseph Williams;11.0;75.1;32.2;"""Note: Shoulder establish; then War listen them every"""
alexander_ellis_5605;Alexander Ellis;11.0;61.1;38.2;"""(Apply young discover drop how) ; Purpose money speech late expert and Billion"""
kim_valentine_4634;Kim Valentine;35.0;61.1;16.2;"""(Own organization model) ; Buy enter and Short between base news environment"""
david_pope_0602;David Pope;15.0;86.1;75.2;"""Hotel; After I civil ; Action student us"""
samantha_black_6716;Samantha Black;68.0;24.1;29.2;"""Note: Fear reach; then Throughout office democratic activity sing"""
matthew_huynh_3244;Matthew Huynh;94.0;36.1;93.2;"""Dog any give allow; Ok particularly material ; Bank charge firm perform than standard"""
kelly_smith_0736;Kelly Smith;55.0;22.1;7.2;"""Born local pay itself least heart; Hotel traditional ; Teacher across"""
