# This is a comment line to skip
username,salary,total_count,price,message
reece_patel_7771,78.0,31.1,62.2,'''Natus numquam nesciunt dolorem non, Nam ducimus rerum cupiditate Quae iure'''
charlie_fox_7730,92.0,9.1,57.2,'''(Voluptas dolorem) , Nam non dolore a enim and Vero quidem iste veritatis'''
dr_harvey_5771,2.0,53.1,1.2,'''Note: Natus ducimus labore, then Eos vero id totam'''
paul_bell_9945,52.0,53.1,57.2,'''Note: Nam, then Harum distinctio'''
dr_charlton_0317,35.0,54.1,42.2,'''Note: Tempora pariatur porro, then Voluptates et explicabo'''
joseph_kirk_2985,5.0,76.1,9.2,'''Sequi unde: Modi pariatur, Id maiores minus fugiat'''
shane_dawson_4206,29.0,94.1,6.2,'''(Vero labore) , Laboriosam dolor porro repellendus possimus and Eaque occaecati'''
jason_jones_0476,64.0,50.1,11.2,'''Note: Sunt expedita, then Omnis reiciendis quis sit ipsam'''
mrs_knowles_3164,87.0,98.1,92.2,'''Note: Sint dolorem quis accusamus voluptate quas, then Maxime amet non rerum'''
norman_franklin_4930,32.0,8.1,25.2,'''(Sapiente incidunt optio sapiente temporibus) , Quia iusto similique eius ad and A facere magnam facilis accusamus'''
donald_owen_6853,51.0,72.1,80.2,'''Mollitia quam quas; Aliquid reiciendis fugiat illo , Consectetur voluptatem'''
stuart_jones_0716,82.0,31.1,8.2,'''Quis culpa odit possimus, Excepturi Aliquam architecto'''
max_pearson_9346,95.0,50.1,12.2,'''Sed: Molestias dolor, Esse atque'''
miss_taylor_9715,15.0,1.1,84.2,'''Note: Iure, then Voluptatum unde'''
lisa_harris_7451,77.0,47.1,29.2,'''Accusantium mollitia; Voluptatem iste , Porro illo quaerat dolor'''
melissa_summers_4171,54.0,9.1,29.2,'''Unde mollitia; Officia rerum veritatis aspernatur , Fuga hic quibusdam'''
clare_howell_2416,93.0,58.1,7.2,'''Adipisci ex eveniet praesentium quis qui, Sequi corporis Unde tempora delectus'''
miss_richardson_6735,5.0,60.1,90.2,'''Note: Quasi soluta in eaque, then Quia pariatur nostrum at'''
miss_parsons_7983,66.0,75.1,20.2,'''Note: Suscipit corporis quaerat possimus autem corporis, then Veniam possimus'''
mohammad_lewis_4988,80.0,76.1,79.2,'''Temporibus unde fugit; Impedit excepturi , Cum'''
nathan_price_5476,24.0,65.1,85.2,'''Dolor nostrum maiores: Deleniti totam facilis, Quidem explicabo illum molestias'''
oliver_walker_0273,74.0,45.1,93.2,'''Officia: Quas pariatur dignissimos porro eos, Dolorem molestias facilis'''
miss_rowley_9161,27.0,73.1,37.2,'''Note: Atque voluptates sed quidem sapiente ad, then Blanditiis vero'''
ronald_holloway_3526,35.0,58.1,2.2,'''Eligendi quae maiores tenetur incidunt sint; Ex maiores , Nemo iusto nisi'''
brett_white_7460,100.0,17.1,94.2,'''Veritatis unde animi ullam: Repudiandae, Corporis quos molestias'''
tracy_wilson_0989,77.0,23.1,86.2,'''Note: Temporibus, then Cum id cum dolor'''
jordan_reed_1923,37.0,35.1,59.2,'''Numquam dolorum reiciendis: Non voluptatem aperiam, Et'''
jacqueline_taylor_0206,54.0,67.1,79.2,'''Note: Delectus distinctio quis enim voluptatem, then Tempore inventore iure quo est ullam'''
dr_holmes_2430,11.0,1.1,77.2,'''Note: Quisquam exercitationem aut, then Quae libero'''
mr_long_9911,62.0,82.1,47.2,'''Rerum corrupti possimus molestias, Ad Inventore aliquid'''
maria_cox_3161,49.0,65.1,79.2,'''(Vitae eaque) , Maxime porro sunt fuga corrupti and Laborum'''
