username;name;rating;price;review
mohammed_khan_4873;Mohammed Khan;35.0;3.1;"""(Magni exercitationem) ; Quidem and Eligendi deleniti"""
natalie_harrison_6499;Natalie Harrison;79.0;39.1;"""(Mollitia) ; Ipsam and Consectetur cumque aut"""
alison_howard_3654;Alison Howard;82.0;49.1;"""Note: Velit molestiae; then Ipsa rerum deserunt sequi debitis tempore"""
dr_reynolds_1984;Dr Karen Reynolds;7.0;73.1;"""(Facilis nemo repellendus quis) ; Tenetur quod and Itaque quasi dolor repudiandae dicta"""
dr_jones_3977;Dr Emma Jones;71.0;52.1;"""(Illo unde quo) ; Temporibus dolores and Aperiam"""
dr_smith_6346;Dr Ian Smith;73.0;18.1;"""Note: Alias saepe ea; then Animi fuga ipsa eligendi officiis"""
rhys_nash_0040;o;17.0;54.1;"""Repellat: Reprehenderit; Enim dolor explicabo"""
phillip_storey_4430;Phillip Storey;62.0;16.1;"""Libero vel nam esse; Nulla quae Ab saepe"""
ms_robinson_8123;Ms Tina Robinson;18.0;62.1;"""Nemo adipisci: Optio; Ad a"""
holly_mitchell_8782;Holly Mitchell;37.0;23.1;"""Unde labore sequi: At voluptates officia amet voluptates; Tenetur est"""
ms_foster_3619;Ms Alice Foster;53.0;31.1;"""Note: Minus incidunt minima; then Voluptas ad maxime"""
rachael_bird_1593;Rachael Bird;81.0;92.1;"""Aliquid eligendi molestiae aperiam: Error temporibus soluta; Libero earum"""
dr_jones_6767;Dr Damian Jones;55.0;;"""(Reprehenderit) ; Sunt fugiat consequatur and Voluptatibus dolores fugit"""
lawrence_harris_8771;Lawrence Harris;8.0;95.1;"""Praesentium quisquam eos ex; Iusto tempora Eligendi repellendus repudiandae rerum illum nemo quia"""
mrs_davies_0633;Mrs Nicole Davies;64.0;25.1;"""Impedit dolorem impedit; Aspernatur laudantium deserunt ; Nobis et omnis"""
brenda_mitchell_1169;Brenda Mitchell;67.0;41.1;"""(Accusantium nisi eius odit amet) ; Iste explicabo laborum est and Asperiores iure perspiciatis alias"""
dr_woods_1319;Dr Emily Woods;55.0;97.1;"""Note: Culpa; then Dignissimos"""
gareth_booth_0997;Gareth Booth;58.0;83.1;"""Vitae non numquam; Fuga at illum minima ; Tempore aut nemo"""
mrs_hilton_6704;Mrs Kirsty Hilton;;15.1;"""Quibusdam voluptate; Omnis debitis totam ; Autem quaerat"""
dr_norris_2906;Dr Sally Norris;61.0;15.1;"""(Molestias facere itaque) ; Odit and Velit"""
mr_wright_7338;Mr Jamie Wright;68.0;22.1;"""(Cupiditate labore) ; Asperiores molestias tempora and Similique"""
thomas_jones_8975;Thomas Jones;15.0;93.1;"""Note: Iste maxime; then Accusamus minus"""
adam_knowles_2924;Adam Knowles;24.0;94.1;"""Nobis perferendis inventore: Ullam quisquam exercitationem ullam ad; A temporibus"""
sian_neill_9832;Sian O'Neill;50.0;27.1;"""Expedita necessitatibus; Quia officiis exercitationem rem magni ; Dolorum animi amet ipsa"""
katie_allen_2752;Katie Allen;13.0;39.1;"""(Deleniti modi) ; Ipsum ipsam corporis and Deleniti"""
ms_marshall_3268;Ms Pauline Marshall;99.0;44.1;"""Note: Odit quidem libero; then Debitis incidunt earum"""
dr_mccarthy_4321;Dr Conor McCarthy;3.0;6.1;"""(Voluptatibus ea) ; Aperiam quae aliquam and Dolores quaerat nisi excepturi"""
christopher_webb_1226;Christopher Webb;48.0;57.1;"""Note: Deserunt expedita; then Neque ullam quis omnis odio qui"""
bethan_white_9467;Bethan White;24.0;26.1;"""(Libero doloribus voluptate quae rerum) ; Officiis dicta and Repellat ullam earum"""
kenneth_hughes_2816;Kenneth Martin-Hughes;100.0;77.1;"""(Consequuntur voluptatum blanditiis hic) ; Similique tenetur quo and Facilis ex"""
anne_read_2808;Anne Read;13.0;77.1;"""Note: Nobis nemo; then A"""
jill_harris_3108;Jill Harris;36.0;86.1;"""Qui ut optio; Dolore delectus repellendus aut beatae Odio maiores"""
shane_davies_6365;Shane Davies;86.0;68.1;"""Note: Neque doloribus; then Quas dolor"""
pamela_cook_7252;Pamela Cook;60.0;56.1;"""Note: Itaque; then Sequi alias"""
gerald_edwards_2533;Gerald Kaur-Edwards;20.0;11.1;"""Ratione facilis dolorum qui earum; Iusto Eaque amet"""
danielle_richards_0504;Danielle Richards;57.0;69.1;"""(Incidunt optio aperiam unde molestias) ; Accusamus beatae vero rem and Molestiae eligendi"""
allan_gallagher_5448;Allan Gallagher;20.0;57.1;"""(At natus) ; Atque delectus ipsum harum harum ullam and Cupiditate in quam soluta officia voluptatibus"""
anna_daniels_5503;Anna Williams-Daniels;31.0;55.1;"""Quis exercitationem iusto at nostrum voluptatum; Dignissimos mollitia ex repudiandae voluptatibus alias Sed quo"""
iain_graham_6561;Iain Graham;52.0;1.1;"""Aspernatur ipsum; Quidem adipisci ab eius ullam consequatur Alias dignissimos odio"""
