username,name,total_count,salary,price,note,description
sam_wright_0166,Sam Shah-Wright,7.0,44.1,68.2,"""Earum dolores ducimus atque; Deserunt quam facilis suscipit , Magni""","""(Beatae nobis nulla ducimus) , Voluptatibus and Ipsa tempore delectus voluptates cumque ut"""
tracy_parker_3173,Tracy Parker,86.0,49.1,93.2,"""Esse cupiditate nisi, Natus culpa Iure ea""","""Amet corporis accusantium illo, Totam Ipsam exercitationem"""
lewis_richards_4713,Lewis Richards,29.0,73.1,61.2,"""Aperiam nobis cupiditate facilis qui amet: Occaecati modi hic quo, Sapiente tempore nobis""","""Eveniet neque dolor; Modi distinctio , Ipsam quas quaerat"""
maurice_cook_3134,Maurice Cook,26.0,83.1,80.2,"""Cum harum incidunt, Commodi esse reiciendis libero nemo Amet""","""Eveniet suscipit voluptatem veritatis itaque; Veritatis earum adipisci dicta neque adipisci , Dolorem libero earum saepe nisi"""
mohammad_phillips_1945,Mohammad Bird-Phillips,,91.1,8.2,"""Note: Quas, then Beatae neque consequuntur""","""Note: Illo sunt quae, then Ducimus magnam voluptates"""
lydia_smith_1818,Lydia Smith,42.0,6.1,72.2,"""Blanditiis: Fugiat error omnis recusandae sint, Cupiditate debitis""","""Note: Dolor accusamus, then Assumenda quibusdam"""
sharon_hayes_7959,Sharon Hayes,52.0,57.1,78.2,"""Note: Placeat quasi, then Veniam accusamus""","""(Itaque esse) , Vero sint and At dolorem"""
malcolm_holt_5739,Malcolm Holt,28.0,21.1,60.2,"""Sapiente modi eveniet dolore illo; Quis , Soluta iusto alias""","""Aspernatur est eum vitae eligendi: Itaque omnis natus, Quia"""
glenn_williams_2341,Glenn Williams,25.0,82.1,19.2,"""Animi facilis iste ipsa: Quaerat dignissimos eius quia praesentium officiis, Corrupti minus quos""","""(Illum dolor nostrum) , Aspernatur soluta and Omnis aut enim consequuntur quibusdam vero"""
elaine_slater_7196,Elaine Slater,100.0,97.1,33.2,"""Modi molestiae: Illo voluptates eum illo quis, Nostrum""","""Aliquid quidem maiores qui; Enim occaecati , Assumenda nemo reiciendis velit quas"""
hollie_duffy_9288,Hollie Duffy,63.0,12.1,12.2,"""Sit eos qui dolores: Eos at, Non quos harum placeat""","""Iste ipsa, Reprehenderit similique odio illo ipsum dolor Similique sint porro hic nesciunt accusantium"""
andrew_warren_3417,Andrew Rees-Warren,49.0,61.1,88.2,"""(Quaerat hic) , Consequuntur and Inventore non non""","""Minus sequi cupiditate; Labore voluptatum a , Deleniti odio"""
ms_parker_8823,Ms Julia Parker,34.0,10.1,66.2,"""Culpa natus repellat, Mollitia Voluptatem nostrum iure""","""Eum quos quidem: Aperiam deserunt ipsam, Voluptatum voluptates dolorem"""
georgia_bailey_9729,Georgia Bailey,6.0,47.1,72.2,"""Necessitatibus cupiditate quos vel: Optio eum deserunt quibusdam, Id""","""Id soluta itaque iste eos, Nostrum facilis tempora Magni repudiandae recusandae"""
kirsty_wells_6997,Kirsty Wells,60.0,81.1,57.2,"""(Distinctio) , Facere repellendus inventore aliquid dolores asperiores and Labore dolor assumenda veniam""","""Note: Eius, then Quidem doloremque occaecati"""
jay_hope_7093,Jay Hope,91.0,35.1,72.2,"""(Harum repellat) , Veniam a vero earum and Necessitatibus impedit alias odit""","""Note: Occaecati dolorem iure similique, then Corporis ipsum tempore tempore quis dolores"""
jasmine_hudson_0479,Jasmine Hudson,97.0,34.1,63.2,"""(Enim labore animi dicta illum) , Recusandae fuga and Modi sapiente quos soluta""","""(Excepturi ullam) , Soluta aspernatur and Eveniet quis"""
miss_white_9314,Miss Gail White,78.0,66.1,60.2,"""Saepe mollitia velit nemo veniam, Commodi dolores nemo modi dolores Quas odio""","""Note: Soluta voluptatem temporibus dicta voluptatem, then Dicta laboriosam quo"""
amelia_davies_4166,Amelia Davies,67.0,8.1,,"""Note: Distinctio incidunt, then Facere molestias fuga ex placeat doloremque""","""Nemo quibusdam velit reprehenderit asperiores animi; Officia , Nobis explicabo temporibus"""
daniel_poole_5307,Daniel Patel-Poole,2.0,98.1,14.2,"""Neque vel odio nostrum eaque: Voluptatibus veritatis reiciendis optio, Architecto quibusdam""","""Ullam et, Magnam Impedit asperiores impedit nulla"""
stacey_thomas_2725,Stacey Thomas,22.0,72.1,22.2,"""Quod, Deleniti consequuntur Atque est id cum delectus""","""Error inventore: Laboriosam vitae consectetur corporis ut corrupti, Omnis earum excepturi"""
natalie_knight_9437,Natalie Knight,84.0,72.1,49.2,"""Nobis: Ullam nostrum mollitia ullam, Eligendi quo at""","""Ullam consequatur, Itaque id aliquid Repudiandae perspiciatis"""
jeffrey_harris_0577,Jeffrey Harris,79.0,97.1,4.2,"""Nisi: Adipisci aspernatur, Impedit ab tenetur porro minus""","""Fugit nobis veritatis maiores consequatur doloribus; Mollitia , Voluptates inventore"""
jack_stewart_0190,e,7.0,91.1,21.2,"""Laborum officia: Reiciendis animi dignissimos rerum officiis, Optio perferendis ullam illum""","""Quidem tempore similique nesciunt eveniet, Sapiente at ratione Saepe iure"""
patrick_walters_5850,Patrick Walters,2.0,12.1,10.2,"""Consectetur quas; Impedit assumenda sequi , Provident eaque culpa nam""","""Note: Dolor, then Exercitationem atque cupiditate veritatis"""
ashley_smith_2944,Ashley Williams-Smith,26.0,56.1,8.2,"""Quaerat nostrum consequatur praesentium ab; Deserunt quibusdam nulla esse repellat sed , Quisquam saepe in ab ea""","""Note: Molestiae hic suscipit, then Architecto"""
samuel_miller_7873,Samuel Miller,77.0,11.1,59.2,"""Mollitia quaerat expedita veritatis; Temporibus atque , Molestias modi assumenda rem sed""","""(Cupiditate iusto nostrum incidunt alias) , Voluptatem ut unde and Voluptate quia velit ut"""
mr_lewis_2875,Mr Stuart Lewis,63.0,72.1,81.2,"""Note: Distinctio odit, then Quod animi""","""Aut molestiae nam eius nihil cupiditate, Sunt ipsa atque qui mollitia Temporibus adipisci"""
timothy_fuller_8904,Timothy Connor-Fuller,85.0,,32.2,"""Eum fuga nobis blanditiis labore possimus; Nisi , Temporibus amet ratione enim numquam""","""(Explicabo nobis) , Placeat sed and Officiis"""
