username	name	salary	total_count	comment
joseph_massey_5461	Joseph Massey	32.0	57.1	'''Congress place near; Discuss 	 Everybody my such close'''
natalie_jones_5748	Natalie Jones	18.0	17.1	'''Note: Decide	 then Live best'''
mrs_dds_1547	Mrs. Hannah Snyder DDS	9.0	23.1	'''Note: Front current	 then Myself raise'''
ricky_griffin_7080	Ricky Griffin	35.0	46.1	'''(Station personal) 	 Way own many artist happen probably and Several near'''
michele_cox_7273	Michele Cox	75.0	36.1	'''Note: Water effort entire recently	 then Address network'''
justin_lowe_4720	Justin Lowe	94.0	34.1	'''Chance agency seem once not: On artist never southern	 Individual Republican positive'''
melissa_smith_9204	Melissa Smith	4.0	18.1	'''Weight say; You apply affect country 	 Level'''
janet_baker_3649	Janet Baker	44.0	31.1	'''Condition two wife	 Yet fund she Really model'''
heather_miller_4896	Heather Miller	8.0	73.1	'''Note: Follow cultural challenge million	 then Interview approach'''
mrs_smith_9067	x	90.0	56.1	'''Worry matter special data race only: Keep cut bank	 Enter'''
summer_hernandez_5139	Summer Hernandez	77.0	10.1	'''Especially clearly family budget; Include enjoy meet turn new 	 Total operation'''
tony_beck_1578	Tony Beck	78.0	97.1	'''Walk under: Positive	 Attorney'''
dr_dixon_7209	Dr. Desiree Dixon	6.0	40.1	'''(Experience) 	 Time partner first and Result box series'''
bruce_woods_5180	Bruce Woods	22.0	30.1	'''Response coach century	 Opportunity manage various child Building hour claim common'''
dustin_young_4927	Dustin Young	73.0	62.1	'''(Require recognize quickly magazine too role) 	 Write open available low major and Quality final'''
michael_brooks_9431	Michael Brooks	77.0	23.1	'''Business house girl pull than	 They then entire Care whom'''
sarah_jones_7745	Sarah Jones	9.0	8.1	'''Billion across; Risk 	 Two low'''
justin_williams_7978	Justin Williams	47.0	92.1	'''Note: Memory do perform	 then System'''
corey_johnson_9039	Corey Johnson	71.0	49.1	'''Say no door; Run student finish 	 Writer thousand defense'''
robert_garcia_8615	Robert Garcia	22.0		'''Design though term outside: Activity pay direction ago thus control	 Information between beautiful half'''
james_garcia_8787	James Garcia	50.0	55.1	'''Bring will want exactly back machine	 Finish Window institution car space'''
matthew_davis_3519	Matthew Davis	65.0	25.1	'''Will difference develop; Either step those form fire 	 Away short'''
hannah_butler_6618	Hannah Butler	91.0	24.1	'''(Decade down pass student) 	 Benefit evidence and Article'''
jason_james_9980	Jason James	84.0	18.1	'''Note: Current edge whatever parent require there	 then State firm prepare'''
ashley_wilson_5009	Ashley Wilson	11.0	59.1	'''Life administration	 To Democrat source author Deal worry remember whole want'''
daniel_jr_7698	Daniel Willis Jr.		33.1	'''(Style probably prevent sell song response) 	 The thought administration middle recognize and Many resource picture in picture production'''
justin_ross_6539	Justin Ross	82.0	73.1	'''Return lawyer politics: We medical blue	 Leave difference strategy often structure'''
david_anderson_7575	David Anderson	31.0	100.1	'''Move	 Ability grow truth local hold Or level state set what crime'''
james_berry_6667	James Berry	49.0	70.1	'''Note: Charge would	 then Realize step'''
caitlin_hanna_8657	Caitlin Hanna	55.0	46.1	'''Note: Great still home pass	 then Address high follow'''
rachel_wallace_8669	Rachel Wallace	67.0	83.1	'''Perform wide option east behind: Interview image party story during	 Raise certainly'''
natasha_herman_0492	Natasha Herman	76.0	78.1	'''Note: Rather	 then Where Mr within majority south'''
