# This is a comment line to skip
name;score;price;salary;comment
Tina Cooper;9.0;87.1;51.2;'''Repellat sequi beatae porro pariatur: Animi pariatur laboriosam ipsum quod; Asperiores commodi labore at'''
Dr Russell Mitchell;61.0;49.1;12.2;'''Note: Tempora; then Eius dolorum quibusdam'''
Barry Faulkner;2.0;74.1;77.2;'''Vel minus ipsa ratione; Quisquam iusto iure ; Facere reprehenderit accusamus facilis quidem'''
Ellie Reid-Benson;35.0;28.1;48.2;'''Fugit voluptate; Repudiandae nisi accusamus Voluptas pariatur omnis perspiciatis necessitatibus'''
Dr Daniel Swift;79.0;77.1;95.2;'''Note: Nostrum ea; then Veritatis quos a'''
Mrs Jacqueline Taylor;16.0;55.1;83.2;'''(Dolorum veritatis) ; Maiores impedit ab and Ratione pariatur quaerat'''
Mrs Shannon Mason;21.0;96.1;97.2;'''(Occaecati unde sequi) ; Doloremque sit laudantium and Suscipit natus sit'''
Mrs Karen Bartlett;28.0;90.1;32.2;'''Note: Possimus quis; then Distinctio eaque ratione maiores fuga'''
Marie Holland;62.0;84.1;38.2;'''Nulla enim: Neque eius necessitatibus; Quasi molestias commodi'''
Dr Pamela Ford;53.0;;54.2;'''Note: Repellat qui; then Corrupti iure'''
Graeme Lloyd;12.0;92.1;41.2;'''Quia fugiat debitis quod veniam; Eos ; Nesciunt omnis'''
Hayley Price;19.0;69.1;20.2;'''Veniam laudantium voluptatibus: Tenetur modi; Repellendus adipisci excepturi porro'''
Miss Amanda Whittaker;;21.1;25.2;'''Eum explicabo perspiciatis corrupti id; Ullam et similique voluptas dolorem Dolorem'''
Anna Porter-Moran;80.0;88.1;79.2;'''(Atque ut doloribus) ; Quas molestiae perspiciatis placeat quisquam and Ducimus'''
Matthew Moore;27.0;60.1;57.2;'''Cum aliquam; Officiis ; Quas'''
Mr Brandon Swift;32.0;77.1;20.2;'''Similique nobis; Eos rem doloribus sunt ; Porro'''
Wayne Ball;69.0;38.1;77.2;'''Iusto distinctio necessitatibus; Dolorum quos ullam rerum officiis numquam ; Occaecati'''
Sharon Webb;11.0;88.1;54.2;'''Deserunt vel veniam; Aspernatur soluta architecto incidunt Eos porro'''
Dr Ricky Martin;14.0;66.1;58.2;'''Veniam; Molestiae ex quae Deleniti'''
x;92.0;3.1;42.2;'''Rerum perspiciatis; Reprehenderit praesentium Totam corrupti assumenda'''
Dylan Walker;85.0;57.1;87.2;'''Deleniti maxime; Ullam molestiae debitis quis amet Autem illum'''
James Talbot-Brown;19.0;15.1;94.2;'''Perferendis omnis; Dicta ; Consectetur modi'''
Bernard John;28.0;95.1;84.2;'''Note: Sequi neque vitae expedita; then Maxime fugiat'''
Ms Kelly Lambert;16.0;73.1;;'''Dolore earum repellat: Sint dolorem iusto neque amet nihil; Ipsa exercitationem omnis asperiores'''
Rebecca Richardson;28.0;29.1;35.2;'''Explicabo; Ab aliquam Excepturi delectus ut tenetur'''
Dr Amelia Moore;21.0;95.1;62.2;'''(Nam magnam suscipit) ; Harum blanditiis inventore and A dolorem iste impedit placeat labore'''
Christine Ali;61.0;53.1;25.2;'''Expedita doloribus voluptate molestias; Nesciunt laudantium ; Non et consequuntur'''
Ms Ruth Berry;17.0;82.1;43.2;'''Minus minima aut placeat omnis; Totam incidunt tenetur similique distinctio Explicabo ea'''
Keith Russell;80.0;65.1;12.2;'''Esse natus iste: Doloremque; Dolore ea repudiandae'''
Lorraine Jenkins;11.0;9.1;41.2;'''Culpa inventore fugiat; Unde quidem quis aliquid voluptas ; Neque optio'''
