name	username	score	salary	summary
Kimberly Valdez	kimberly_valdez_0406	79.0	32.1	"""Camera; Partner time 	 Far type catch affect black page"""
Nathan Wood	nathan_wood_3385	27.0	7.1	"""(Staff last force raise) 	 Simply and Or main"""
Tyler Erickson	tyler_erickson_4261	40.0	57.1	"""Question very heart everything them compare; Clear tend control after between per 	 Population guess range action consider"""
David Scott	david_scott_7851	45.0	51.1	"""Herself hot year miss; Morning offer 	 Else try executive street behind customer"""
Leah Wilson	leah_wilson_2522	73.0	21.1	"""Today; Because discover 	 Anything case"""
James Smith	james_smith_7898	40.0	59.1	"""Note: Opportunity recognize bank	 then Well next since"""
Adam Moreno	adam_moreno_9408	35.0	93.1	"""Bed; Open action 	 Price relationship member provide"""
Eric Jones	eric_jones_3674	87.0	74.1	"""Note: Check station	 then Son direction return"""
Natalie Diaz	natalie_diaz_5175	38.0	100.1	"""(Daughter tend and network) 	 See prevent enjoy land and Sort effect account"""
Ronald Stanley	ronald_stanley_1727	37.0	73.1	"""Approach institution resource military chance; Relationship arm 	 Indicate available finish"""
Brandon Chung	brandon_chung_9104	70.0	54.1	"""Center attorney investment; Environmental instead 	 Whether light five campaign break"""
Anna Howard	anna_howard_6084	27.0	66.1	"""Appear; Spring back page movement human human 	 Training sound family century fall"""
Angela Mcfarland	angela_mcfarland_7312	87.0	18.1	"""Note: You score either attorney major	 then Least away deal any up will"""
Antonio Perkins	antonio_perkins_4062	90.0	22.1	"""Street trouble case professor scientist parent	 Behind travel since Card last"""
Joseph Taylor	joseph_taylor_4902	29.0	90.1	"""Weight five plant forget couple; Leave computer 	 Low stock camera safe"""
Matthew White	matthew_white_1540	84.0	97.1	"""(Use) 	 Couple animal and Challenge"""
Christopher Petty	christopher_petty_2491	7.0	41.1	"""Feel; Here bring 	 Training stage"""
Seth Ruiz	seth_ruiz_7368	12.0	50.1	"""Establish hot improve: Cut will sort	 Cause"""
Kimberly Barnes	kimberly_barnes_8635	77.0	57.1	"""Gas	 Laugh check language various Public record few"""
Pamela Hansen MD	pamela_md_1102	59.0	74.1	"""Show	 Family miss this Must foreign"""
Darlene Cuevas	darlene_cuevas_9506	61.0	96.1	"""Relationship structure: Mother sport always	 Own seek away"""
Mr. Drew Burns	mr_burns_0489	96.0	83.1	"""(Computer none race us) 	 Send and Cause defense together agree beat"""
Joshua Rodriguez	joshua_rodriguez_8167	76.0	21.1	"""(Spend) 	 Message attorney shoulder and Long practice"""
Dr. William Powell	dr_powell_6216	4.0	70.1	"""Short majority blood conference measure	 Short might Mr hotel Act"""
e	richard_villarreal_6146	1.0		"""Wife Republican tree real hundred	 Enjoy term right main image Challenge south officer"""
Heather Rogers	heather_rogers_0854	44.0	86.1	"""Travel particular mouth responsibility join	 Drop sell Rule point"""
Dana Hobbs	dana_hobbs_0074	74.0	49.1	"""Significant individual green old: Look	 Choice civil season when free"""
Susan Ryan	susan_ryan_2271		81.1	"""(Rather baby) 	 Positive east state and Hard"""
Mary Jackson	mary_jackson_9218	1.0	68.1	"""Machine show enjoy; Than nature 	 Consumer feeling federal nor"""
Jason Rodriguez	jason_rodriguez_4342	12.0	75.1	"""Note: Also begin lawyer assume will popular	 then Cost six table"""
Patrick Rivera	patrick_rivera_6774	57.0	43.1	"""Note: Short by	 then Require"""
Theresa Blair	theresa_blair_3830	71.0	60.1	"""Beyond sometimes; Nation campaign democratic 	 Upon ask"""
Sarah Nguyen	sarah_nguyen_3356	36.0	75.1	"""Note: Its blood outside	 then Rich"""
Tammy Palmer	tammy_palmer_5204	37.0	25.1	"""Her suffer themselves newspaper which: Remember face	 Thank capital"""
Cody Stephens	cody_stephens_9185	14.0	65.1	"""Music: Organization cause	 Hour expect time"""
Kelly Neal	kelly_neal_5055	23.0	66.1	"""Actually school half would: Control writer star	 Themselves type tree side"""
Jacqueline Lee	jacqueline_lee_9250	25.0	55.1	"""(Himself the) 	 Threat behind minute want and Try mission head race though continue"""
Nancy Howard	nancy_howard_8814	34.0	4.1	"""(Ask their letter defense) 	 Former traditional focus report and Authority feel official little wonder"""
Travis Morales	travis_morales_3116	65.0	8.1	"""Magazine ability; Born simple 	 Choice what"""
Adam Stokes	adam_stokes_0291	95.0	73.1	"""Capital; Pattern rich time 	 Yard draw side today"""
Sergio Underwood	sergio_underwood_8424	62.0	43.1	"""Note: Exactly military cut	 then Player tax reduce"""
Dustin Grant	dustin_grant_5676	61.0	40.1	"""(Season theory time argue range) 	 By number weight and Mother of let"""
Marvin Gutierrez	marvin_gutierrez_0613	81.0	39.1	"""(Represent be) 	 Region board growth and Who parent"""
