# This is a comment line to skip
name	price	comment	summary
l	98.0	"""(Product) 	 Team dream TV public and Do story language light picture"""	"""Thank	 Concern ago read Mr quality"""
Jennifer Zuniga	62.0	"""Note: Him mention	 then Box officer late order"""	"""Dream idea; Summer manage 	 Among important difficult edge"""
Amanda Whitney	16.0	"""Art; True push fill 	 I into agent"""	"""Clear although pay: Bill control	 Night young"""
Jordan Vargas	60.0	"""(White) 	 Institution degree and State"""	"""(Hard so) 	 We son different and Before so feel cover campaign more"""
Christy Lyons		"""Argue official if better	 Inside real health side Them business"""	"""(Record) 	 Similar decision operation program find and To resource"""
George Lee	22.0	"""(Could despite across) 	 Hair and By weight"""	"""Scene run; Religious front stop point 	 Girl perform old"""
Devin White	58.0	"""(Much) 	 Alone Mr save and Drop write"""	"""College interview work huge	 Congress partner along instead Improve"""
Gabriel Robinson	16.0	"""(Compare) 	 Future trip traditional and Much agreement level step science down"""	"""Note: Prevent window	 then Mind matter"""
Antonio Parker	5.0	"""Community green forward summer; Research spend maybe 	 Success participant while various teacher"""	"""(Build drop the smile) 	 Believe and Guy material themselves"""
Rachel Martin	3.0	"""Study: Professional response moment itself technology realize	 Tend"""	"""Himself magazine research; Position middle window 	 Marriage expect war"""
Taylor Rivera	51.0	"""Six despite: Night heavy	 Husband from dark"""	"""Rich federal; Stay back right 	 Test her Republican"""
Sarah Marquez	48.0	"""She understand every; Soldier and question cost 	 Impact idea drug star"""	"""Away should	 Edge and Hotel as be medical"""
Beth Nixon	20.0	"""Quality anyone your two end	 Consumer decide send claim Expert international couple man be young"""	"""Name professional lose song; Her artist term you break 	 Trial quality perform agreement"""
Jessica Boyd	11.0	"""Improve perform bed; Follow information few war benefit 	 Father figure"""	"""(Building in) 	 Son either and Middle a who stop cell"""
Michaela Mendoza	23.0	"""Note: Much involve	 then So pick"""	"""Yard economy alone: Officer everything	 Politics fill center assume"""
Gary Lang	88.0	"""Note: Who whole	 then Push"""	"""(Hear test heavy) 	 Some color friend rich and Beat than experience and plant"""
Stephanie Herrera	94.0	"""Important while; None himself must hope 	 Community talk now never develop try ago"""	"""Note: Between life when	 then Capital"""
Tyler Robinson	32.0	"""(Check explain direction modern environmental) 	 Drop this memory and Side discussion campaign thought responsibility plant"""	"""Claim professional us	 Far peace involve door Admit shake course because one"""
Terry Medina	23.0	"""Clear score health condition	 Maintain sing pay its ground ready Position pretty trial listen"""	"""Note: Official however	 then Dinner loss speech"""
Rebecca Juarez	37.0	"""Bad determine subject; Leader be 	 Quickly"""	"""Note: Food commercial	 then View professor"""
Traci Wade	28.0	"""Look western: Case join friend building	 West"""	"""Note: Live evening	 then Through example agreement"""
Jack Curry	19.0	"""Court Congress room popular fund: Goal article	 Senior"""	"""Relate three night: Several they	 Present several join"""
