username,name,total_count,remark
vanessa_allen_2402,Vanessa Allen,50.0,'''Temporibus rerum: Ducimus, Nobis doloremque architecto quasi'''
debra_taylor_0095,Debra Taylor,26.0,'''(Tempora) , Earum reprehenderit nesciunt totam and Non molestias dolor aperiam'''
lesley_begum_2844,Lesley Stevens-Begum,87.0,'''Note: Molestias, then Qui laboriosam pariatur fuga nesciunt'''
bruce_ellis_2129,Bruce Ellis,78.0,'''Note: Facilis fugit libero consequatur, then Repellat commodi nesciunt nulla temporibus'''
steven_griffiths_4253,Steven Griffiths,33.0,'''Note: Dolor exercitationem, then Ex rerum'''
mr_ali_0566,Mr Dennis Ali,7.0,'''Minima excepturi; Vel repellat modi , Inventore ratione quod nisi itaque'''
mr_fox_6867,Mr Conor Fox,66.0,'''(Deleniti) , Assumenda and Voluptas'''
matthew_shah_2950,Matthew Shah,36.0,'''Note: Fugit, then Dolorem iure culpa'''
julia_whitehead_8394,Julia Whitehead,91.0,'''Id labore neque, Enim eum labore Dolorem reprehenderit reiciendis impedit'''
lynn_ball_1011,Lynn Ball,31.0,'''Repellat ipsa magnam ipsam; Pariatur quis , Dicta ipsa consectetur'''
maurice_allen_1574,Maurice Lane-Allen,15.0,'''Laborum ut: Nulla, Veritatis ad ducimus nobis'''
dr_rose_3127,Dr Samantha Rose,20.0,'''Corporis: Dolore occaecati animi aspernatur amet, Corporis eius'''
laura_griffin_5515,Laura Griffin,94.0,'''Quidem ipsum facere incidunt: Dolorum voluptas voluptatum, Dolorum nobis esse'''
eric_wilkinson_0577,Eric Wilkinson,38.0,'''Dolores maiores, Quo atque alias rem quis Nemo animi'''
oliver_hayes_3079,Oliver Watkins-Hayes,99.0,'''Eos est, Expedita impedit dolorum accusantium Enim fuga'''
dr_blackburn_5929,Dr Daniel Blackburn,34.0,'''Fuga: Eligendi temporibus, Quis recusandae'''
anthony_taylor_7314,Anthony Wyatt-Taylor,66.0,'''Note: Alias ipsam voluptatum numquam voluptatem, then Debitis ipsa sequi assumenda'''
dr_rahman_5348,Dr Stewart Rahman,49.0,'''Laboriosam veritatis: Vel assumenda vitae rerum, At quae'''
graeme_stevens_2109,Graeme Stevens,20.0,'''Note: Eum doloremque, then Reprehenderit quos unde rerum odit'''
lynda_page_0259,Lynda Jarvis-Page,25.0,'''Consequuntur hic tenetur; Distinctio dicta vel , Optio maiores'''
lucy_clark_8685,Lucy Sutton-Clark,57.0,'''Repellendus; Recusandae sapiente unde , Labore'''
joan_stewart_1069,Joan Bruce-Stewart,95.0,'''Et maiores doloremque nobis; Dolorem modi , Optio quia'''
alex_akhtar_1656,Alex Akhtar,83.0,'''Note: Consequatur magni voluptates, then Blanditiis quas sed voluptatem velit'''
guy_price_3096,Guy Price,10.0,'''Assumenda enim unde aliquam molestiae, Laudantium omnis Itaque soluta quam quasi'''
marcus_patel_1923,Marcus Patel,,'''(Ipsam consequuntur nisi) , Nemo and Eos'''
francis_watson_3229,Francis Watson,66.0,'''Tempore: Officiis assumenda illo blanditiis, Aut deserunt rem soluta delectus'''
bethany_williams_4906,Bethany Williams,10.0,'''Rem quidem: Ut, Tenetur a'''
marian_oliver_0412,Marian Oliver,18.0,'''Note: Sapiente repellat, then Quis'''
abbie_johnson_5483,Abbie Moore-Johnson,62.0,'''(Deleniti fugit aliquam) , Aut dolorum sapiente odit repudiandae nostrum and Harum quos magnam ipsam sed'''
miss_connor_1323,'Miss Jemma O''Connor',66.0,'''Commodi similique architecto architecto, Voluptates voluptatem Molestias labore temporibus tempora necessitatibus'''
mr_heath_3292,Mr Dean Heath,12.0,'''Commodi eum; Alias quo , Architecto recusandae vitae dolores'''
mr_barker_5210,Mr Gordon Barker,45.0,'''Animi doloremque quis: Incidunt alias expedita, Inventore praesentium est ullam'''
dr_collins_1097,Dr Gerald Collins,50.0,'''Fugit iusto delectus odio vero; Expedita , Nam numquam repellendus'''
jamie_fletcher_8884,x,33.0,'''Omnis est amet consequatur; Dignissimos tempora quia ut exercitationem numquam , Alias eius'''
jeremy_rogers_4236,Jeremy Rogers,50.0,'''Autem in ipsa: Quam assumenda quibusdam, Facere corrupti quasi tempora assumenda quos'''
dr_marshall_0050,Dr Megan Marshall,4.0,'''Blanditiis dolor; Ex aliquam officiis , Qui expedita'''
mr_webb_6233,Mr Ben Webb,33.0,'''(Aliquam distinctio numquam) , Incidunt fugiat animi praesentium and Nulla nesciunt'''
ms_holloway_8553,Ms Francesca Holloway,12.0,'''Note: Quis quaerat maxime reprehenderit aspernatur beatae, then Recusandae'''
carole_patel_7184,Carole Patel,95.0,'''(Dolorem quae quibusdam optio) , Cupiditate ducimus and Optio ad'''
georgina_richards_4849,Georgina Richards,10.0,'''Iusto ad aut nostrum: Vel eos recusandae, Ipsum laborum corporis vitae repellendus perspiciatis'''
william_smith_7116,William Smith,84.0,'''Iste reiciendis cupiditate: Molestias illo laborum, Quae id atque maiores sint'''
bruce_byrne_2481,Bruce Byrne,56.0,'''Officia ab, Deleniti distinctio a necessitatibus doloribus Nam beatae sit'''
