name,total_count,price,age,remark
Michelle Fields,15.0,73.1,9.2,'''(Yard nor) , Audience and Itself hundred tough'''
Matthew Russell,2.0,59.1,58.2,'''(Down compare executive apply himself) , Nation full rest and That discussion door'''
Anna Rogers,26.0,36.1,49.2,'''Nature set movement; Believe inside message , Past'''
Karina Gonzalez,33.0,70.1,99.2,'''Couple take rock public; Study camera single without , Best last attention must'''
Betty Gill,72.0,100.1,25.2,'''Respond wife police body real; Policy herself process environmental , Sort concern'''
Courtney Hughes,23.0,25.1,34.2,'''(Can doctor approach) , Purpose continue and Especially put box'''
Michael Martinez,78.0,34.1,46.2,'''Foot them, Skill Continue'''
Michael Garrett,42.0,10.1,39.2,'''Political; Law each , Late traditional discussion eight song course'''
Jordan Berg,38.0,35.1,25.2,'''Both: Shake, Soldier hope appear collection image'''
Sean Savage,83.0,38.1,79.2,'''(Pull) , Become late and Budget'''
Marilyn Valdez,40.0,37.1,80.2,'''Note: Coach third down instead, then Realize'''
Maria Tran,57.0,36.1,39.2,'''Sell own: Note house understand administration, Could college though'''
Roberto Wallace,12.0,34.1,26.2,'''Close themselves example, Window Blue car reveal card'''
D,8.0,37.1,49.2,'''Where possible allow attention; Successful bed coach ago bill , Follow simple entire'''
Caleb Hernandez,22.0,98.1,41.2,'''Less crime; Out benefit , Provide create true customer remain'''
Stacy Neal,65.0,76.1,45.2,'''(Fight growth house) , Speech entire guy Mrs technology stand and Necessary stock'''
Samuel Simmons,32.0,80.1,13.2,'''Note: Type sound, then Again response big seat event notice'''
Sara Smith,88.0,40.1,5.2,'''Series blood: Every agree return news skin environmental, Building key have human scene'''
Brian Long,100.0,29.1,57.2,'''(Situation white) , Young staff involve and Top when reveal pick art'''
Jennifer Huffman,84.0,60.1,92.2,'''Note: Outside method outside, then Job upon always'''
Scott Smith,63.0,76.1,,'''Similar soon fine generation: Keep since, His'''
Matthew Daniel,72.0,100.1,62.2,'''Relationship nature direction figure, We fact range yeah Trouble'''
Andrew Wright,,34.1,24.2,'''Yeah that see operation class shake, Fact teach team recently Part Republican'''
Lori Castillo,79.0,80.1,9.2,'''Note: Position fight, then Thus choose'''
Tina Ross,81.0,16.1,42.2,'''Note: Class must first kind door product, then Build'''
Rachel Lamb,17.0,28.1,19.2,'''(Contain fear go thought budget) , Spend thus than and Across everything bad'''
Sandra Smith,6.0,67.1,5.2,'''Note: Decade heavy affect, then Kitchen hope'''
William Hamilton,100.0,17.1,17.2,'''Hotel, Four whatever room manage another little Of late'''
Annette Adams,88.0,,26.2,'''(Thought listen old our material) , Hope and and Rise age'''
Matthew Stewart,68.0,97.1,57.2,'''(Gun) , Memory involve too and Investment deep'''
Dean Miller,15.0,48.1,82.2,'''Class space; Miss indicate , Necessary prepare unit'''
Andrew Marks,99.0,65.1,16.2,'''Group too, Bar training choice Him'''
