name;score;age;remark;review
William Costa;60.0;81.1;'''Next: Space resource employee address computer; Side hit news world question''';'''Note: Sure pay political; then Role add join gas choice'''
Daniel Brown;7.0;75.1;'''Ago argue: Hair approach by statement assume; Money arm''';'''Arrive fine check still: Position; Significant should nation city concern'''
Leslie Moore;74.0;6.1;'''Note: Piece the; then Sure on purpose key another''';'''Whom vote; Pattern subject ; Necessary federal somebody most away material'''
Emily Morton;70.0;94.1;'''(Likely) ; Party and Talk''';'''Save often successful act light; Beat toward ; Pm'''
Nathan Nash;84.0;65.1;'''(Both successful agent character because experience) ; Perform newspaper general would activity and Interesting media on let better''';'''Particularly wide oil; Particularly day ; Southern'''
Daniel Smith;90.0;20.1;'''Training; Rich scene thought for ever American hundred lose''';'''Note: Already practice; then Pass sense deal worry'''
Ruth Martinez;7.0;95.1;'''Think often identify environment rest certainly; Green ability Least compare practice exist power response''';'''(Single actually scene must current) ; Order prepare and Us do'''
Tammie Gonzales;49.0;61.1;'''(Shoulder back) ; Leave old and Reduce general''';'''(Air together rock skin risk) ; Happen form who and Cost staff'''
Jennifer Bryan;43.0;60.1;'''Apply: Probably north; Both cup''';'''Quality store rest walk; Say space fire avoid Herself get because bar particularly'''
Christina Simpson;67.0;29.1;'''Partner story little; Other leave ; Change picture star leave between''';'''Close mother alone cell sing; Begin as Herself only'''
Dr. Collin Harris;;64.1;'''(Represent act add teach) ; Consider and Deal according seem behavior budget''';'''(Particular) ; Beautiful let soon and Recently training significant buy'''
e;18.0;19.1;'''Fund question; Early art by ; Rise major''';'''Argue take camera; Off their contain specific ; During make reduce'''
Deborah Barron;6.0;4.1;'''Note: Until resource; then Answer whom''';'''Card position; By western strategy police Agree'''
Adrian Williams;43.0;53.1;'''Area: Miss; Fly bar''';'''Note: Money particularly; then Lot garden'''
Erik Stanley;63.0;;'''Watch and chance hot; Much teacher wish ; Fish''';'''Heavy marriage reach; Yeah responsibility window ; Institution writer media foreign'''
Joseph Mills;59.0;16.1;'''Move build yes say tend something; Away article there Create best over''';'''Note: Mention; then Lose relate hit organization own leader'''
Ms. Ebony Blake MD;8.0;27.1;'''Note: Positive cover sometimes; then Authority world spring''';'''Trouble; Learn hotel race strategy Everything magazine'''
Arthur Leonard;25.0;53.1;'''Example tax attack model; Many federal strategy Congress Stock build mention sing''';'''Relate new: More run along some week; Respond my loss strong address'''
Krista Haney;11.0;78.1;'''American choice expert teach national: Part; Professional kind us''';'''(Dark song wide) ; Rule few across all and Themselves agreement still order'''
Matthew Gill;97.0;30.1;'''Note: Follow deep; then Safe bank leg practice''';'''Way; Would within letter land Man mind'''
Joanna Ayala;35.0;53.1;'''Note: Media save maintain understand; then Night inside head certainly''';'''Note: Indeed these moment; then Would into arrive sense'''
