name	price	age	note	comment
Ashley Fletcher	80.0	15.1	'''(Nothing put final his) 	 Animal important and Business accept'''	'''(Want kitchen trouble) 	 Student usually school letter act hold and Alone measure animal'''
Monique Carey	64.0	75.1	'''Chair find	 Nature some data cold production stock Morning identify near continue'''	'''(Yet policy magazine) 	 Admit machine why street and Up'''
Ivan Carey	34.0	47.1	'''Employee officer only: Not man short various	 Describe'''	'''Note: Matter during reveal	 then Personal person'''
o	56.0	38.1	'''Authority join	 Cut dream Teach future clear office'''	'''Hundred last; Today player 	 Off tree serve'''
Miss Anne Humphrey	94.0	12.1	'''Note: Industry traditional	 then Benefit shake character'''	'''Today authority democratic	 Own Fight'''
Kevin Carpenter	73.0	21.1	'''Account: Necessary	 May entire forget agency'''	'''Score character	 Find military particularly Particular performance'''
Cassandra Pittman	17.0	15.1	'''Play black	 By bag Young north kid point'''	'''Note: Free second	 then Call part without hair effort Congress'''
Claudia Thompson	98.0	50.1	'''Low visit majority trip site seem	 Similar offer Whom wear only'''	'''Final per glass trip; Lose 	 Take mean'''
Lori Reyes	47.0	47.1	'''Ability letter speak specific produce	 Ground president Idea describe develop early'''	'''Treat doctor; Set name 	 Middle discussion'''
Deanna Lee	20.0	42.1	'''Moment reach as; Across concern rich 	 Develop party whose subject near'''	'''Note: None accept themselves	 then Same type'''
Melissa Suarez	74.0	63.1	'''Note: Company option long	 then Teacher itself'''	'''Individual various development; Plan purpose coach 	 Should soldier fly'''
Brian Herman	83.0	30.1	'''(Prove occur) 	 Exist blood summer us and Adult with'''	'''Note: Part senior notice important business training	 then Film practice'''
Sandra Lewis	22.0	61.1	'''Involve mean: Yet break	 Nice fast enough'''	'''House thousand adult; Many 	 Even college staff'''
Howard Rodriguez	51.0	61.1	'''(Together morning) 	 Require television season half and Quickly pass standard'''	'''Hospital when painting: Skill through business	 Model think apply'''
Marcus Harding	98.0	26.1	'''(Party any) 	 Environment cause and Include without off street'''	'''Enough: Guy all partner	 Gun record prove strong'''
Derek Perry	56.0	52.1	'''Job avoid form less factor and: Lose	 Table environmental cost'''	'''Door say imagine modern	 Professional local Know other into happen'''
Janet Dunn	80.0	52.1	'''Action chance; Teach 	 Hard security government cold full'''	'''(Win charge significant) 	 Industry green others accept care sense and Doctor tax'''
Kelly Martinez	13.0	50.1	'''(Mr) 	 Quite us and Organization situation'''	'''Thing would	 Crime among visit happy Morning fear'''
Justin Nguyen	56.0	7.1	'''Note: Weight paper vote attack	 then Indeed class result'''	'''Might can vote	 Peace beat against Development pass Congress hour ask'''
Mark Mendoza	45.0	72.1	'''Woman project	 Popular Common resource cell'''	'''Note: Full	 then Affect'''
Steve Delgado	69.0	61.1	'''Audience	 Lawyer discussion pull Still'''	'''Until without: Factor yard make	 Nearly'''
Kimberly Martin	40.0	83.1	'''(High style candidate) 	 Sister college student arm and Traditional huge read within'''	'''Nor simply: Others thank focus	 Alone who structure born sometimes'''
Sandra Martinez	65.0	69.1	'''Involve	 Quickly artist seem city Friend if black'''	'''True lay doctor shoulder: Ground similar forget	 Mr community'''
Betty Allen	14.0	15.1	'''Interesting term hospital range often	 Forward Film or product partner'''	'''Southern kitchen sport than itself	 Draw list story market southern Industry wait full firm'''
Deborah Goodwin	12.0	46.1	'''(Save) 	 Senior will and Usually chance many'''	'''(Human) 	 Build scene area and Front may likely about pay'''
Colin Hayes PhD	92.0	9.1	'''Practice cost; Like your 	 City better'''	'''Make realize station such arm general; Use upon red 	 Choice'''
James Frazier	41.0	9.1	'''(Recent such deep another) 	 Mean adult and It'''	'''(Morning institution) 	 Them expert car fire and Threat third matter different stand'''
Leslie Anderson	5.0	34.1	'''Collection: Myself list return	 So begin'''	'''Matter challenge surface arrive lay green: Your leave fear every purpose	 Couple candidate'''
Carla Edwards	58.0	55.1	'''Note: Within major inside reflect	 then Us true class'''	'''Score ground my peace: Agreement	 Style apply I through tell'''
Kimberly Clayton	59.0	9.1	'''(Have old) 	 Activity explain several among and Drop as bit'''	'''Learn expert; Capital cost from 	 Seven officer'''
Susan Rose	58.0	38.1	'''Hard: Show here cut return speech	 Light'''	'''Such wall: Skill	 Can data couple'''
Lori Price	84.0	74.1	'''Consider scene	 Indicate American Quite which nation make'''	'''Note: Myself	 then Candidate land research outside wall vote'''
Annette Cook	51.0	69.1	'''Nothing who fund involve see	 Across two environmental red Something friend its'''	'''(Play) 	 Bring ground employee and Evidence'''
David Mcdaniel	20.0	99.1	'''Note: Firm us out smile	 then Real discover'''	'''Director participant city; Develop picture a 	 Line sort issue'''
April Berg			'''Agent father: Let interview spring	 Employee continue rich local address'''	'''Note: Effort daughter nation attention	 then Wall our partner'''
