# This is a comment line to skip
username,age,rating,score,comment
austin_parsons_2544,3.0,72.1,2.2,'''(Dark tell size star) , Suggest military and Spend suddenly kitchen than affect'''
bradley_wood_3240,48.0,69.1,68.2,'''(Product box just even school) , Hear almost and Per'''
timothy_rojas_4340,81.0,43.1,4.2,'''Main town customer back write, Realize point ten so his Along camera left heavy lay'''
heather_collins_2078,36.0,50.1,34.2,'''Note: With increase beautiful something group, then Tree ground up environment me'''
james_howard_7220,35.0,77.1,27.2,'''(Deep animal) , Somebody while send and Idea media success'''
jennifer_turner_7898,99.0,21.1,19.2,'''Us reflect: Before old ask else dream financial, Industry dog others sell recognize'''
nathan_dominguez_6959,2.0,47.1,95.2,'''(Most) , War approach and Ok man dog social'''
richard_henderson_4652,93.0,7.1,28.2,'''Name; Reach activity me , Exactly'''
kelli_banks_9430,6.0,52.1,42.2,'''(Issue parent bit) , Capital voice cost budget peace and Man he'''
michael_rogers_2730,17.0,88.1,64.2,'''Note: Defense analysis big interview pay team, then Argue toward'''
christopher_williams_2909,49.0,76.1,80.2,'''Purpose affect serious industry garden, Fill after Player'''
james_howard_8245,88.0,43.1,88.2,'''Note: Indeed region degree either, then American several actually card help'''
hailey_cross_9500,56.0,4.1,65.2,'''Pay spend; Design town , Never answer how'''
colleen_garrett_5847,45.0,30.1,29.2,'''Sing day commercial; Day customer capital difference protect else , Remain'''
samuel_wells_0735,91.0,35.1,15.2,'''Leader, Yes drop day Collection last through'''
miranda_mack_7621,,89.1,65.2,'''(Tree) , Seek and Field'''
theresa_sanchez_8511,40.0,71.1,90.2,'''Whom hot: Still radio hard, Many floor beautiful interview'''
peggy_horn_5062,87.0,31.1,11.2,'''Left positive design, Alone he Difficult election'''
jason_stevens_2063,9.0,10.1,33.2,'''Present: Officer tell, Son option unit'''
bobby_iii_4335,25.0,9.1,63.2,'''Body television, Identify story teach wall national Interesting wrong whole'''
sylvia_butler_6685,58.0,31.1,61.2,'''(Race down) , Recognize and Probably drop whatever stuff yeah half'''
heather_leon_8379,79.0,33.1,8.2,'''Cause issue; Tree lose travel from , Hour field'''
susan_mcgrath_9339,56.0,61.1,80.2,'''Explain practice Mrs other three, Positive particularly More cost'''
shannon_james_4757,40.0,27.1,53.2,'''Between likely sometimes: Nor oil green, Upon dog'''
ryan_sharp_0514,18.0,7.1,19.2,'''Nice population, Against finish Anyone indicate southern'''
cindy_anderson_4551,62.0,10.1,70.2,'''Weight money; Talk discuss , Claim raise also wall ever'''
jeffrey_shea_2433,85.0,39.1,,'''Forward we really chance involve: Station staff, Best receive'''
william_lopez_3864,4.0,41.1,30.2,'''Focus perform yard also structure: My environment baby, Change sign two'''
michelle_mccormick_9874,75.0,44.1,30.2,'''Impact perform: To school, New'''
aaron_black_7500,10.0,38.1,93.2,'''Response probably rather; Both you more effect , Production suddenly'''
todd_olson_9609,8.0,81.1,17.2,'''Note: Through old throughout role deep, then Imagine himself line'''
cody_scott_4329,11.0,68.1,72.2,'''Some for center; Indeed , Full success central'''
manuel_obrien_6421,85.0,18.1,98.2,'''Rest measure, Cup current she Sound million painting draw'''
candace_harrison_5878,55.0,1.1,39.2,'''Note: Detail view standard particularly, then Social'''
courtney_mitchell_7776,58.0,68.1,70.2,'''(Science matter) , Security agent generation and Movement job center truth'''
henry_tate_3352,35.0,42.1,52.2,'''Black church sound, Affect lot particularly Together international activity respond court'''
thomas_robbins_2826,59.0,,9.2,'''Teach heart: Bar, Compare view yeah'''
sandra_carroll_9069,50.0,20.1,3.2,'''(City) , Indeed choice and Almost watch machine sing write'''
jose_parks_9712,39.0,79.1,2.2,'''Clearly half, Which worker five write bag Power paper'''
kirsten_mitchell_6318,31.0,24.1,37.2,'''Note: Deep, then Argue blue agency'''
kathryn_yang_1406,73.0,36.1,74.2,'''Role course; Indicate score , Southern about they trial professor poor'''
