# This is a comment line to skip
username;price;salary;age;review
dr_horton_2002;31.0;69.1;27.2;'''A rem: Beatae; Architecto aut'''
catherine_hussain_8526;73.0;48.1;92.2;'''(Magni deserunt autem) ; Voluptate delectus mollitia nam incidunt and Possimus praesentium sequi'''
jasmine_macdonald_0153;9.0;67.1;75.2;'''Minima dicta illo; Accusantium temporibus nihil Earum vero hic repudiandae'''
ms_smith_1700;95.0;15.1;22.2;'''Eveniet officia; Repellat ab Placeat eligendi'''
dr_richards_3520;83.0;31.1;71.2;'''(Soluta laboriosam) ; Consectetur natus suscipit optio and Excepturi quam neque praesentium'''
dr_harrison_7540;39.0;8.1;43.2;'''Placeat ex amet; Cum dolorem nam ut provident Veniam similique ab porro odio cupiditate'''
miss_fuller_3084;45.0;66.1;38.2;'''Note: Tempora ut perferendis voluptatum; then Voluptas repellendus dicta'''
dr_stephenson_1118;95.0;58.1;81.2;'''Dicta vitae iusto illum; Ullam aliquid labore quisquam recusandae earum ; Alias deleniti corrupti ab'''
miss_holt_9414;78.0;55.1;7.2;'''At ipsa: Nesciunt rerum; Corporis reprehenderit ipsa reprehenderit mollitia'''
katherine_banks_9335;67.0;8.1;14.2;'''(Inventore) ; Suscipit praesentium and Adipisci distinctio ducimus nemo pariatur'''
geraldine_wallis_2089;78.0;24.1;45.2;'''(Temporibus) ; Id sunt and Explicabo esse numquam nobis'''
dr_barlow_0809;19.0;51.1;52.2;'''Aperiam sed: Earum repellat est; Sapiente voluptatum hic excepturi quas'''
pauline_archer_5704;83.0;;55.2;'''Eaque maxime; Odit accusantium repudiandae ipsam ; Reiciendis'''
stephen_long_1766;46.0;43.1;94.2;'''(Velit) ; Hic corporis modi vero and Officiis error tempora molestias'''
dr_whittaker_7409;98.0;95.1;54.2;'''Note: Quas at repudiandae; then Veniam'''
ms_hutchinson_5188;44.0;14.1;19.2;'''(Velit assumenda sunt) ; Aliquam cum and Blanditiis vitae at ducimus voluptatem'''
dean_james_4676;84.0;89.1;47.2;'''(Non minima quis) ; Quisquam natus hic dolores and Eum illo dolores'''
gary_perkins_4542;97.0;76.1;20.2;'''Note: Fuga voluptates quas veritatis; then Esse pariatur dignissimos aliquam'''
mr_burrows_3088;;1.1;84.2;'''Totam fugit: Ducimus nihil vel iure rerum; Incidunt totam officiis'''
danielle_khan_4636;92.0;9.1;29.2;'''Note: Nam officiis; then Saepe odio ducimus minima'''
joseph_barker_4314;33.0;60.1;94.2;'''Id in eum maiores cupiditate excepturi; Accusantium itaque occaecati voluptatem Soluta nulla blanditiis'''
brian_akhtar_2752;57.0;3.1;;'''(Rerum fugiat autem) ; Porro saepe and Natus distinctio'''
mathew_pugh_7051;31.0;41.1;40.2;'''Distinctio dolore: Enim ullam molestias sunt; Perferendis laborum fugit'''
sean_walker_5403;77.0;54.1;78.2;'''Error commodi veniam unde laborum; Modi quas culpa ; Voluptates minus enim'''
kieran_cooper_4979;21.0;14.1;44.2;'''Note: Inventore eos enim possimus itaque dolorem; then Similique voluptate nesciunt doloribus aut'''
mr_perry_3623;17.0;42.1;16.2;'''Note: Impedit; then Corporis sequi nesciunt numquam voluptatum'''
marcus_wilkinson_2773;71.0;28.1;69.2;'''Est sint; Illum numquam minus illum aliquid Possimus natus sapiente asperiores'''
hannah_clark_5780;37.0;80.1;80.2;'''(Asperiores harum) ; Ad sapiente debitis ipsa rem and Vel porro illum ipsum dolor'''
mrs_fowler_6894;99.0;44.1;67.2;'''Numquam explicabo impedit quo porro corrupti; Ullam vero praesentium laudantium ; Nulla voluptate officiis amet'''
dr_chapman_6606;48.0;47.1;60.2;'''Voluptates deserunt ratione unde: Provident laboriosam accusamus quam officiis asperiores; Maiores ab'''
dr_chapman_4993;79.0;16.1;85.2;'''Quod nam; Amet temporibus magnam minima ; Exercitationem labore'''
ashleigh_newman_3045;92.0;27.1;33.2;'''Commodi modi et: Officiis dolor quam; Quibusdam perferendis architecto nobis'''
miss_palmer_0065;20.0;68.1;60.2;'''Molestiae unde hic officiis exercitationem sequi laborum; Voluptates repellendus Temporibus ut modi et quod aliquid'''
arthur_hall_8073;8.0;76.1;79.2;'''Fugit dolores itaque: Alias doloribus; Eligendi consectetur reprehenderit iste ab'''
eleanor_butler_7277;1.0;93.1;58.2;'''Eligendi quisquam tenetur saepe; Explicabo quas fugiat ; Voluptatum repudiandae fugit facere officia iusto'''
mrs_burton_9444;91.0;99.1;27.2;'''Ex facere rerum facilis cum inventore; Dolore tempore Natus quia sapiente maiores'''
dr_wallace_6813;72.0;84.1;12.2;'''Atque; Autem Quos dolor tempore'''
