name,score,price,review
Craig Reynolds,49.0,8.1,"""Odio minus sit, Commodi quasi laboriosam Impedit asperiores"""
Natalie Gilbert,11.0,64.1,"""Note: Voluptatibus quidem quasi neque, then Aut nisi sit facilis maxime"""
Josephine Parker-Rees,64.0,29.1,"""Note: Facere id aut laboriosam, then A doloremque incidunt numquam eligendi at"""
Miss Nicole Nicholson,61.0,63.1,"""Mollitia soluta eaque doloremque dolor alias: Iusto saepe ducimus ipsum, Distinctio pariatur magni fugit"""
Ian Walker,82.0,40.1,"""(Quaerat impedit) , Impedit cum and Aliquam"""
Kayleigh Scott,84.0,14.1,"""Et ad possimus: Neque qui modi sint, Sint repellendus eveniet fugiat minima"""
Mr Bradley Kemp,50.0,71.1,"""Note: Unde voluptatem at, then Quis porro dolorem"""
Ms Nicola Warner,19.0,68.1,"""Qui dolorem voluptate, Repudiandae consequatur Architecto veniam cupiditate eos sapiente officiis"""
Charlotte Richards,49.0,81.1,"""(Eligendi) , Eius nostrum and Nihil voluptates fugiat"""
Ann White,28.0,60.1,"""Et est maxime, Nobis Sint pariatur nostrum optio tenetur"""
Karl Cooper,87.0,64.1,"""Atque laboriosam expedita non adipisci; Aspernatur , Similique at perspiciatis suscipit"""
John Edwards-Hawkins,16.0,26.1,"""(Fuga) , Aspernatur fuga quibusdam and Esse minus quas"""
Kenneth Newton,8.0,,"""Sequi suscipit, Repellat ipsam ex Impedit et"""
Henry Day,26.0,72.1,"""Nesciunt adipisci; Iste tempore fuga ullam , Recusandae"""
Jack Pollard,18.0,96.1,"""(Laboriosam expedita voluptates) , A libero and Vel porro consequuntur"""
Mr Gary Alexander,9.0,65.1,"""Sunt velit esse aspernatur, Perferendis quos Et non tenetur nulla"""
Nicole Holmes,89.0,19.1,"""(Porro voluptas asperiores) , Occaecati assumenda and Facilis numquam maiores illum"""
Teresa Dean,54.0,43.1,"""Note: Consectetur aspernatur, then Assumenda ipsum"""
Ricky Price-Griffiths,22.0,87.1,"""Tenetur, Tenetur Dicta accusamus placeat inventore"""
Mr Jack Daly,23.0,100.1,"""Note: Magni, then Ratione fuga assumenda"""
Dr Dean Carter,88.0,89.1,"""Voluptatum et placeat, Delectus neque Ea consectetur reiciendis expedita architecto blanditiis"""
e,91.0,31.1,"""Note: Porro temporibus repellendus, then Doloribus consectetur quae"""
Dr Amy Moore,53.0,25.1,"""Note: Earum nam incidunt, then Consectetur dolor voluptatum"""
Sandra Roberts,22.0,57.1,"""Soluta, Dolore facilis vitae Omnis illum"""
Joel Edwards,92.0,20.1,"""Note: Possimus amet, then Error cupiditate vitae nobis libero"""
Geoffrey Clarke,6.0,1.1,"""Corporis soluta officiis rem libero saepe; Ad impedit tempora sapiente , Numquam inventore excepturi"""
Patricia Price,50.0,53.1,"""Note: Quaerat aliquam, then A perferendis id perferendis deserunt"""
Martin Poole,76.0,54.1,"""Culpa nihil: Veniam voluptas repellendus, Impedit animi facere"""
Miss Marian Anderson,16.0,65.1,"""(Quod velit voluptatem) , Et mollitia quisquam quod and Sit enim aspernatur"""
James Jarvis,35.0,42.1,"""Nam adipisci repellendus atque facilis: Voluptates delectus, Voluptatibus saepe eligendi laboriosam"""
Dr Heather Brown,9.0,57.1,"""Iure nisi: Ex delectus, Laborum vel"""
Ms Melanie French,37.0,47.1,"""Modi, Reiciendis voluptatem amet dolores reprehenderit Impedit excepturi"""
Tony Edwards,60.0,67.1,"""Enim voluptatibus: Neque sint repellendus odit, Dolores voluptate error excepturi"""
Miss Elizabeth Parry,39.0,45.1,"""Veritatis mollitia temporibus, Voluptatibus ut eius Nisi consequuntur et"""
Mrs Mary Green,73.0,29.1,"""Note: Soluta ullam, then Quidem libero"""
Dr Nathan Bryan,49.0,62.1,"""Ipsa asperiores nesciunt quas officiis; Laudantium expedita libero rerum nostrum , Reiciendis consequuntur eos accusamus"""
Nathan Owen,50.0,11.1,"""Reiciendis quia; Distinctio in eveniet labore eaque , Minus deleniti"""
Dr Rhys Harris,,6.1,"""Adipisci hic; Eos ut alias , Eligendi ipsam molestias praesentium"""
Beverley Hodgson,93.0,41.1,"""Sapiente recusandae, Ducimus doloremque Nihil iusto dicta"""
Ms Jane Cooper,1.0,81.1,"""Perferendis architecto: Numquam minus eius, Nisi inventore iusto fugiat"""
Dr Darren Smith,85.0,32.1,"""Nemo hic: Porro, Natus"""
Jacob Fox-Watson,79.0,52.1,"""Incidunt hic ad alias, Nisi Iste"""
