name;price;remark
Jessica Dunn;62.0;"""Sort receive: Wait pass try; Painting"""
Lori Steele;70.0;"""Weight; Property college source four according Call"""
Thomas Cox;5.0;"""(Dark nothing threat) ; Choice pretty and Quite develop five"""
Rachael Scott;99.0;"""(Central) ; Here force moment and Personal value establish"""
Janice Lewis;38.0;"""(Late focus cell visit prove) ; Page myself themselves bit military and Including we few"""
Barbara Rodriguez;69.0;"""Heavy vote Mrs operation; Side issue ; Great bill"""
Charles Barker;22.0;"""(Tell) ; View new contain and Close phone"""
Kevin Wright;88.0;"""I movie popular apply: Knowledge official try art religious; Attention"""
Laura Williams;75.0;"""Man; Successful new new ; Western almost government goal skill"""
Christopher Adams;19.0;"""Edge collection design street chance: While concern real; Character board vote"""
Joshua Ray;58.0;"""Note: Special late gun; then Outside three tonight imagine"""
Edward Rivera;85.0;"""Young adult; Ahead condition trip discuss Course small simply"""
Christopher Ray;62.0;"""Note: What; then East son"""
Charles Vega;32.0;"""(Me media population positive heavy) ; Rule despite sport and Somebody voice long"""
Thomas Powell;62.0;"""(Better) ; Congress beyond and Job individual"""
Brian Lowe;83.0;"""Past as both nice: Glass finally out; Light bad agency recent business morning"""
Dr. Lee Warren PhD;9.0;"""Note: Eat boy phone; then Every community truth treatment"""
Sara Allen;47.0;"""Agreement according scientist right: Above parent firm major; Full peace scene amount"""
Martin Barr;43.0;"""(Safe affect tax) ; Morning lot ok and South especially her man tonight"""
Zachary Black;97.0;"""Heavy story: General decide popular; Style else outside measure apply along"""
Andrea Johnson;77.0;"""Note: Bit three peace; then Generation"""
Jerome Torres;59.0;"""Other: Note similar spring involve; Federal discussion employee"""
Madeline Murphy;64.0;"""Note interview; Number pressure Type throughout movie small"""
x;44.0;"""Feel all worry industry book: Surface; Speak fast particularly today PM"""
Ryan Cain;48.0;"""Note: Outside; then How"""
Bryan Phillips;60.0;"""House let; Speak probably forget tell quite ; Speak talk assume"""
Joseph Gallegos;72.0;"""Know; Weight ; Perform determine about bit note"""
Steven Ellis DVM;42.0;"""(Imagine large surface) ; Measure phone throw and Treat my present would remember"""
Justin Johnson;;"""Education study north oil join thing: Feel present during; Site serve argue"""
Teresa Williams;30.0;"""Fund teacher grow; Only term including my upon Bag threat really"""
Kenneth Rodriguez;77.0;"""Need hear claim; Clear pretty speak Always probably consider economic election"""
Justin Schultz;16.0;"""The affect; Wide or itself case street ; Top including"""
Jennifer Pearson;45.0;"""(Mention protect behavior) ; Including study stop and Food speak billion"""
Teresa Farmer;80.0;"""Note: Western sure; then Prove himself sort"""
Kevin Hall;2.0;"""However generation; Probably Sign apply mention than"""
Jesus Perez PhD;6.0;"""Situation north season treatment; Evening instead gun range develop ; Worker fire"""
Annette Mcdonald;43.0;"""Fire address; Budget beat goal ; Say people letter management our house"""
Kimberly Powers;34.0;"""Clearly administration born: Manage; Above person"""
Matthew Nicholson;69.0;"""Like hospital: Especially act race two collection; Box class fish data win"""
Patricia Farmer;13.0;"""Serious; Close method Occur season western make attack"""
Meghan Strickland;65.0;"""Include we other man close step quickly; Fear billion Carry force enough wife"""
Michael Ryan;97.0;"""Note: Near about hot; then Shake law"""
Christopher Johnson;76.0;"""(Church writer) ; Have wrong majority catch and Treat everything piece"""
Lori Wood;28.0;"""Whatever standard eight great; Mission join Fight religious yeah"""
Kimberly Schmidt;73.0;"""Quite allow bank you: Ten work; Big happen"""
Dawn Jones;72.0;"""That: Order; Space site scientist sport"""
Jordan Nelson;89.0;"""Note: Head information; then Partner perform a natural"""
Sarah Edwards;24.0;"""Note: Them position organization true; then Bank card system"""
Cheryl Tate;52.0;"""Customer marriage; Necessary next ; Require oil"""
Dylan Meza;59.0;"""Deep brother feel not itself: View attack; Know thus into feeling"""
