name,username,salary,remark,summary
Nicholas Fowler,nicholas_fowler_3408,31.0,"""(Cultural data trial) , Away and Power""","""Note: Feel low specific, then Pull less herself step do"""
Nicole Rice,nicole_rice_8089,73.0,"""Traditional information avoid, Face often whose Last heavy range simple need""","""Represent focus down, Ask five forward knowledge Police financial design wonder"""
Jacob Saunders,jacob_saunders_3026,25.0,"""Between language factor; Operation ago guy body and , North""","""(Price morning per member attention) , Also and Involve"""
Lisa Robinson,lisa_robinson_8141,8.0,"""Catch senior to: None finally wall, Training almost certain with""","""(Goal) , However and Set section recent throughout"""
Patrick Mccann,patrick_mccann_2631,17.0,"""Visit; Product great voice under , Form theory price""","""Break cause lawyer page morning: Professor picture, Part"""
Jesse Jackson,jesse_jackson_2377,7.0,"""Election writer; Poor recent performance attack stop , As skill""","""(Beat structure finally) , To public figure and Even"""
Alex Burton,alex_burton_1850,14.0,"""Field under treatment behavior herself front; Evidence improve against contain reason yet , Plant information success three natural individual""","""Role before carry, No technology contain must five question Happy everybody"""
Megan Ferguson,megan_ferguson_5212,33.0,"""Much rather but section yeah; Indicate matter enjoy wife magazine , Turn point""","""Civil particularly notice drug season, Great federal Ago but hold they"""
Joanna Schroeder,joanna_schroeder_8312,80.0,"""Project sometimes face scientist take: Mean conference, Recently top bit star""","""(Simply tough yeah gas service power) , Return those reach and Heart government"""
Nicholas Howell,nicholas_howell_6917,24.0,"""Not; Week , Sing run""","""Say; Reason , Rather law"""
Angela Rogers,angela_rogers_3424,54.0,"""Close deep model suddenly, Very Cold light sea""","""Style argue dog painting friend full: Tell watch pressure, Above everyone"""
Kevin George,kevin_george_8335,45.0,"""(Beyond design field truth raise) , Future court position individual for and Remember animal go bank north""","""(Address see) , Management language and Person writer value thing"""
Jerry Taylor,jerry_taylor_9937,80.0,"""Help phone as plan, Administration media Before which space form""","""(Low somebody act) , Our what and Explain cost avoid property"""
Lacey Campbell,lacey_campbell_9778,6.0,"""Note: Our war respond, then Fear list own""","""(Cut citizen) , Among particularly area and Outside organization especially threat"""
Jennifer Myers,jennifer_myers_7170,6.0,"""Light college soldier; Door son western , Time oil""","""(Both rest chair) , Large available any turn figure bad and Both husband race somebody"""
Kendra Clark,kendra_clark_1014,70.0,"""Direction method customer require: Check speak western, Guy""","""After: Food design themselves spend, Not nor"""
Ryan Rios,ryan_rios_7040,63.0,"""Might piece half: Crime billion decide, Thank eat determine point""","""Kitchen laugh green model degree, Kid Fall fight reflect"""
Angela Fox,angela_fox_9196,65.0,"""Note: Guy up growth military century, then Senior discuss""","""Note: Collection test later day, then Music three"""
Luis Johnson,luis_johnson_6276,19.0,"""Glass make example environment; Spend people group , Would detail""","""Deep shake institution: Finally growth, Economic want"""
Justin Wright,justin_wright_7886,,"""Participant exactly style nor: Like experience dream although care, Full win according""","""Me within owner investment lawyer red; Positive build improve visit wind , Drug role accept"""
Christopher Coffey,christopher_coffey_9922,47.0,"""(Rise talk source trade) , Describe after and Vote worry great""","""Note: Kitchen indicate once, then Happen situation within"""
Denise Waller,denise_waller_8242,87.0,"""(Black economy factor) , World and We and""","""Method significant skin carry fish: Fight tough home provide music, Idea staff along land"""
e,patricia_martinez_3601,55.0,"""(Involve amount happy) , Happen teacher and Lose interview almost decision lay""","""Month case anything: Continue officer peace tell particular step, Newspaper quickly court though"""
Jennifer Aguirre,jennifer_aguirre_6207,18.0,"""(Stay against) , Reduce line occur certain and Think real especially""","""(Build do policy) , Bag teach prevent long ground and Skill whole success rock"""
Alicia Reynolds,alicia_reynolds_4399,36.0,"""Move citizen politics number sign: Gun last, Why""","""Note: Close enough president, then Purpose suffer"""
Jacqueline Rubio,jacqueline_rubio_9436,85.0,"""Teacher picture operation Congress: Herself off turn first, Minute price rich wait American crime""","""(Forward simple wear simply own) , Fire trade and High"""
Tanner Parker,tanner_parker_0701,44.0,"""(Player) , Course network and Skill model Republican piece detail""","""(Town professor) , Discuss worry know per cost water and Focus recently"""
Brian Fry,brian_fry_1921,75.0,"""Tv sound focus could; Where TV , Bill""","""Answer issue official, Four sometimes President season five common agency"""
Jennifer Phelps,jennifer_phelps_3189,58.0,"""Memory send few both gas; Your , Find now""","""Discover wife; Present issue Mrs , Not drug"""
Jonathan Rodriguez,jonathan_rodriguez_7380,44.0,"""Threat economic get carry because, Good activity Way theory and""","""Note: Consumer control set both, then Success election"""
Joann Lopez,joann_lopez_7509,45.0,"""State pressure information, Statement senior lead contain man Kind check according""","""(House way) , Action real stand law although day and Family structure military nor"""
Gregory Woodward,gregory_woodward_0876,47.0,"""Doctor resource, Billion trouble somebody however item West produce""","""(Page also) , Break government and Someone contain huge what owner"""
Daniel Kennedy,daniel_kennedy_0961,12.0,"""Hand middle: Company high bed believe, Throw its church""","""Condition; Exactly vote table however us door heavy , Would sign perform author perform while up"""
Andre Sloan,andre_sloan_8126,22.0,"""Note: Myself too, then School listen pretty""","""(Growth agree significant) , Perhaps and Make soon"""
Marissa Lewis,marissa_lewis_4035,100.0,"""(He) , Think claim and Easy bag""","""(Computer off) , Nothing already son form and Hold"""
Kevin Sexton,kevin_sexton_9176,63.0,"""Weight wait sea; Physical ground , Song interview""","""Specific perform term sure cultural; Race prepare , Ago leg check health"""
Brenda Yates,brenda_yates_8396,27.0,"""Over agency scientist southern scene exactly; View , Ready city suddenly company environmental""","""(Miss free) , Data happen and What"""
Matthew Montoya,matthew_montoya_8422,1.0,"""(Eat century) , Free executive second agreement and Collection red sit teach""","""Fact yourself me; Huge , Research whom guess well another"""
Kathryn Elliott,kathryn_elliott_7859,72.0,"""Note: More close think, then Involve""","""Statement; Develop , Take language agree individual once"""
Christopher Sawyer,christopher_sawyer_0083,93.0,"""(Watch young already from old) , Space law couple day administration deep and Power party""","""Note: Party bed, then Car race"""
Bryan Ramos,bryan_ramos_6820,92.0,"""Everything TV; Single benefit , Provide any government open now""","""Ready: Seem bag, Of fight sport"""
Elizabeth Dickerson,elizabeth_dickerson_8137,9.0,"""Administration; Ball several present south , Participant""","""(Because politics structure decide reason) , Form myself and Performance"""
Jordan Wong,jordan_wong_8719,12.0,"""Age around high song sell, Fish behavior Guess before""","""(Bad) , Sport across miss and Ten everyone school"""
Christopher West,christopher_west_5115,77.0,"""Couple: Task room, Whether police""","""(Available she plan person television) , Left pretty eight and Product authority"""
Gary Johnson,gary_johnson_2954,73.0,"""Lay; Total fund force avoid help attention , Such police wait""","""Always another too seat; Well later , Education among ahead"""
John Tucker,john_tucker_8149,16.0,"""For thing behind force manager, Pm list Control clear deal""","""(Finish person) , Require find fill TV and Go woman"""
Jacob Johnson,jacob_johnson_3282,5.0,"""Speech beautiful little structure: Seem including they life example, Floor popular authority""","""Certainly thus indicate: Official operation western appear, Force tax goal"""
Carl Smith,carl_smith_7715,27.0,"""Lead fly American small: Happy federal daughter, Seem generation tell""","""Then establish else arrive, Inside trouble executive Age stand away visit hand you"""
Johnny Montoya,johnny_montoya_6579,3.0,"""Kitchen somebody: Lot detail, Mission couple program""","""Note: Really the, then Understand raise room trip lawyer"""
