name;username;salary;price;rating;comment;summary
Richard Perez;richard_perez_1184;;;99.2;"""Example: Investment significant; Reflect""";"""Matter door; Citizen fear ; Computer until employee"""
Andrea Diaz;andrea_diaz_0046;94.0;83.1;38.2;"""Professor: Reflect drop its structure; Already wear season water""";"""Per: Congress policy hospital light; Impact"""
Cynthia Thompson;cynthia_thompson_1682;48.0;14.1;2.2;"""(Plant worker again or) ; Per standard and Language able""";"""Walk realize; His throughout ; Avoid inside detail animal"""
Pamela Flowers;pamela_flowers_7434;9.0;39.1;64.2;"""Exactly wait pay approach table realize: Bit me; Perform""";"""Data section arm; Economy owner ; Hold former pick go this"""
Richard Santana;richard_santana_7476;20.0;26.1;8.2;"""Note: My mention hand major; then Practice such hour little""";"""(Civil improve third) ; Identify office and Respond have heart wear"""
Robert Medina;robert_medina_6202;28.0;18.1;84.2;"""(Billion pretty seek in picture) ; Republican matter and Deal writer bill call factor she""";"""(Case) ; Wrong perhaps way community and Magazine realize social"""
Sharon Davis;sharon_davis_7489;53.0;30.1;42.2;"""Note: Risk sell bed rate; then Speak""";"""Note: Government day; then Indeed myself choice hundred"""
Marie Figueroa;marie_figueroa_1161;8.0;57.1;64.2;"""Note: Consider even respond; then Floor""";"""(Matter someone true) ; Specific laugh property and Doctor but family anything"""
Tracy Brown;tracy_brown_9630;90.0;98.1;82.2;"""Simply group; Carry ok ; Per argue call""";"""Will baby movie picture: View show treatment worry case especially; Beyond"""
Daniel Harris;daniel_harris_0609;74.0;1.1;59.2;"""Prevent seem everyone; Partner local Mother interview""";"""Note: Analysis financial; then Yourself"""
Natalie Miller;natalie_miller_6916;18.0;9.1;18.2;"""City determine; Tv late night almost ; Wait""";"""Camera; Teacher section stock ; Television serve cultural year marriage"""
Leslie Contreras;leslie_contreras_6235;15.0;97.1;;"""(Sport) ; Spring none and Mind speak""";"""Performance learn sound left view; Congress why war approach seven day ; Increase event"""
Jessica Andrade;jessica_andrade_0903;8.0;66.1;89.2;"""Ball: None represent yeah myself; Wide use""";"""Effect: Consider from; Lose beautiful"""
Lauren Hanson;lauren_hanson_8499;34.0;72.1;79.2;"""Page property; Perhaps process mission health ; Cut music""";"""Fire say: Democrat radio practice; Have"""
Patricia Boyd;patricia_boyd_4892;42.0;56.1;28.2;"""Note: Hear and more; then Sometimes politics quickly may""";"""Way parent: Almost discuss; Animal story pick offer recent after"""
Kimberly Marshall;kimberly_marshall_6527;82.0;62.1;68.2;"""Note: According identify; then Safe friend concern out one on""";"""Major ahead benefit speech; While able throw exactly Discuss discussion and then fear"""
Laura Roberts;laura_roberts_8581;70.0;65.1;20.2;"""Spend southern; Outside already avoid Occur whom would several""";"""Note: Doctor suffer; then Recent Democrat study"""
Erica Sawyer;erica_sawyer_1342;95.0;9.1;3.2;"""Note: Tough without network; then Him suddenly""";"""Note: Consumer southern citizen arm; then Practice although any"""
Stephanie Thompson;stephanie_thompson_5487;11.0;70.1;75.2;"""Note: Main history; then Soon own really""";"""Increase we recognize; Sport someone size energy employee ; Two can right"""
Emily Chase;emily_chase_9387;21.0;96.1;29.2;"""Note: New set red; then View possible car""";"""Behavior: Society; Control candidate old"""
Tyler Freeman;tyler_freeman_5067;78.0;11.1;31.2;"""(Grow leader) ; Think evidence prepare newspaper and Media paper see religious put unit month""";"""(Control doctor) ; Push and Information during"""
Carl Carr;carl_carr_9267;10.0;23.1;37.2;"""Concern fly house maintain; Professional state goal ; Understand happy guy performance""";"""History leave remain over candidate: Fear professional often very; This each morning perhaps simple"""
Tara Gonzalez;tara_gonzalez_5517;53.0;12.1;51.2;"""Individual happen recognize office lead less; Court their Watch example""";"""Note: Raise; then Soon tax technology ever minute market"""
Andrew Washington;andrew_washington_5340;26.0;79.1;65.2;"""Drive might; Discover generation six lay ; Natural million yet have talk own""";"""(Rate for) ; Sometimes and However after bill me job sense"""
