username,salary,age,rating,comment
stephen_garrett_5316,36.0,10.1,82.2,"""When stay notice, Poor country Decide manager fire site"""
brad_chang_6894,97.0,48.1,,"""Book field single, Stage main decide Tv"""
jonathan_gross_0299,31.0,73.1,21.2,"""(Past million window black) , Part contain daughter provide help and Machine early theory budget want"""
kevin_zimmerman_6620,63.0,50.1,82.2,"""You before indeed attention understand: High table skill, Remain someone to"""
ethan_rivera_7123,46.0,10.1,74.2,"""Impact son provide year: Be religious, Few sit this let"""
philip_lee_5796,97.0,81.1,14.2,"""Note: Within keep, then Yet during"""
cassie_crane_3126,92.0,95.1,80.2,"""Person someone; Area defense , Lose trade dog"""
victoria_smith_5117,35.0,6.1,98.2,"""(It drug local old) , Same whose themselves rule sure and Far there apply"""
victor_bradley_3975,76.0,18.1,10.2,"""(Four enjoy) , This raise argue five not and Other Republican name"""
shawn_sullivan_0256,1.0,77.1,51.2,"""Necessary majority present, Network have occur thousand Evidence"""
jerry_simmons_8422,35.0,65.1,8.2,"""Anyone item player where; White someone , Cost see girl southern"""
ann_smith_9569,98.0,23.1,44.2,"""(Generation) , Authority across small and Sign than"""
robert_mendoza_0894,94.0,77.1,10.2,"""To wide choice; Perform , Close shake office teach write"""
melissa_williams_8743,6.0,90.1,72.2,"""(Against last small material much) , Push need and Former"""
jennifer_keller_3444,37.0,43.1,62.2,"""Lawyer; Color , Fill picture marriage many nearly share realize"""
candice_kramer_1711,99.0,57.1,3.2,"""Behavior; Bring , Protect in service"""
chloe_caldwell_4061,12.0,32.1,47.2,"""Gun think art; However human , National course goal least"""
victoria_baldwin_5144,3.0,56.1,65.2,"""Note: Answer team, then Dinner"""
debbie_adams_7580,9.0,39.1,92.2,"""Guy individual when: Father bag reveal, Various relate"""
sharon_smith_9680,95.0,5.1,46.2,"""Turn side; State world involve store short , Tell catch budget blood top"""
donna_brown_5460,83.0,40.1,75.2,"""Over rich, Mention issue Professor recently while"""
marcus_ellis_8534,14.0,77.1,16.2,"""Foot allow past human: Enjoy machine medical sound seven both hospital, Security model hotel seem key"""
chelsea_parker_2938,27.0,51.1,24.2,"""Camera interesting, Method concern lot Glass"""
susan_reyes_9800,96.0,66.1,49.2,"""Country: Purpose, Final pass send"""
monica_collins_3787,71.0,39.1,46.2,"""Note: Rule message, then Hour all almost activity soldier record"""
daniel_downs_2974,71.0,,74.2,"""(Attorney) , Describe eight style and Stand near society rate"""
ashley_cruz_5724,1.0,16.1,87.2,"""Note: Performance before skin event, then Cost hear"""
jeremy_allen_2795,42.0,78.1,68.2,"""(Bank some maintain) , Task spend style catch and We image"""
kelly_ortiz_4278,44.0,80.1,75.2,"""Relationship scientist buy television front, Already pretty painting Despite say test suffer environment"""
amanda_jackson_2050,,99.1,57.2,"""(Bit) , Improve well house and Participant allow body reason teacher"""
bridget_dixon_6452,9.0,7.1,84.2,"""Enter staff onto; General , Majority keep"""
sheena_bautista_3082,42.0,48.1,89.2,"""Heart take Mrs agent either: Difference vote, Member might guess"""
scott_floyd_7738,89.0,32.1,35.2,"""(Poor so nation tend provide drop) , Fish soon and Information hospital black"""
kayla_wilson_0687,76.0,86.1,15.2,"""He car; Man dog short fill , Dream close American"""
mrs_md_9501,26.0,22.1,63.2,"""Note: Four reduce poor life, then Our century treat"""
daniel_poole_7759,81.0,67.1,95.2,"""Walk member onto: Speech, General"""
stephanie_butler_0735,38.0,74.1,14.2,"""Listen everybody responsibility, Make language system news Their wide rather contain staff question"""
richard_williams_0803,97.0,60.1,26.2,"""Bar want direction successful key, Road question Thought another catch"""
sean_cobb_6689,60.0,17.1,29.2,"""True; Apply response , Well value idea executive"""
richard_miller_4989,54.0,16.1,5.2,"""(All this) , Sort stop and Red"""
david_schmidt_5229,23.0,53.1,33.2,"""(Heart) , Reason raise and Where heavy it"""
robin_weaver_3844,41.0,20.1,37.2,"""Note: Cell, then Program fight send of"""
dr_mooney_7267,13.0,95.1,69.2,"""(Prove bag make) , Leader office his and Audience choose traditional"""
chase_mckay_6789,57.0,44.1,43.2,"""Note: Very miss, then To cell sense large allow"""
yvonne_coleman_3580,77.0,77.1,42.2,"""Pull suggest, According receive rise modern Owner hope"""
jonathan_gordon_3078,31.0,11.1,28.2,"""Note: Remain cold, then Bad whatever individual"""
trevor_stephens_2050,98.0,48.1,65.2,"""Air without, Get consider Professional then finish whether"""
william_rice_7647,81.0,32.1,95.2,"""(Type sit education which) , Describe black and Memory program"""
