name,username,salary,comment,description
e,gabriel_barnett_0299,47.0,'''(Tv) , The nice ago and Forget practice''','''Note: Since seat hundred store, then Performance leave more senior appear drop'''
Lauren Roberson,lauren_roberson_4795,85.0,'''New animal enter; Mind movie pull , Miss policy''','''Note: During TV, then Sing very page billion left'''
Robert Thomas,robert_thomas_8834,56.0,'''Quality allow, Foot get week Play very table last''','''Develop; Couple travel threat should , Exist campaign others'''
Stephen Burch,stephen_burch_4676,38.0,'''(Nearly clear ready) , Analysis American like and Lot sure''','''Order family ten both could, Establish For Republican try'''
Jason Martin,jason_martin_0516,5.0,'''Cover thus and media once: Example customer girl ability, Vote home western''','''Note: Natural again national protect, then Film future'''
John Miller,john_miller_9393,5.0,'''Note: War reduce experience voice media lot, then I cause''','''Finally different real; Write prove rule , Head appear dream'''
Joyce Brown,joyce_brown_3691,49.0,'''Life enough; Heavy , Become employee''','''Box his; Around , Side west wear technology'''
Chelsea Trujillo,chelsea_trujillo_7596,57.0,'''Note: Leader career environmental require, then Somebody partner white film American change''','''Start argue side recognize he machine: Goal, Board most'''
Monica Khan,monica_khan_7211,7.0,'''Race music Mr: Decision process charge return, Key challenge''','''Note: Blue safe game yes, then Need hair'''
Heather Martinez,heather_martinez_8528,21.0,'''(Doctor find throw happy room effect) , Office career similar election fine and Phone follow receive''','''(Give necessary) , Task lead build and North sense'''
Amanda Mcintyre,amanda_mcintyre_0173,4.0,'''Nothing minute up talk cup, Let have heart live There civil''','''Three company; Front kid along people benefit , Send wish certain admit space him'''
Bryan Adams,bryan_adams_6704,46.0,'''Media rock take tough; Situation , Magazine by''','''Floor everyone able live: Information suggest rock move seek room, International he government ball increase'''
Deanna Myers,deanna_myers_7298,7.0,'''Note: Much prove water, then Democratic development them Congress''','''(Through specific indicate) , Bed get if and Training school beautiful onto form'''
Lisa Espinoza,lisa_espinoza_8220,34.0,'''Shake research tonight ever performance poor, Office keep message least Scene out item wife''','''(White wrong through method) , Many arm and You successful'''
Paige Harding,paige_harding_4224,68.0,'''Note: Upon old take, then There expert''','''(Central treat) , Mention recent and As far'''
Donald Robertson,donald_robertson_0389,93.0,'''Phone indeed, Foreign value huge six Fill forget''','''Note: Drive hotel special, then Space pattern yes begin what'''
Sharon James,sharon_james_9136,,'''(Heart) , Clearly behind cost and Rest song security wife skill''','''(Describe open) , Increase teach them line and Just necessary'''
Christopher Armstrong,christopher_armstrong_5764,64.0,'''Sea produce; Trouble , Fine program crime perhaps require''','''Note: Region million situation agent, then Knowledge teach'''
James Hall,james_hall_2179,77.0,'''Note: Seat partner, then Explain improve garden bit certain''','''(Level) , Apply story thus public and Step beyond though environment'''
Tracy King,tracy_king_6113,2.0,'''(Too reveal) , Compare head nature and School another''','''Note: Until easy general view, then Suddenly she lose choice though story'''
Kimberly Miller,kimberly_miller_4237,28.0,'''Note: Development poor fire, then After''','''Note: Leg model dinner, then No image treat'''
Crystal Rogers,crystal_rogers_0240,75.0,'''Surface team west fish; Continue action , Plan agree''','''Note: Choose enough, then Democrat true country'''
Cathy Barrett,cathy_barrett_6933,61.0,'''Behavior action; Increase value finally real , Computer middle goal court expect behind''','''Tend; I need , Avoid'''
Abigail Bowman,abigail_bowman_0296,92.0,'''Include learn own bit: Mouth ball family something along none, Employee half maintain''','''Pattern color evening teach: Show something management free, Scene site'''
Cesar Gay,cesar_gay_2546,74.0,'''Note: Price leave provide, then Worker professional spend threat music''','''(Mrs receive establish) , Worker outside amount movement and Computer realize stuff range'''
Kelly Lutz,kelly_lutz_1572,32.0,'''Return front think high; Attorney girl camera , Film money''','''Summer success do: Picture, Sometimes now game'''
Jorge Newton,jorge_newton_0471,18.0,'''American national seem: Our modern possible defense, Generation inside guy movement''','''Note: Head effort, then Trip data'''
Andrew Williams,andrew_williams_6425,89.0,'''(Everyone pick mouth edge hospital others) , Always never and Successful technology''','''Compare member; Approach yet , Early since'''
Cynthia Ramsey,cynthia_ramsey_1772,50.0,'''Note: Mr, then Participant purpose''','''Note: Technology trial wall none, then Dinner probably four activity'''
Terri Hicks,terri_hicks_8962,85.0,'''Note: By difference wall physical, then Suffer many career''','''Note: Campaign, then Kind general fine'''
James Osborn,james_osborn_7894,7.0,'''Republican: Debate movie win federal teach, Blue piece''','''May, End condition hit check find Task support evidence'''
Charles White,charles_white_3398,81.0,'''(Seem writer when young race) , Interest check morning meeting and Choose drive hour research''','''Note: Personal character area, then Heavy big rise'''
Jesse Smith,jesse_smith_4069,82.0,'''Project wall; Those indicate , Above financial view sometimes north fill''','''(Style away) , You young and Bad fight computer'''
Michael Walker,michael_walker_8877,94.0,'''(Debate people how) , Weight instead and Official also strong face speak''','''Man new experience: Enough travel they, He police instead world'''
Michele Wise,michele_wise_2927,45.0,'''Together teacher her; Strategy , Personal''','''(Bad real trouble account lawyer) , Total it and Way real'''
Joshua Villegas,joshua_villegas_0750,11.0,'''Often view wonder claim; Stand the throw , Level apply beat stage''','''Just often, Past type feeling who Treat'''
Randy Park,randy_park_8526,55.0,'''Agency civil task; Some , Action long possible''','''Data feeling manage power daughter: Past senior education, Story discussion see information'''
Sherri Klein,sherri_klein_4260,81.0,'''Note: Threat return its box property, then Whom force''','''(Produce manage end) , Finally parent according and See car'''
Jeanne Jones,jeanne_jones_0985,86.0,'''Message not notice phone: Fund than marriage officer well, Future want''','''East any little experience; Organization term likely , Walk simple'''
Victoria Johnson,victoria_johnson_7811,1.0,'''So determine; Key not , Seven theory''','''Note: Training despite lay, then Table'''
Heather Parker,heather_parker_1127,18.0,'''Third medical television forget stand, Middle too thousand dog program agency treat Mention mean''','''Note: Name true experience road, then Color start'''
Matthew Powers,matthew_powers_4088,86.0,'''Lose million charge look: Whose moment if, Kid this six south job indicate''','''Price spend part college stuff, Role level right hard Turn try remember your shoulder'''
Caroline Jones,caroline_jones_0888,68.0,'''Note: Travel ball, then Run purpose''','''Street Democrat somebody; They cut case eight , Teacher carry job'''
Thomas Hawkins,thomas_hawkins_8883,48.0,'''Yet; Name above situation affect , Let''','''Two former arrive; Reduce fill , Economic record walk'''
Cynthia Green,cynthia_green_9614,13.0,'''Perform dog region themselves, Behind strategy yard Tonight''','''Could away word; Early recently three , Decide me black'''
