# This is a comment line to skip
name;price;note;review
Mr Gregory Roberts;56.0;"""Note: Assumenda; then Culpa""";"""Note: Facere laboriosam maiores; then Optio doloribus"""
Debra Wilson;34.0;"""Sint eius; Sapiente Sit adipisci eaque voluptatibus porro""";"""Note: Libero aliquam; then Culpa"""
Mr Gregory Wood;94.0;"""Perspiciatis voluptate optio et: Est fugit architecto incidunt minima; Dolorem totam""";"""Consequuntur fugit eveniet; Nesciunt cumque atque ; Eaque perspiciatis"""
Dr Peter Grant;97.0;"""(Quasi) ; Veritatis and Possimus laboriosam""";"""Fuga laboriosam: Molestias modi magnam corporis; Neque voluptate"""
Scott Birch-Lamb;46.0;"""Id; Quo quis neque Soluta fugit ipsam blanditiis""";"""Deserunt iste ipsa dolore; Dolore illo nostrum ; Excepturi nesciunt minus"""
Leigh Greenwood;62.0;"""Officiis autem; Modi beatae Harum quam laboriosam""";"""Note: Fuga eum; then Perferendis tempora amet ut labore ullam"""
Dr Victor Clark;13.0;"""Doloremque voluptates; Consequuntur nostrum hic laudantium culpa a Minima dolorum saepe""";"""Illum expedita dolore error nostrum; Quibusdam Veniam nisi"""
Owen Humphreys-Fraser;61.0;"""Note: Facilis; then Ullam nihil alias""";"""Dolorem vitae dolore distinctio minima; Eveniet error doloribus sunt sed ; Vitae"""
James Taylor-Morgan;55.0;"""Note: Libero labore exercitationem quibusdam earum itaque; then Dolores at voluptate""";"""Assumenda cum tempora: Facilis a blanditiis; Animi cupiditate reprehenderit voluptate"""
Louise Gray;3.0;"""Note: Voluptas rem; then Iusto omnis""";"""Vitae eos a laboriosam; Iste ratione natus ea Sit doloremque cum porro"""
Miss Geraldine Carter;49.0;"""Facere sequi illum; Nihil ; Distinctio earum""";"""Note: Voluptates; then Sequi"""
Julian Russell;5.0;"""Mollitia ipsam eius; Ipsum corrupti nulla Dicta non nisi""";"""Minima repellat fuga: Ratione; Officia"""
Martin Richardson-Murphy;63.0;"""(Expedita a vel dignissimos) ; Similique odit sapiente and Non amet""";"""Officiis sed; Tempora aliquid Quas"""
Mr Mohammad Morgan;43.0;"""Mollitia eveniet; Libero vero ; Ea""";"""Excepturi architecto sed; Exercitationem tempore aperiam Vitae dignissimos libero"""
Dr Gary Khan;64.0;"""Distinctio debitis veritatis dolor inventore velit: Rerum; Consectetur doloremque""";"""Reiciendis a animi; Rem iusto modi ; Animi vero"""
Brian Freeman;10.0;"""Note: Hic; then Placeat tempora ab""";"""Quod libero consequuntur: Perferendis corrupti at; Cumque quae"""
Mr Leslie James;85.0;"""(Animi assumenda laboriosam) ; Perspiciatis and Fugit possimus labore""";"""Minima esse laudantium eveniet; Voluptatibus ; Id corporis perferendis numquam"""
Marc Clarke;56.0;"""(Porro ullam explicabo) ; Eaque and Reprehenderit consectetur""";"""Note: Dolor; then Ad officiis sint"""
Leah Parker;27.0;"""Amet maiores: Dolor eum laborum; Asperiores""";"""(Vitae expedita odit molestias blanditiis magni) ; Dolorum earum aperiam and Exercitationem tempora minima"""
Kerry Evans;6.0;"""Note: Quas consequatur; then Consectetur esse""";"""Optio quidem dolor: Voluptatibus placeat quod fuga; Quasi doloribus sequi ad"""
Danielle Gough;43.0;"""Note: Omnis eius; then Unde voluptate""";"""Note: Tempora perferendis magni debitis doloribus; then Ab quibusdam dolor voluptatibus"""
Ms Frances Bell;61.0;"""(Sequi quis doloremque nesciunt quidem) ; Quasi mollitia and Quibusdam harum""";"""Soluta accusamus voluptas veritatis expedita; Quis ; Quasi numquam"""
Ms Janet Barton;28.0;"""Odio adipisci; Rem ducimus eveniet accusantium ; Nobis qui""";"""Note: Labore libero; then Magnam quia accusantium"""
Margaret Walton-Arnold;5.0;"""(Quidem molestias quam) ; Optio inventore and Veritatis""";"""Note: Laborum; then Adipisci facere"""
Dr Joseph Carter;52.0;"""Eligendi sapiente doloremque illo quos; Aliquam adipisci Ipsam""";"""(Cumque) ; Odio enim commodi aut and Dicta quia maiores aut"""
Timothy Davies;78.0;"""Perspiciatis iusto: Ipsum assumenda; Libero dignissimos""";"""(Optio corporis modi corporis quidem) ; Optio earum numquam and Optio laboriosam excepturi ipsa"""
Ms Caroline Cook;19.0;"""In ut saepe ipsa illo: Dolore odio; Perferendis beatae""";"""Ad; Assumenda sint Tempore"""
Jay Palmer;35.0;"""Note: Dignissimos vero; then Ipsam pariatur repudiandae""";"""Autem nulla est sed; Molestias porro Cumque"""
Diane Lee;99.0;"""Illo ratione provident repudiandae: Repudiandae quia perspiciatis ratione; Rem aperiam""";"""Animi quibusdam ad maiores; Sint aperiam quae consequuntur fuga ; Ducimus ratione"""
Amelia Evans;74.0;"""Ad quaerat temporibus; Natus corrupti Officia""";"""Maxime; Optio eveniet ; Sint mollitia"""
Mr Bruce Hopkins;19.0;"""Voluptates animi fugit; Accusantium amet a ducimus Voluptatum deserunt""";"""Culpa; Molestiae accusamus itaque Qui quae dolores laboriosam quae"""
Stanley Harding;15.0;"""Sint; Quo illo distinctio ; Deserunt placeat""";"""Hic omnis voluptatum: Doloribus excepturi nemo suscipit iure perferendis; Dignissimos voluptates"""
Miss Kim Johnson;58.0;"""(Ipsa provident laboriosam) ; Suscipit rerum and Nostrum dicta consectetur voluptas ducimus""";"""Repellendus excepturi: Sit totam; Aliquid vero"""
Mrs Claire Carter;96.0;"""Harum eius voluptas; Aliquam reprehenderit deleniti Soluta dolore beatae illum aspernatur rem""";"""Corporis officiis unde fugit; Aut ; Illum labore quod amet nam"""
Anne Jones;41.0;"""Note: Accusantium totam repellat officiis; then Aperiam eligendi""";"""Animi ducimus enim voluptatem voluptas: Odit consequatur repellat consectetur; Consequuntur neque saepe"""
Laura Dickinson;75.0;"""Aspernatur adipisci; Corrupti quae voluptatibus Vel quo quisquam sequi eum consequatur""";"""Impedit; Beatae accusantium doloremque aliquid ; Sunt aperiam excepturi repellat"""
Marc Thomas;7.0;"""Mollitia; Accusantium nemo quam occaecati corrupti ; Odit optio""";"""Note: Quidem impedit; then Quibusdam officia commodi temporibus"""
Holly Taylor;65.0;"""Labore eos excepturi; Sequi dolore harum Nam consequatur""";"""Dolore ullam accusamus; Tempora minima quo a Tenetur aliquid rerum"""
Nathan Cox;8.0;"""Accusantium nisi enim: Quo suscipit voluptatum in; Ut error tempore optio quibusdam nesciunt""";"""At voluptate; Dolores dicta recusandae vel ; At"""
D;;"""Note: Cum ullam assumenda placeat; then Cupiditate ipsam vero asperiores""";"""Aspernatur nam; Natus maiores harum provident quisquam ; Iure esse accusantium modi"""
Louise Cooper;43.0;"""(Et reprehenderit maxime reprehenderit) ; Quasi laboriosam and Quos natus quis amet assumenda""";"""Note: Totam consectetur; then Recusandae fugiat"""
