# This is a comment line to skip
username,name,total_count,score,description
stanley_pratt_1586,D,32.0,94.1,"""Note: Sint magnam non, then Nemo porro eveniet nemo"""
dr_bennett_7521,Dr Brian Bennett,39.0,40.1,"""(Animi cumque repellat) , Magni nostrum optio placeat tenetur quidem and Deleniti iure dolorum"""
elaine_jones_7554,Elaine Jones,75.0,63.1,"""(Ut quia vero) , Nihil and Commodi"""
ms_hall_1325,Ms Danielle Hall,53.0,34.1,"""(Pariatur) , Incidunt ullam recusandae and Molestias dolores"""
elaine_lees_3030,Elaine Lees,65.0,7.1,"""Assumenda aliquid laudantium, Ratione tempora amet ipsam sint Deleniti perferendis"""
martin_hutchinson_7621,Martin Hutchinson,86.0,56.1,"""Ab consequatur; Ipsa inventore incidunt enim recusandae consequuntur , Rerum sit explicabo ipsam"""
dr_west_5711,Dr Abigail West,71.0,22.1,"""Quas aliquid, Aliquam accusantium maiores Doloribus quaerat"""
ms_cooke_3966,Ms Michelle Cooke,52.0,85.1,"""Officiis reprehenderit debitis, Voluptatem voluptas ullam corrupti numquam Itaque soluta inventore expedita"""
eric_watts_4150,Eric Watts,78.0,56.1,"""Sit accusamus: Alias sit nostrum, Corrupti inventore aliquam repellat deleniti"""
mrs_carter_5513,Mrs Carole Carter,10.0,1.1,"""Note: Molestias repellendus sequi quos, then Hic"""
craig_murphy_6644,Craig Murphy,45.0,78.1,"""Note: Nihil animi dicta, then Labore aliquam"""
rita_harrison_5297,Rita Harrison,52.0,40.1,"""Praesentium commodi; Id ea , Saepe natus reiciendis iusto dolore"""
dr_smith_3168,Dr Gregory Smith,96.0,25.1,"""Tempora porro et, Sint aut dolores Quam accusantium"""
irene_thompson_5894,Irene Thompson,69.0,79.1,"""Perferendis reprehenderit quae, Enim Impedit molestias autem dolores"""
dr_hewitt_8284,Dr Abbie Hewitt,98.0,4.1,"""In aspernatur nulla: Illo dignissimos dicta quam tempore, Provident repellendus deserunt"""
steven_brown_4458,Steven Brown,71.0,,"""Repudiandae aliquid exercitationem velit; Ea , Delectus fugiat nisi quos sed omnis"""
holly_cooper_3779,Holly Perry-Cooper,19.0,100.1,"""Totam magni hic perferendis ipsa; Deleniti ducimus tempora eos , Veritatis doloribus dignissimos"""
eleanor_gibson_8077,Eleanor Clarke-Gibson,43.0,49.1,"""Note: Maiores eaque, then Harum"""
amelia_smith_1042,Amelia Smith,60.0,1.1,"""Note: Vero distinctio eos illum, then Facere temporibus"""
owen_robertson_4316,Owen Robertson,79.0,86.1,"""Harum vero fuga, Nostrum fuga soluta facilis Porro eaque ab"""
mr_lane_4358,Mr Graeme Lane,64.0,18.1,"""Exercitationem nam temporibus: Soluta esse, Eos dicta"""
tina_rahman_6068,Tina Rahman,88.0,86.1,"""Voluptates est dolore itaque sapiente quam consectetur, Quaerat maxime ipsam Alias"""
samuel_lambert_5188,Samuel Lambert,44.0,8.1,"""Note: Eaque ipsam, then Odio nulla"""
benjamin_griffiths_3624,Benjamin Griffiths,,96.1,"""Error veniam fugit, Reiciendis dolorem aliquid cumque officia at Soluta"""
dr_howard_3561,Dr Carly Howard,64.0,58.1,"""Rerum, At consequuntur fugiat atque Tempore vero"""
john_jackson_7805,John Jackson,63.0,12.1,"""Note: Doloremque cum, then Temporibus fuga autem maiores"""
ryan_evans_1080,Ryan Evans,79.0,52.1,"""Suscipit minima non, Unde voluptate ex Aut ex"""
carly_thomas_5873,Carly Thomas,8.0,21.1,"""Note: Et dicta, then Soluta id atque"""
denise_walton_4159,Denise Walton,84.0,35.1,"""Et, Rem aperiam Laboriosam"""
