name,salary,rating,review
Alice Phillips-Dobson,76.0,20.1,"""Necessitatibus debitis; Ullam assumenda illo dolorum et mollitia , Ex accusantium quos accusamus"""
Victoria Long,1.0,46.1,"""Note: Possimus quo similique distinctio, then Nisi culpa"""
Nicole Humphries,80.0,17.1,"""Deserunt; Sapiente , Excepturi assumenda"""
l,47.0,99.1,"""Delectus debitis; Odio autem minus , Maxime laborum tempora nisi explicabo"""
Mohamed Long,94.0,28.1,"""(Doloremque vero sit) , Iusto iure and Ullam ipsum ex nulla"""
William Pearson,12.0,85.1,"""Odit ratione porro dignissimos, Porro repudiandae fugit maxime Sed soluta"""
Mrs Angela Ali,15.0,87.1,"""(Assumenda nulla rerum) , Suscipit quod reprehenderit eos and Perferendis sequi ut"""
Jenna Khan,80.0,3.1,"""Note: Praesentium, then Quam totam rerum"""
Marion Bailey,48.0,62.1,"""Officiis laboriosam et ut illum rerum: Earum, Libero"""
Deborah Green-Kelly,91.0,28.1,"""Quia nobis; Magnam , Ab voluptas aperiam"""
Irene Murphy,50.0,11.1,"""(Ad quas voluptates delectus) , Totam cumque and Velit eum"""
Dr Edward Reed,73.0,79.1,"""Note: Reiciendis nam sequi ipsa culpa, then Modi nulla rem voluptatum"""
Joshua Graham,88.0,56.1,"""Note: Corrupti adipisci excepturi veniam, then Quis nostrum"""
Mr Martyn Fletcher,62.0,82.1,"""Modi tempore, Quae hic quis nisi unde Sapiente commodi enim aliquam vitae"""
Denise Read,75.0,95.1,"""(Doloribus) , Aspernatur itaque eos and Ipsam"""
Max Kemp,40.0,37.1,"""Voluptatibus laboriosam; Laborum veritatis reiciendis , Quia tempore qui"""
Dr Gail Bray,18.0,29.1,"""Quia modi, Nulla alias odit Doloribus nesciunt"""
Mrs Katie Oliver,89.0,86.1,"""Voluptatibus id sint aspernatur sapiente est; Reiciendis possimus eius , Dicta expedita"""
Jordan Greenwood,76.0,74.1,"""Note: Fuga eaque asperiores ducimus, then Voluptate aliquam amet"""
Rhys Kaur,34.0,12.1,"""(Quia tenetur dolore non) , Enim temporibus suscipit and Odio"""
Mr Leigh Bradley,89.0,12.1,"""Nesciunt molestias perferendis; Illo doloremque , Accusamus dolorum ullam excepturi"""
Mr Mathew Harris,14.0,,"""Blanditiis rem quidem repellendus at: Atque omnis incidunt, Ducimus expedita id tempore"""
Kevin Marsden,24.0,66.1,"""Note: Quaerat, then Rem a"""
Mohamed Sharp-Ali,52.0,33.1,"""(Assumenda esse rem) , Ex and Deserunt magnam facilis"""
Dr Sharon Gordon,23.0,79.1,"""Saepe: Ducimus adipisci neque, Assumenda minima est quo"""
Dawn Taylor,17.0,81.1,"""Eveniet; Aut voluptates , Aliquam dignissimos est"""
Jordan Abbott,11.0,29.1,"""Nisi consequatur ut corporis: Adipisci nostrum vel reiciendis sunt, Ipsa quis"""
Alan Brown,53.0,54.1,"""Quaerat voluptas, Eos sint Delectus eligendi"""
Adam King-Hopkins,78.0,1.1,"""Sed dignissimos rerum illo asperiores: Velit eum, Suscipit eius"""
Mrs Patricia Byrne,86.0,12.1,"""Maiores aliquam eligendi sit: Nihil natus, Sunt nulla"""
Donald McCarthy,5.0,28.1,"""Officiis tenetur; Sunt nihil architecto dolores , Dolor dolores"""
Abigail Thompson,61.0,40.1,"""(Sunt nostrum molestias voluptates et) , Blanditiis debitis and Veritatis animi illum"""
Mrs Sylvia Wilson,,75.1,"""Ullam alias ad quidem quibusdam consectetur: Perspiciatis omnis voluptatum provident dolor, Officia pariatur mollitia nam"""
Pamela Woods,2.0,36.1,"""Libero ducimus aliquid ipsum deleniti, Tempora Harum possimus"""
Dr Claire Watson,94.0,4.1,"""(Non) , Soluta quos and Possimus eius"""
Lewis Campbell,81.0,50.1,"""Earum cupiditate sed: Inventore molestiae ducimus ullam, Facere"""
Alice Skinner,18.0,90.1,"""Quibusdam beatae quaerat; Ratione aspernatur veritatis voluptatum ab molestias , Neque ipsa dolor"""
Mohammed Parker-Carter,21.0,28.1,"""Atque saepe; Quos perspiciatis laudantium laborum , Occaecati explicabo earum ipsum veritatis"""
Mr Conor Griffiths,59.0,14.1,"""(Expedita reprehenderit) , Cumque and Velit soluta assumenda"""
Danny Begum,14.0,1.1,"""Nihil possimus: Perferendis numquam quisquam temporibus reiciendis, Debitis laborum sunt"""
Emma Whitehouse,1.0,82.1,"""Error natus aperiam: Nulla, Deserunt praesentium ipsa"""
Marcus Roberts-Gordon,6.0,68.1,"""Pariatur quos optio doloremque, Suscipit maiores vero dolore Nemo natus"""
Kathryn Jennings,90.0,47.1,"""Expedita quaerat cupiditate, Tempore earum Velit hic facere nisi"""
Pauline Morton,52.0,13.1,"""Note: Totam at voluptates temporibus ea, then Expedita"""
Irene Curtis,12.0,8.1,"""Doloremque deserunt iusto eos, Beatae tenetur laborum suscipit iusto Facere porro voluptatibus"""
Dominic Bradshaw,58.0,14.1,"""(Tempore consequatur culpa assumenda) , Possimus atque placeat and Laborum"""
