username,salary,total_count,message
graham_moore_9757,76.0,18.1,"""Natus voluptatum hic quaerat; Maiores praesentium ipsa maiores , Fugit"""
martyn_frost_3687,99.0,5.1,"""Enim consectetur maxime; Iste ab , Veniam maxime temporibus quas exercitationem"""
dr_johnson_9168,44.0,57.1,"""(Veniam nam) , Quaerat error maiores ea nemo and Maxime perspiciatis doloribus expedita nulla"""
leon_marshall_8746,89.0,,"""Repudiandae provident: Possimus, Veniam ipsam quas"""
vincent_graham_6239,83.0,74.1,"""Note: Blanditiis numquam tempora sint, then Cupiditate provident"""
rosemary_phillips_2659,60.0,40.1,"""Note: A magni corrupti, then Repudiandae corrupti reiciendis aperiam"""
mr_abbott_8290,56.0,25.1,"""Magni perferendis tempore, Quo ab ea Tenetur tenetur"""
michelle_cooper_2371,30.0,88.1,"""Note: Unde, then Minima repudiandae accusantium amet animi"""
laura_potter_4071,77.0,62.1,"""Doloribus tenetur; Quasi quam accusantium mollitia quasi , Impedit eaque quo"""
dr_jackson_1235,,92.1,"""Occaecati fuga a suscipit, Fuga quis Voluptate odit saepe corporis numquam et"""
jordan_moran_4129,76.0,66.1,"""(Id provident) , Accusantium eligendi fugiat and Cupiditate commodi"""
jill_atkinson_4528,77.0,93.1,"""Note: Tempore ex, then Similique ducimus"""
arthur_wilson_2588,83.0,84.1,"""Note: Laboriosam sunt explicabo, then Aliquid eos modi"""
jack_pearson_7632,83.0,11.1,"""Ad animi illo; Velit laboriosam , A fugiat ex"""
maurice_tyler_6690,98.0,67.1,"""(Voluptatibus) , Nihil quia and Repellendus ipsam"""
mrs_russell_3141,39.0,1.1,"""Voluptas soluta eum quae tempore exercitationem: Praesentium nemo necessitatibus, Dignissimos"""
ms_bradley_4662,88.0,98.1,"""Note: Consequatur, then Dolores fuga error"""
caroline_marsh_4717,57.0,27.1,"""Note: Impedit autem totam provident, then Quaerat dolorem nulla"""
mr_stanley_2907,26.0,44.1,"""Rerum fugit inventore possimus rem voluptatum: Asperiores ipsa porro eaque, Incidunt similique"""
mr_bird_9248,61.0,42.1,"""Quod; Dolor adipisci veniam , Dolorum laboriosam"""
june_potts_9876,10.0,43.1,"""Note: Excepturi blanditiis praesentium molestiae, then Quisquam iusto praesentium"""
dr_bradley_3168,94.0,67.1,"""Facere ad quos magni facere aut, Doloremque quidem Velit"""
sian_jones_9850,30.0,99.1,"""Dignissimos: Quidem natus fuga, Illum aspernatur hic"""
joanne_mills_5013,21.0,3.1,"""Saepe optio maiores voluptate amet; Accusantium aut , Assumenda"""
jennifer_mason_8003,32.0,100.1,"""(Rerum voluptatem) , Voluptatibus rerum ducimus sed non and Odit corrupti dicta odio"""
liam_marsh_4382,72.0,25.1,"""Natus molestias occaecati sunt ipsa: Nobis quis vel, Eveniet delectus"""
shannon_jones_5069,56.0,30.1,"""Illo tempora ipsam nihil: Quod sit, Cumque soluta temporibus doloribus"""
alison_king_6341,62.0,91.1,"""Ut consequuntur quasi; Rerum placeat deserunt molestiae aperiam , Sapiente alias iure"""
mr_hughes_8704,81.0,75.1,"""Note: Provident commodi officiis, then Ducimus incidunt"""
pauline_skinner_0507,10.0,41.1,"""Note: Fuga iure, then Laborum expedita"""
elizabeth_booth_1374,55.0,91.1,"""(Ipsam exercitationem) , Molestiae in and Asperiores nulla culpa omnis modi"""
kyle_bird_4425,8.0,21.1,"""Note: Doloremque velit sequi, then Fuga"""
mr_andrews_3421,84.0,61.1,"""Repellat: Sint vel quisquam corrupti, Consectetur minima magni"""
dennis_reynolds_2425,54.0,9.1,"""Illum dicta libero ipsa asperiores nesciunt: Molestiae et, Possimus aliquid maxime sint vero magnam"""
dr_collins_1899,84.0,33.1,"""Tempore debitis nihil: Vero suscipit delectus pariatur, Quae accusantium ratione in ab"""
philip_clarke_5893,39.0,87.1,"""Ut maiores ipsum corrupti nisi: Quibusdam tenetur illum, Iusto cum maiores"""
maria_akhtar_5549,57.0,55.1,"""Note: Dicta voluptatem voluptates, then Consequatur quas modi nostrum dignissimos"""
tom_green_0366,78.0,12.1,"""Quasi molestias officiis iure esse veritatis, Incidunt Architecto quaerat"""
dr_smith_6272,2.0,86.1,"""Note: In quam distinctio rerum neque, then Maxime"""
victoria_berry_6039,77.0,65.1,"""Sint accusantium: Eius iusto facilis, Officiis soluta"""
