username,name,age,rating,remark
kevin_robinson_1801,Kevin Robinson,69.0,39.1,'''Note: Send, then Yet point'''
jocelyn_price_2878,Jocelyn Price,75.0,88.1,'''Face sign kitchen much growth: Participant these, Join'''
emily_proctor_5272,Emily Proctor,65.0,27.1,'''Front success believe figure; Participant next , Room'''
christopher_stevens_0430,Christopher Stevens,93.0,32.1,'''Worry hear; Either from , Cold'''
rachel_george_3608,Rachel George,,52.1,'''Traditional commercial similar government business nature: Heavy stand throughout say green with, Blood eat check'''
rachael_jackson_9230,Rachael Jackson,15.0,,'''Shake about, Cup write whatever trouble rise head It defense number those smile unit'''
stephanie_greene_7489,Stephanie Greene,35.0,89.1,'''Note: Room often, then Your doctor'''
john_wilson_9768,John Wilson,30.0,16.1,'''Note: Stock, then Degree region recently'''
ryan_young_7259,Ryan Young,94.0,11.1,'''Part soon fund after: Worry, Really onto whatever along challenge'''
amanda_griffin_5387,Amanda Griffin,28.0,83.1,'''Section program: Cup skin baby, Administration provide reach actually nor'''
jeanette_friedman_7137,Jeanette Friedman,39.0,21.1,'''Those safe organization development: Talk break, Court citizen reduce recent ahead'''
mr_carey_7984,Mr. Shane Carey,76.0,5.1,'''(Authority choice with) , Why often street and Theory safe attack'''
holly_ford_6432,Holly Ford,80.0,7.1,'''Ok plan full: See business animal civil, Tough line'''
erik_larsen_8460,Erik Larsen,15.0,18.1,'''(Interesting summer) , Item magazine and Continue door treatment where artist recognize'''
raymond_cardenas_5177,Raymond Cardenas,17.0,41.1,'''Capital laugh; As message growth worry tax , Culture'''
brandon_david_5293,Brandon David,70.0,7.1,'''(Want development) , Entire and Protect ask bed'''
james_jefferson_7909,James Jefferson,97.0,29.1,'''Mind talk, Law campaign grow Cup'''
jason_fisher_7242,Jason Fisher,68.0,51.1,'''Laugh major or: Fund, Someone left page'''
thomas_riley_8438,Thomas Riley,87.0,11.1,'''Spend hold charge especially; Value case anyone west bit , Know relationship necessary'''
michelle_lopez_3850,Michelle Lopez,62.0,39.1,'''Note: Baby customer medical, then Mind edge behavior it baby hope'''
curtis_bauer_7994,Curtis Bauer,59.0,45.1,'''Note: By maybe, then Floor fall serve crime'''
kenneth_paul_3247,A,28.0,45.1,'''(Reality yes hot rest) , Our newspaper feel and Guess crime work level'''
yolanda_avila_7387,Yolanda Avila,69.0,6.1,'''(Project indeed eat edge bag) , Better government and Note appear plan'''
patricia_walsh_8391,Patricia Walsh,98.0,7.1,'''Lose; Worker , Institution water share'''
elizabeth_weeks_4574,Elizabeth Weeks,75.0,28.1,'''Mrs; Sell boy game listen short , Piece speak control'''
