username	name	total_count	remark
michael_murphy_2550	Michael Murphy	83.0	'''Nation themselves experience make	 Wall want Former there court get key'''
juan_adams_2554	Juan Adams		'''Need economic interest democratic reveal: Couple make	 Discover assume'''
dwayne_phd_8528	Dwayne Pham PhD	34.0	'''Foreign Mr	 Other president town Hair out real laugh budget'''
miguel_hancock_4158	Miguel Hancock	39.0	'''Note: Pay	 then Year'''
james_santos_7600	James Santos	59.0	'''(Develop leg teach cell) 	 Reality exist plan and Member public everything natural'''
gavin_logan_6076	Gavin Logan	52.0	'''(Represent career) 	 Save story view reflect and Find which popular door'''
dana_perez_5620	Dana Perez	36.0	'''Note: Bed	 then Stay would'''
katie_callahan_8812	Katie Callahan	6.0	'''(Stand ground who new) 	 On owner president and Future share could challenge Republican'''
john_baker_3154	John Baker	95.0	'''West concern themselves over; Guy message fact economic 	 Support administration live impact factor large'''
mr_norton_6176	Mr. Jeffrey Norton	74.0	'''Note: Either significant begin crime	 then Identify station'''
mike_yates_1241	Mike Yates	91.0	'''Direction social avoid	 Cultural scene whether Bag building environmental wind'''
kevin_fernandez_3825	Kevin Fernandez	19.0	'''Note: Standard from worry new toward whose	 then Soldier defense game'''
nancy_anderson_5529	Nancy Anderson	56.0	'''Husband you experience	 Front recognize land father parent Southern customer amount anything any'''
seth_boyd_9271	Seth Boyd	2.0	'''Your suddenly owner	 Together position contain House'''
francisco_potts_6884	Francisco Potts	14.0	'''(Administration) 	 Less back anything and Listen wall capital year vote nothing'''
jack_munoz_5138	Jack Munoz	54.0	'''Movie visit without everything: Many information as score	 The per'''
jeremiah_page_8624	e	34.0	'''Thought official tend interest; Moment city heavy word 	 Send operation newspaper free outside'''
christy_butler_0623	Christy Butler	59.0	'''(Debate) 	 Enjoy improve capital and Our source authority collection'''
katherine_perry_0745	Katherine Perry	77.0	'''Responsibility security ready old detail style; Water 	 Well between'''
kristen_mendoza_8925	Kristen Mendoza	18.0	'''Note: Effort amount Democrat despite interesting	 then Their'''
james_bonilla_9921	James Bonilla	71.0	'''Board; Short low and father 	 Else land listen'''
ronald_taylor_0137	Ronald Taylor	58.0	'''(This much) 	 Moment peace and Place dog most fact'''
adam_peters_9671	Adam Peters	10.0	'''Note: These	 then Easy ahead training'''
zachary_kramer_1319	Zachary Kramer	65.0	'''World other generation miss: Four before	 Trial act group air'''
april_brown_5087	April Brown	37.0	'''(Instead bar deep base expert responsibility) 	 Tree board trouble and Far first pay'''
carla_martin_7619	Carla Martin	33.0	'''Note: Process current me	 then List recognize'''
diana_miles_3303	Diana Miles	44.0	'''Project eat: Note himself color thus	 Far analysis'''
dylan_pope_4427	Dylan Pope	73.0	'''Blood eight team: Success stand drive	 Down rich according'''
amber_hopkins_0120	Amber Hopkins	47.0	'''(Base natural open middle) 	 Finish majority and Since everyone full south Mr'''
