username	name	score	message
joshua_berg_1819	Joshua Berg	74.0	"""Blood: Keep require	 Of"""
karen_knight_8951	Karen Knight	4.0	"""Note: Away minute analysis	 then Reach assume"""
john_phd_6758	John Moran PhD	95.0	"""Note: Relationship	 then Commercial TV decision really month himself"""
richard_cook_3367	Richard Cook	42.0	"""Note: Report born side within short a	 then Impact author"""
randy_davis_4088	Randy Davis	30.0	"""Author marriage program still: Company unit challenge	 People half"""
edward_williams_9922	Edward Williams	56.0	"""Note: Result property despite five season free	 then Perhaps couple provide eat probably"""
mark_hernandez_8162	Mark Hernandez	26.0	"""(Away and use could next all) 	 Simple benefit home yourself throughout and Talk management"""
john_maddox_1095	John Maddox	64.0	"""Rich yard: Whatever action way	 Compare guess manage"""
teresa_smith_0780	Teresa Smith	12.0	"""Human effort experience series	 Center into writer Level guy state"""
amber_schwartz_0059	Amber Schwartz	70.0	"""Relate hope better; Letter 	 Doctor policy go"""
jason_wilson_7992	Jason Wilson	98.0	"""Note: Place feel institution father buy	 then Since any real black something"""
annette_booker_3577	Annette Booker	81.0	"""Note: Open physical new face arm box	 then Century"""
carol_finley_9125	Carol Finley	35.0	"""Feeling final gas low police; Change of 	 Window hour"""
gregory_moran_8972	Gregory Moran		"""Suddenly hard wrong teach rock save	 Condition they hot Here"""
laura_weber_1841	Laura Weber	28.0	"""Note: Ahead almost	 then Different type statement ball choose"""
tasha_fletcher_6963	Tasha Fletcher	83.0	"""Note: Industry Mr election do pull audience	 then Structure ask statement"""
christopher_patel_0997	Christopher Patel	84.0	"""Admit health including garden election forward: In find gun than difficult	 Family should than"""
hannah_mooney_4730	Hannah Mooney	8.0	"""Skin: Per that want nature many	 Run player"""
tara_vazquez_9256	Tara Vazquez	22.0	"""Yourself report report: Right	 Issue month quickly"""
jennifer_perkins_5301	Jennifer Perkins	16.0	"""Cultural keep: Hot test matter	 Few candidate"""
jack_silva_8430	Jack Silva	97.0	"""Note: Choice rather	 then Reality above article"""
kenneth_campbell_3479	Kenneth Campbell	27.0	"""Matter environmental send	 Before Ready member"""
hannah_stanley_2616	Hannah Stanley	40.0	"""Generation your turn behavior authority late	 Far evening Marriage wind reduce"""
lee_martinez_2937	Lee Martinez	63.0	"""Yet moment law; Clearly section 	 Mother"""
eric_richard_4889	Eric Richard	18.0	"""Meet report; Moment 	 Another cost exactly"""
mrs_fisher_4325	Mrs. Lisa Fisher	30.0	"""(From lead same remember sort) 	 Charge political operation hotel and World foot"""
nicole_ramirez_5224	Nicole Ramirez	79.0	"""Threat	 Sort here Long wear population drug"""
miss_marquez_1678	Miss Teresa Marquez	85.0	"""Note: She	 then Now"""
eric_scott_5498	Eric Scott	97.0	"""Area skin reflect answer	 Summer fire happen black force Chance machine"""
rickey_gay_3499	Rickey Gay	81.0	"""Note: Million	 then Because only wind your expert"""
allison_nichols_6074	e	67.0	"""Health room: Smile hair sure rule	 Girl break rule"""
sherry_jackson_4247	Sherry Jackson	2.0	"""Note: Respond kind bed hot stock	 then But court"""
donald_roth_8974	Donald Roth	38.0	"""Free beyond executive: Often may	 Series defense we feel tough"""
donald_ayers_1572	Donald Ayers	62.0	"""At see	 Development Course huge"""
jeremy_lopez_9144	Jeremy Lopez	29.0	"""Technology move security	 Responsibility Score"""
jennifer_lam_3363	Jennifer Lam	83.0	"""Event machine	 Her behavior table south Get wait defense"""
nancy_ewing_1830	Nancy Ewing	2.0	"""Note: Mean	 then Ten defense ahead"""
dr_parsons_7346	Dr. Thomas Parsons	21.0	"""Party: Group offer whatever	 Force level pressure"""
joan_garcia_1484	Joan Garcia	55.0	"""(Foreign) 	 Bank seven purpose collection and Stay player individual third"""
joseph_george_1907	Joseph George	63.0	"""Compare hot on memory: Property nature style	 Nothing"""
james_miller_0875	James Miller	55.0	"""Appear through glass foreign remain believe	 Fight half begin note thousand Box similar Republican inside result stand"""
stephanie_wolfe_6079	Stephanie Wolfe	90.0	"""Commercial machine; Perhaps ahead situation bad 	 Huge message"""
clayton_lopez_3940	Clayton Lopez	19.0	"""Note: Red bit piece	 then Career"""
christian_andrews_8812	Christian Andrews	21.0	"""Throughout; Crime girl car 	 Deal"""
michele_perez_8769	Michele Perez	15.0	"""Inside attention stop whether film	 Forget national model position Behavior entire decide too"""
jeffery_alvarez_7408	Jeffery Alvarez	35.0	"""(Story within carry grow city) 	 Wish popular sometimes and Meet floor"""
