# This is a comment line to skip
name;username;total_count;salary;rating;description
Isabel Gray;isabel_gray_8486;44.0;79.1;56.2;'''Keep indicate choice; However piece thousand Item'''
Michael Medina;michael_medina_6592;92.0;77.1;29.2;'''Nature sure let; Project realize politics subject Blood'''
James Medina;james_medina_1999;81.0;4.1;22.2;'''(Few) ; Field story relationship rate and Score power actually once'''
Donna Taylor;donna_taylor_2813;8.0;96.1;57.2;'''Up true green better: Last; Politics evidence'''
Gina Neal;gina_neal_7499;5.0;45.1;19.2;'''Matter collection direction: Image win; Term tax'''
Paul Weaver;paul_weaver_6821;47.0;59.1;61.2;'''Situation foreign religious: Paper senior; Word sign news'''
Robert Cooper;robert_cooper_5956;34.0;36.1;67.2;'''Note: Now; then For word'''
Thomas Brewer;thomas_brewer_8635;34.0;11.1;29.2;'''Whom face fly; Shake decide concern sure ; Federal each religious'''
Sherry Cross DVM;sherry_dvm_5777;15.0;5.1;89.2;'''(Inside wide other) ; Politics and Treat smile full'''
Roy Scott;roy_scott_8054;8.0;98.1;30.2;'''Skill project; We industry which ; Talk hot range certainly although class'''
Richard Lee;richard_lee_8856;4.0;11.1;32.2;'''(Believe until) ; Stand sort and Left cover'''
Steven Mann;steven_mann_9986;60.0;55.1;28.2;'''Free; Perform big case hit over ; Scientist national rise'''
Andrea Arias;andrea_arias_2234;;5.1;7.2;'''Note: Thousand yet choice enough rather; then Benefit while'''
Jacob Conrad;jacob_conrad_1513;20.0;;61.2;'''Behavior type food; Statement certainly into drug ; Assume'''
Christopher Hall;christopher_hall_2635;80.0;9.1;90.2;'''Professional their; Start attorney nice bill ; Simple worry respond evidence high ask'''
Keith Burke;keith_burke_5991;22.0;69.1;58.2;'''(Spend while chance) ; Son position knowledge discuss collection and Live'''
Keith White;keith_white_1077;3.0;73.1;55.2;'''Note: Both imagine; then Type though'''
David French;david_french_6170;94.0;17.1;67.2;'''Note: Billion director; then Institution'''
Michael Newman;michael_newman_9646;79.0;3.1;54.2;'''(Week yes north cover) ; Despite tend she participant and Culture then'''
Brianna Rodriguez;brianna_rodriguez_7949;5.0;12.1;96.2;'''(Herself program record then fire fear) ; Between expect every and First for'''
Charles Oliver PhD;charles_phd_0031;86.0;56.1;99.2;'''Note: Member political sister deep; then Set trial theory military'''
Sandra Choi;sandra_choi_8900;35.0;66.1;10.2;'''Note: Country major; then Health indeed great draw'''
Stephanie Fitzpatrick;stephanie_fitzpatrick_0166;40.0;90.1;98.2;'''Note: Term dinner matter; then Number body staff'''
Donna Mason;donna_mason_7836;10.0;86.1;88.2;'''Note: Tax hand agency live his get; then Example'''
Gregory Lewis;gregory_lewis_9657;67.0;34.1;64.2;'''Ready; Dark building account you job ; Answer'''
Michelle Bates;michelle_bates_3740;54.0;7.1;62.2;'''Blood simply opportunity remain social; Partner authority pattern issue nothing health ; North population media'''
Tyler Howell;tyler_howell_4513;95.0;61.1;100.2;'''Candidate address bank across by: Voice quality edge; Region try represent'''
Jack Turner;jack_turner_1325;44.0;60.1;38.2;'''Note: Nation; then Necessary perhaps'''
Elizabeth Wilson;elizabeth_wilson_3572;33.0;76.1;64.2;'''Culture clearly start; Know trouble plan ahead letter ; Sister reality'''
Stephanie Bullock;stephanie_bullock_8103;78.0;80.1;79.2;'''That card man: Dinner run; Door nor direction break'''
Mark Mills;mark_mills_5645;39.0;44.1;23.2;'''Note: Any necessary know; then Affect enjoy enter of man'''
Christopher Taylor;christopher_taylor_4973;14.0;90.1;71.2;'''Believe: Little pretty wrong; Civil common win'''
Sharon Alexander;sharon_alexander_1984;72.0;55.1;58.2;'''Note: Front sing; then Interest'''
Elizabeth Pierce;elizabeth_pierce_8933;43.0;64.1;27.2;'''Respond trial; Door common sea major Model'''
Gail Anderson;gail_anderson_3828;84.0;50.1;11.2;'''(Easy give) ; Kid back and Increase professor property'''
Candice Harding;candice_harding_0296;44.0;89.1;11.2;'''Note: Four away perform third; then Help'''
Ryan Henry;ryan_henry_2097;36.0;8.1;12.2;'''Teacher can lead; Low responsibility ; Participant building total'''
Stacey Wright;stacey_wright_5273;11.0;97.1;58.2;'''Result staff pretty: Good; Theory dinner'''
Ryan Martin;ryan_martin_6293;52.0;35.1;50.2;'''Appear; Your particularly ; Agency again skin'''
Mrs. Heidi Walters DDS;mrs_dds_5502;80.0;13.1;63.2;'''Fight green every: Simple; Argue everything'''
Frank Guzman;frank_guzman_5348;62.0;74.1;46.2;'''(Theory thank such you force) ; Collection alone and Protect drop skin'''
Brandon Ochoa;brandon_ochoa_7851;39.0;79.1;;'''Note: Security five certain; then Continue case right whom'''
Michelle Smith;michelle_smith_3371;36.0;17.1;41.2;'''Onto as who everybody; Administration camera reach Often trade near agent morning government'''
Victoria Scott;victoria_scott_7326;55.0;33.1;8.2;'''Piece experience; Her style return Loss arrive structure need'''
Jennifer Hooper;jennifer_hooper_9946;52.0;81.1;56.2;'''Note: Get challenge view name region; then Affect'''
A;david_harrison_2630;30.0;95.1;11.2;'''Event; Recognize moment ; Sound positive'''
Cameron Sanchez;cameron_sanchez_5614;40.0;54.1;95.2;'''(Training similar) ; Try bank when minute whatever and Second war first appear evidence'''
