username;name;total_count;remark
tristan_bauer_3345;Tristan Bauer;32.0;'''Happen bit; Relate lose Also my'''
keith_mendoza_4273;Keith Mendoza;88.0;'''Myself article: Energy company; Few perhaps find Democrat quality send'''
joshua_velez_7792;Joshua Velez;19.0;'''Figure; Practice six ; Boy among evening seat'''
bryan_pierce_7035;l;64.0;'''Build throughout camera region; Save several game magazine ; Board central unit'''
sandra_fritz_8061;Sandra Fritz;89.0;'''Often study much: Customer represent represent less; Memory front be operation'''
courtney_thomas_1108;Courtney Thomas;48.0;'''(Detail trade suggest also authority) ; Inside class interest and Sense'''
felicia_garcia_8244;Felicia Garcia;94.0;'''Season cut; Window Step'''
matthew_davis_8919;Matthew Davis;100.0;'''Note: Investment system spring; then Four be take'''
carla_freeman_2493;Carla Freeman;11.0;'''Note: Blue behavior; then Defense notice'''
david_lambert_1197;David Lambert;13.0;'''Note: Reflect defense; then Computer market'''
tara_hicks_4660;Tara Hicks;44.0;'''Single old your record far; Attack rest hear prevent same ; Ten then bit with but'''
jennifer_garcia_9162;Jennifer Garcia;30.0;'''Outside represent mouth: Read alone contain picture; Decide partner miss thousand pretty'''
danielle_walker_1120;Danielle Walker;30.0;'''(Stay) ; Community and End space'''
anthony_bowman_2291;Anthony Bowman;42.0;'''Pressure; Wall must successful ; Several base'''
jessica_brown_4568;Jessica Brown;46.0;'''Note: Fly trade particularly history choice; then Better hot fine parent'''
kimberly_green_8989;Kimberly Green;3.0;'''Note: Leg among; then Range ten Republican support'''
rachael_costa_8786;Rachael Costa;22.0;'''Form sing officer; Election where ; Low she enjoy country'''
jamie_peterson_7464;Jamie Peterson;85.0;'''Example down but fast: Across serve; Myself identify'''
derek_cole_5740;Derek Cole;40.0;'''Rest never college run; Anything partner play ; Near'''
melissa_grimes_1364;Melissa Grimes;30.0;'''Entire mention thousand their; Store Treatment'''
jennifer_stanley_3314;Jennifer Stanley;;'''Affect record; Thousand imagine product idea notice rate Democrat say the save alone'''
holly_reed_4251;Holly Reed;59.0;'''Speech full; Avoid Recently win call'''
stephanie_moore_4839;Stephanie Moore;95.0;'''Investment because few: Rock TV yes age around; Few skill'''
jose_baker_3924;Jose Baker;100.0;'''Property lose among father: Detail; Look'''
scott_graham_5432;Scott Graham;35.0;'''Note: Reflect also opportunity left; then Scientist'''
steven_wilson_5626;Steven Wilson;8.0;'''Late feel enter also tax; All business theory With sign'''
