name;score;rating;summary
Sharon Chen;70.0;68.1;'''Note: Senior cover; then Skill trip sit more'''
e;46.0;56.1;'''(Serious) ; Condition become and Wait artist ahead care'''
Justin Diaz;90.0;38.1;'''(Nature baby talk model perhaps) ; Happen find body order network and Couple seat'''
Jodi Miller;34.0;78.1;'''(See) ; Candidate trip evening and But quite'''
Christopher Wallace;32.0;89.1;'''Remain see feeling; Father source Realize job'''
Emily Brown;55.0;6.1;'''Note: How question health continue world; then President deep'''
Amy Wright;64.0;45.1;'''Note: Treat capital board; then Animal important'''
Teresa Armstrong;86.0;21.1;'''Note: Describe notice politics; then Collection watch herself certainly least'''
Steven Williams;98.0;9.1;'''Structure eye first: Past nearly education play front statement; Prove'''
Angelica Simpson;70.0;61.1;'''Decision scene hear each; Fill budget matter ; Report small'''
Brandon Mills;6.0;100.1;'''Big miss with them care investment; Herself listen outside you agree sort Language be total'''
Duane Cooper;81.0;91.1;'''Sing fight share: Firm again; Law'''
George Obrien;72.0;11.1;'''(Dog ready song lot) ; Hour market night property and Site last'''
Janet Gordon;67.0;50.1;'''Professional wall: Hot; Black material toward'''
Daniel Smith;13.0;19.1;'''Same tough reflect shoulder: Glass sing such yard site; Computer last'''
Karen Campbell;38.0;55.1;'''One than easy: Magazine great million explain; Bring no'''
Jennifer Marquez;1.0;50.1;'''Eye eye field travel seem; Human record green own Shake feel administration we'''
Natalie Vargas;54.0;90.1;'''Opportunity daughter week; College usually more ; Appear pretty'''
Jonathan Peterson;68.0;21.1;'''Research which ever baby as figure: Yes; Follow focus myself so leg color'''
Kelly Stewart;77.0;;'''(Arrive long) ; Third future board stay recognize and Research'''
Aaron Vargas;86.0;77.1;'''Film choose fall figure; Majority white respond all attorney Chair'''
Rachel Hall;39.0;93.1;'''Summer east study team: Her kind major establish; Clear glass stuff quite'''
Lori Bowers;85.0;38.1;'''Step everyone trip sure measure; He study expect ; Reveal produce community'''
Melissa Mills;64.0;73.1;'''Material: Since activity; Throughout while'''
John Smith;94.0;6.1;'''On industry school; Office add ; Them ground'''
Bianca Mack;99.0;20.1;'''Bit process build; Wide film music ; Hold property remember how way'''
George Harris;22.0;47.1;'''That ready scientist state maybe event; Democrat Republican project walk with'''
Nicholas Hart;95.0;10.1;'''Image until kind place thought away; Project past help Degree recognize yeah we'''
Jonathan Moore;77.0;81.1;'''Well inside old skill reach; Recent Four however leader tree skill'''
Samantha Diaz;7.0;1.1;'''(Sure choose woman) ; Control white last and Its she standard science want'''
Timothy Coffey;;11.1;'''Behind talk everyone prepare; Someone central into Everything'''
Alexander Mccarty;62.0;20.1;'''Mr anyone work: Series; Guess common start food'''
Nancy Davidson;33.0;25.1;'''Because prove; Tell or official type professor Myself as'''
