name;username;age;price;score;comment
Alexandra Lane;alexandra_lane_9510;77.0;15.1;73.2;"""Iusto: Blanditiis in facere eligendi totam; Consequatur iste aliquid"""
D;miss_charlton_4519;27.0;75.1;94.2;"""Nihil dolorum repellat eius; Deserunt Aliquam"""
Mitchell Parker;mitchell_parker_4090;57.0;19.1;16.2;"""Dolorem natus; Et sunt voluptatum iste ; Unde delectus ut corporis"""
Anne Saunders;anne_saunders_1268;;21.1;39.2;"""Note: Quidem; then Saepe quae"""
Paige Kerr;paige_kerr_3060;84.0;53.1;5.2;"""Laudantium modi nihil reiciendis; Velit in consequuntur ipsa fuga ; Consectetur"""
Chelsea Clarke;chelsea_clarke_8476;53.0;95.1;53.2;"""(Soluta natus voluptas accusantium quae quis) ; Libero porro libero and Quia sequi atque"""
Mr Joshua Whitehouse;mr_whitehouse_6482;90.0;61.1;40.2;"""Nisi repellat odio: Deleniti aut magni; Repellendus laboriosam ipsum nemo"""
Lynda Taylor;lynda_taylor_8253;1.0;66.1;49.2;"""Sint sed sint repudiandae: Saepe aliquam; Ut in voluptates"""
Lesley Jones-Smith;lesley_smith_7865;43.0;93.1;2.2;"""Numquam; Modi ducimus at quasi autem ad Fugit nam dolore aspernatur officia accusantium"""
Alexandra Pearson;alexandra_pearson_6720;8.0;47.1;93.2;"""Note: Placeat odit; then Perspiciatis"""
Beth Roberts;beth_roberts_9733;82.0;3.1;67.2;"""Rem perferendis aspernatur: Saepe; Aliquam officiis itaque"""
Jade Green-Johnson;jade_johnson_7992;34.0;67.1;92.2;"""Dolores; Quasi ; Aliquam doloribus quod"""
Jeremy Johnson-Wade;jeremy_wade_6099;46.0;;11.2;"""Blanditiis dolorem excepturi; Enim in nihil quos iure Iste ex assumenda"""
Gregory Walker-Carter;gregory_carter_3818;36.0;85.1;70.2;"""Dicta recusandae dolor cupiditate fugit dolor; Quaerat similique Dolore quidem"""
Josh Smith-Read;josh_read_6840;27.0;71.1;;"""Enim omnis; Dolore vero officia atque Adipisci quidem omnis itaque"""
Gemma Dawson;gemma_dawson_1281;45.0;15.1;65.2;"""Note: Alias modi eveniet repellat perspiciatis vero; then Quas"""
Jenna Walker;jenna_walker_9071;100.0;2.1;55.2;"""Nisi beatae architecto; Aperiam beatae ; Officiis"""
Abigail Elliott;abigail_elliott_4878;56.0;83.1;42.2;"""(Ea possimus assumenda corrupti) ; Eaque illum vero and Sequi reprehenderit quisquam ea fugiat quam"""
Janet Mills;janet_mills_5693;10.0;72.1;16.2;"""Laborum impedit corporis; Excepturi atque ; Provident dolore excepturi ut"""
Leah Flynn;leah_flynn_1290;61.0;22.1;26.2;"""Neque asperiores culpa soluta assumenda; Aut voluptatum iusto Voluptatibus doloremque tempore officiis"""
Mr Mitchell Miller;mr_miller_1773;99.0;77.1;72.2;"""Tenetur debitis; Commodi soluta sapiente ; Cum iusto"""
