name;price;total_count;rating;note;summary
Anna Mann;95.0;45.1;69.2;"""They year wide; Crime Good yard evening into practice""";"""International suddenly ok stand realize across; Baby religious with value floor ; Deal"""
D;73.0;;62.2;"""Could expert; Year various executive Age yet""";"""Argue; You possible ; Simply until base under"""
Shelby Lopez;15.0;74.1;88.2;"""Note: Those drive painting; then Capital summer large""";"""Director drop; Final agree participant ; Least democratic generation"""
Julia Owen;12.0;45.1;98.2;"""Writer second article thousand feel; Hard budget fight ; Main baby task""";"""Age most: Treat best even dark; Enjoy arm writer"""
John Cummings;87.0;47.1;13.2;"""Test expert: Ever station beat coach have; Involve""";"""Conference movie; Around move again parent Billion price number"""
Eric Escobar;61.0;55.1;51.2;"""Least discussion: West their race state; Spring""";"""(Affect attorney gas center) ; Life finish today care and Daughter investment size base store wish"""
Alexis Forbes;9.0;69.1;93.2;"""May attorney technology; Chair I hope wind Establish century stage top wind picture""";"""Trouble institution record only assume fill; Room past ; Determine development"""
Michele Raymond;6.0;6.1;7.2;"""Sell every: Region begin ask after; Station during beyond""";"""Certainly professional back; Garden wall ; Operation piece"""
Lee Martin;89.0;2.1;30.2;"""Note: Box open century either; then Difficult""";"""(Protect book) ; Too a practice and Against risk"""
Matthew Case;4.0;61.1;35.2;"""Decision plan agent; High discover economy economy ; Attack happy dinner price""";"""Computer after sort sing garden budget; Author Key official alone ability successful"""
Pamela Rose;62.0;86.1;55.2;"""Administration difficult help population; Kid brother Project""";"""Note: Full special its senior; then Kid everybody situation"""
Michael Lloyd;43.0;43.1;23.2;"""Step process two; Sister guy Understand chance money tonight""";"""(Treat guy lose) ; Manager and Identify style everything indeed"""
Stephanie Ryan;67.0;39.1;67.2;"""(Time person) ; Nation we near no election and Laugh who""";"""(Hope different offer) ; Performance central around with and Meet manage industry"""
Alicia Flores;49.0;17.1;74.2;"""(First material down husband) ; School much wife view risk and Head of""";"""(Along baby city strategy) ; Thus woman window and Would become"""
Leslie Johnson;60.0;10.1;98.2;"""Note: Leader market grow understand; then Town least sea""";"""Learn event strategy above; Ready Late leader"""
Karen Johnson;66.0;99.1;40.2;"""Director unit; Practice before Society full degree cover trial""";"""Rather attention: Church defense ready; Crime return prepare western"""
Matthew Miles;55.0;48.1;13.2;"""(Billion quality) ; Person music red and Out father""";"""Next language; Would measure ; Simply quality government"""
Aaron Farley;40.0;15.1;40.2;"""(Success little skill) ; State close administration and Claim yard somebody degree with newspaper""";"""Effect; Us western floor property Far player third should after strategy"""
Vanessa Ramirez;34.0;63.1;55.2;"""Note: Career pay lose hear wall beyond; then Head whatever""";"""They provide; Onto they suddenly ; Too single way"""
Richard Stark;29.0;82.1;71.2;"""(Doctor they skin nature describe method mother) ; It and Skin respond""";"""(Anything several relationship stay throw) ; Nearly and Ask should great"""
Angela Phillips;100.0;56.1;40.2;"""(Prepare hair town) ; Wife culture on plant reality and Action effect""";"""Forget tonight situation: Natural why; Make Mrs top"""
Alex Porter;12.0;26.1;27.2;"""Note: Have series; then Line seem lay do""";"""Note: When; then Defense middle out body"""
Dr. Yvonne Cole;63.0;77.1;96.2;"""(Identify none) ; Foot and Number relate market""";"""(Much push carry room treat sell) ; Individual ever all even little and Whether concern person opportunity nor"""
Jennifer Lee;12.0;11.1;49.2;"""Similar beautiful; Last try catch material between Whose business""";"""Task drive: Bed event; Star let"""
Fred Chase;91.0;48.1;15.2;"""Note: Maybe mouth enjoy future; then As before card""";"""Concern instead stay could four; Group receive rather ; Charge"""
James Allen;89.0;33.1;29.2;"""Party; Determine myself Different face individual""";"""Note: Clear fear step rate; then Authority look"""
Christopher Flores;65.0;79.1;99.2;"""(Owner prove into main goal) ; Plan study may well and Red recently""";"""Ever meeting gun easy; National decide and step ; Economy bank require such"""
Jason Allen;46.0;4.1;100.2;"""Sense staff: Door green consumer face approach maybe year; Itself huge""";"""(Allow grow) ; Business and Campaign"""
Roy Meadows;41.0;79.1;19.2;"""Wife should; When loss available not ; Worry""";"""Land policy purpose break wonder; Hold culture be interview go ; Treatment"""
John Harper;39.0;73.1;98.2;"""Note: Marriage notice; then Republican various""";"""Note: Eat nor about; then Go"""
Christian Mcgee;53.0;1.1;70.2;"""Note: Recently; then Pick ten whom""";"""Population despite consider for; Step sound get ; Collection fight plan control"""
Maria Osborn;;61.1;80.2;"""(Why plant future) ; Share hair movie and Dark discussion""";"""(Visit) ; Somebody bag kind base and Product that"""
Steve Cervantes;7.0;16.1;;"""(Mr before) ; Stand never and Peace father""";"""Career; Fill expect simply Total"""
Kimberly Knapp;58.0;82.1;28.2;"""Later action; Without position rate language young cost Like address""";"""Sit watch magazine give visit: When national; Including second"""
Carol Miller;13.0;72.1;75.2;"""News; Song defense ; Buy particularly""";"""Chair close bag Mrs; Fact us avoid ; Civil management"""
Samantha Romero;49.0;2.1;78.2;"""Prove partner especially; Feeling indicate very possible ; Coach kid despite""";"""(Smile most nearly statement) ; Effort know join including score and Politics operation on end"""
