name	username	total_count	score	remark
Adrian Harrison	adrian_harrison_8403	69.0	40.1	"""(Deserunt ab quae) 	 Exercitationem corporis and Sint"""
Paul Webb	paul_webb_2762	72.0	69.1	"""(Quo officia rerum) 	 Quis nisi nihil and Soluta illum maxime sint"""
Justin Lamb	justin_lamb_1365	28.0	96.1	"""(Temporibus quibusdam officiis) 	 Eius veniam and Neque voluptatibus perspiciatis"""
Dr David Sanders	dr_sanders_1164	62.0	66.1	"""Nobis eius ratione: Debitis atque	 Reprehenderit tempora optio"""
Robin Mann	robin_mann_3527	77.0	12.1	"""Note: Sunt distinctio ex voluptas	 then Commodi"""
Gary Hughes	gary_hughes_0536	44.0	4.1	"""Note: Perspiciatis voluptates	 then Dolorum enim"""
Mr Jeremy Austin	mr_austin_8598	28.0	84.1	"""(Cupiditate vitae possimus molestias laboriosam) 	 Ut alias debitis and Quod ullam doloribus"""
Josh Kelly-Barker	josh_barker_8356	65.0	44.1	"""Note: Error iusto dolores quisquam rerum modi	 then Quisquam nostrum asperiores"""
Miss Jayne Barker	miss_barker_0432	39.0	41.1	"""Temporibus quos	 Excepturi Consectetur atque quaerat natus ut"""
Malcolm Hawkins	malcolm_hawkins_5701	37.0	47.1	"""Note: Id	 then Nobis corrupti at"""
Mr Hugh Hill	mr_hill_3756	73.0	96.1	"""Repudiandae quae	 Harum laudantium necessitatibus Adipisci cum dignissimos"""
Jeffrey Harris-Khan	jeffrey_khan_3229	70.0	13.1	"""Esse suscipit illo blanditiis	 Necessitatibus illo Eos provident voluptate iure"""
Gregory Doyle	gregory_doyle_0992	9.0	62.1	"""(Alias repellendus deserunt aspernatur distinctio ab) 	 Laboriosam enim and Laborum minima"""
Glenn Bryant	glenn_bryant_3088	88.0	97.1	"""Sit voluptatem assumenda	 Ullam Repellat laborum"""
Deborah Smith	deborah_smith_5730	17.0	10.1	"""Corrupti vitae molestias; Quo sit suscipit in 	 Sapiente repudiandae"""
Adrian Hurst	adrian_hurst_3611	35.0	56.1	"""(Natus eius) 	 In aut and Soluta vitae eos amet"""
Dr James Saunders	dr_saunders_1504	7.0	2.1	"""(Nobis alias ducimus dolores) 	 Labore vel ipsa commodi debitis and Architecto aperiam odit"""
Elaine Kerr	elaine_kerr_9674	76.0	68.1	"""(Dolor) 	 Voluptatum exercitationem voluptate inventore asperiores facilis and Officia illum facilis"""
Dr Arthur Gibson	dr_gibson_9165	75.0	100.1	"""Praesentium officia cum; Possimus nam iusto libero 	 Iure officia tenetur"""
Stephanie Whitehead	stephanie_whitehead_2298	30.0	68.1	"""Dicta labore repudiandae nisi eligendi eum veritatis: Expedita	 Esse quaerat"""
Jill Barnes	jill_barnes_4317	9.0	98.1	"""(Molestiae voluptates) 	 Adipisci and Modi adipisci itaque"""
William Evans-Bailey	william_bailey_2165	59.0	76.1	"""Quas cum ipsa molestias	 Exercitationem iusto Quibusdam praesentium deleniti"""
Sean Summers	sean_summers_0604	11.0	32.1	"""(Eius dolor) 	 Autem corrupti and Velit dicta tenetur quidem"""
Miss Pauline Hunter	miss_hunter_3825	95.0	19.1	"""Placeat et vero nulla: Quia hic	 Corporis"""
Jacob Smith	jacob_smith_4434	78.0	57.1	"""Note: Amet quis provident eaque	 then Magnam nulla eum"""
Mrs Anna Thomas	mrs_thomas_8995	73.0	88.1	"""Accusamus a officia; Fugit veritatis quisquam maiores facere 	 Alias aliquid maxime quibusdam culpa"""
Janet Carr	janet_carr_9370	10.0	32.1	"""Minus placeat quae: Temporibus ab minus iste	 Nam tempore repellat ex"""
Graeme Barnes	graeme_barnes_9327	57.0	43.1	"""Note: Beatae	 then Eligendi suscipit"""
Ms Beverley Humphries	ms_humphries_8790	48.0	88.1	"""(Nostrum) 	 Beatae sed illo and Ut ipsa quo"""
Mr Ryan Turner	mr_turner_5346		74.1	"""(Tempore placeat iure inventore molestiae) 	 Aperiam and Quam veritatis"""
Andrew Bell	andrew_bell_5287	93.0	35.1	"""Omnis veniam: Voluptatibus ipsam veniam	 Earum officia tenetur"""
Mr Roy Nicholls	mr_nicholls_8252	87.0	80.1	"""Note: Quas pariatur	 then Corporis quisquam"""
Harry Morton	harry_morton_8735	90.0	84.1	"""Culpa deleniti: Iusto recusandae ipsa mollitia	 Optio esse"""
Mathew Stephens	mathew_stephens_4223	80.0	98.1	"""Note: Facere ex	 then Accusantium eaque nemo dolore suscipit"""
o	carole_davies_1851	51.0	83.1	"""Note: Totam laborum quo	 then Culpa voluptatibus sequi at"""
Andrea Lawrence	andrea_lawrence_4119	82.0	43.1	"""(Ipsum sapiente qui asperiores iusto et) 	 Voluptate accusantium eos eum and Odio totam provident"""
Kim Finch	kim_finch_8939	36.0	26.1	"""Blanditiis fugit earum: Ducimus maxime cum	 Numquam"""
Dorothy Page	dorothy_page_5369	24.0	92.1	"""Distinctio suscipit doloremque repellendus numquam omnis: Doloremque omnis exercitationem ipsam	 Facere voluptates"""
Marian Bailey-Baker	marian_baker_5729	43.0		"""Esse ipsum: A possimus dicta	 Distinctio architecto"""
Miss Mandy Smith	miss_smith_9003	1.0	86.1	"""Note: Maiores debitis iure soluta qui deserunt	 then Dolor at velit"""
Harry Begum	harry_begum_9611	4.0	69.1	"""Assumenda a quisquam doloremque quam; Inventore soluta maxime at sit eos 	 Voluptate aut"""
