name	username	total_count	salary	score	remark
Sean Nelson	sean_nelson_8825	72.0	59.1	55.2	'''Already yard	 Rule Career audience'''
Michael Smith	michael_smith_5655	35.0	89.1	46.2	'''Note: Watch space yet	 then Because his organization space scientist'''
Haley Thomas	haley_thomas_7312	5.0	4.1	69.2	'''Note: Standard perhaps meet	 then Center born once us'''
Tina Phillips	tina_phillips_9617	34.0	72.1	43.2	'''Purpose: Add picture true open	 Industry green truth'''
Don James	don_james_6809	91.0	8.1	61.2	'''(Agency responsibility team could hand) 	 Matter song sort and Draw various and'''
Denise Rowe	denise_rowe_6013		40.1	22.2	'''Look wait; Opportunity wrong believe 	 Reduce wear'''
Anita Bryan	anita_bryan_3544	87.0	9.1	11.2	'''Mother south fish everything indeed: Plant season doctor discussion	 Region much'''
Nathan Leblanc	nathan_leblanc_7973	37.0	92.1	7.2	'''War race fund: Relate show news face hotel by	 College thought city'''
Kelly Rush	kelly_rush_1417	59.0	31.1	88.2	'''Pretty: Question popular skin	 Worry yet area white'''
Michael Rodriguez	michael_rodriguez_4792	33.0	61.1	52.2	'''Represent prevent message source report analysis: Weight drop yeah involve quite same	 Describe traditional'''
Ana Reyes	ana_reyes_0966	80.0	88.1	88.2	'''Enter knowledge: Data water know generation	 Resource involve third'''
Debra Williams	debra_williams_8786	23.0	58.1	64.2	'''Sure customer	 Single type economic particular Herself current'''
Wayne Taylor	wayne_taylor_9177	15.0	45.1	3.2	'''Cover consumer: Spring audience	 Enjoy'''
James Smith	james_smith_3765	100.0	5.1	71.2	'''Machine do writer television child; Inside relate 	 Hotel reveal nature rather'''
Heather Miller	heather_miller_7322	29.0	26.1	62.2	'''Either girl mean	 West hand table Party surface small lay'''
John Sherman	john_sherman_9088	52.0		17.2	'''Least opportunity left always statement collection; Listen 	 Buy describe four accept'''
Claire Davis	claire_davis_4454	36.0	65.1	80.2	'''(Today stuff) 	 Travel interesting and Later great company attention land participant'''
Brooke Meadows	brooke_meadows_6723	22.0	82.1	7.2	'''Western deal ago finish answer: Seven themselves	 Tonight'''
Latoya Vincent	latoya_vincent_1394	67.0	19.1	51.2	'''Less after: Maintain generation	 Fine beautiful another'''
Walter Murray	walter_murray_7833	72.0	58.1	20.2	'''Area day few color	 Away Weight'''
James Kennedy	james_kennedy_0189	72.0	77.1		'''Market new place need	 Keep draw force Kitchen'''
Tonya Harrington	tonya_harrington_7593	34.0	79.1	55.2	'''Note: Entire reason time	 then Economic western miss walk interesting office'''
Anthony Wood	anthony_wood_6829	26.0	75.1	32.2	'''Life Congress: Executive art prepare along process develop	 Senior information'''
Tom Miller	tom_miller_9493	82.0	51.1	45.2	'''During office; Build understand 	 Task check'''
Michael Rhodes	michael_rhodes_1093	10.0	19.1	68.2	'''Note: Too Democrat	 then Simply wind new police'''
Jaime Roberts	jaime_roberts_7614	83.0	3.1	60.2	'''Once onto; Store cover 	 Common represent'''
James Chapman	james_chapman_1426	7.0	49.1	29.2	'''Leader quickly pull new	 Deep despite can word Most toward'''
John Rivas	john_rivas_1408	8.0	76.1	37.2	'''Religious surface gas management	 Far activity Laugh skill'''
Christine Hernandez	christine_hernandez_2312	74.0	37.1	48.2	'''(Candidate training space) 	 Quite when draw particularly billion and Serious company'''
Barbara Bennett	barbara_bennett_2435	38.0	60.1	20.2	'''Choice future: Number leave since	 Down myself positive'''
Taylor Smith	taylor_smith_5771	67.0	42.1	14.2	'''Establish something within ready cover	 Return this eight thought for Decision'''
Brittany Fowler	brittany_fowler_8463	73.0	67.1	23.2	'''Dark into: Sport million history middle	 Arm health figure'''
Hannah Garrett DDS	hannah_dds_4623	56.0	86.1	16.2	'''Note: Artist this through trip	 then Wide'''
Carl Jones	carl_jones_1649	97.0	57.1	83.2	'''(Order high) 	 Young and Clearly from to television page'''
Christopher Williams	christopher_williams_2575	98.0	43.1	2.2	'''(Travel you idea film week onto) 	 Understand north sometimes and Choose operation concern'''
A	chad_fleming_2818	5.0	17.1	54.2	'''Amount	 Score house amount Their institution air prove media'''
Cassie Hunter	cassie_hunter_1952	94.0	81.1	40.2	'''Claim somebody; Computer sister walk whose energy 	 Firm'''
Lori Wright	lori_wright_7881	19.0	52.1	45.2	'''Owner west data; Hear sometimes 	 Experience national'''
Mark Woodward	mark_woodward_5605	51.0	84.1	63.2	'''Themselves	 Threat station name situation Remain natural identify'''
Jasmine Perez	jasmine_perez_8146	99.0	38.1	94.2	'''Ahead morning sister along little; Drug thus job bar 	 Contain defense spring employee prove yes'''
Dawn Fisher	dawn_fisher_5850	19.0	16.1	10.2	'''Stay scene will	 Beat degree Radio civil probably'''
Robert Schneider	robert_schneider_8869	25.0	57.1	42.2	'''Note: Must class	 then Send go'''
Micheal Silva	micheal_silva_1415	5.0	5.1	47.2	'''(Office enter big) 	 Fund student job and Peace'''
Henry Vazquez	henry_vazquez_1784	1.0	4.1	9.2	'''Determine foreign matter operation seem; Hit what 	 Newspaper today hotel'''
Jonathan Bradley	jonathan_bradley_4581	89.0	37.1	22.2	'''Note: Mr catch	 then Could represent'''
Zachary Sandoval	zachary_sandoval_4703	85.0	59.1	46.2	'''(Assume field start son) 	 Star figure and Song product foot'''
Eric Palmer	eric_palmer_5433	38.0	60.1	64.2	'''(Time line) 	 Month national half and Final'''
