name,username,rating,remark
Kristopher Mcbride,kristopher_mcbride_8470,84.0,"""Piece left: Hear smile ok general, Rock boy"""
Mary Gallagher,mary_gallagher_4440,100.0,"""Number cell: Hour, American"""
Jeffrey Atkins,jeffrey_atkins_7340,75.0,"""Note: Despite campaign though firm, then Either maintain media project"""
Jacqueline Brown,jacqueline_brown_6881,28.0,"""Drop adult turn, Table Mind training analysis"""
Kristen Williams,kristen_williams_1443,71.0,"""(Exactly TV two just factor) , Theory only hair and Well time between avoid"""
Kevin Dixon,kevin_dixon_4844,77.0,"""Manage, Development success around green capital Camera safe ball factor"""
Priscilla Carroll,priscilla_carroll_7875,59.0,"""Note: Way, then Rate officer"""
Jeremy Franklin,jeremy_franklin_1794,19.0,"""Note: Exist, then Form better cup cell"""
Charles Carroll,charles_carroll_8252,26.0,"""(Listen her four) , Scene accept seem identify actually and Heart able party same"""
Dr. Alex Brady,dr_brady_3058,99.0,"""(Leader author quite) , Law and Away or thousand"""
Shannon Savage,shannon_savage_1612,64.0,"""Group must education, Worker data building picture Despite"""
Kimberly Webb,kimberly_webb_7123,10.0,"""Note: Night quality, then Fast fact onto example effect customer"""
Nancy Bryant,nancy_bryant_3053,22.0,"""Note: Trade close someone of ten, then Seat market call power"""
Rodney Trevino,rodney_trevino_1508,40.0,"""(Movement including least something) , Support arm nice and Call"""
Mary Dawson,mary_dawson_1849,61.0,"""Save program last, Consumer factor Close scene protect through"""
Suzanne Todd,suzanne_todd_9794,30.0,"""(All ask) , Affect according and Political degree born figure"""
Mark Gonzales,mark_gonzales_7953,5.0,"""(Much what) , Attorney certainly and Determine mind foreign"""
Joseph Walters,joseph_walters_1737,98.0,"""Candidate across, Management statement Note"""
Vanessa Lindsey,vanessa_lindsey_2182,5.0,"""Tree common scene majority, Food every summer Feeling expert least"""
George Davenport,george_davenport_3645,49.0,"""Evening thing: Industry onto yard machine seat here, Democratic"""
Richard Stewart,richard_stewart_3201,34.0,"""Southern up mind also: Western, Relate civil"""
Hector Johnson,hector_johnson_9209,32.0,"""Section floor share group; Town box , Decide more by already before"""
Zachary Davis,zachary_davis_9193,65.0,"""Note: Remain suddenly concern difference will, then Paper sometimes live"""
Dillon Mills,dillon_mills_9077,24.0,"""Note: Purpose network, then Effect push lot"""
Kenneth French,kenneth_french_0905,63.0,"""Evening; Head , Though lead"""
Andrea Graham,andrea_graham_0289,56.0,"""(Black prepare) , Color cultural beyond point indicate week and Let war western"""
Jennifer Sullivan,jennifer_sullivan_2993,57.0,"""Note: Fear debate, then Trip"""
Michael Cantu,michael_cantu_1730,61.0,"""Successful yard example: Office, Another create point room"""
Dana Sawyer,dana_sawyer_2392,81.0,"""City: Scene team, One people carry"""
Victor Jones MD,victor_md_5062,86.0,"""Ground allow analysis: Media check, Site law serve case"""
Darrell Sullivan,darrell_sullivan_3916,38.0,"""(Feel determine western tree) , Actually common end west kind seven and Ready who"""
Phillip Moreno,phillip_moreno_8367,7.0,"""Successful; See , Sort pick"""
Nicole Salinas,nicole_salinas_8223,,"""Arrive minute your: Lawyer, Give month"""
Leah Nelson,leah_nelson_3675,46.0,"""(Allow detail reason sea) , Enjoy increase and Perhaps"""
Sean Rivera,sean_rivera_9798,79.0,"""Because degree land, Specific something kitchen what significant Develop"""
Tyler Chen,tyler_chen_6346,84.0,"""Black start reflect; Room figure become , Happen point"""
Scott Bailey,scott_bailey_1832,73.0,"""(Create some) , Choice near and All science debate would"""
Robert Odom,robert_odom_5849,86.0,"""Agreement leg which; Both bad , Major ask night wind sister"""
Michael Flores,michael_flores_0029,25.0,"""(Although new manage) , Under wish and Them heart glass situation good trouble"""
Kurt Preston,kurt_preston_0470,94.0,"""Always you deep black, Marriage feel He half camera"""
Brenda Jones,brenda_jones_1140,80.0,"""(Reveal rock maintain) , Must travel environment and Personal"""
Julie Anderson,julie_anderson_9048,52.0,"""(Letter) , Need fine and Former who"""
Charles Dixon,charles_dixon_2966,32.0,"""Particular anything practice contain central; Serve forward growth year list , Husband property"""
William Clark,william_clark_2300,21.0,"""Prepare son world on, Sometimes respond too short month head Wait throw win"""
John Taylor,john_taylor_1213,99.0,"""(Both head movie) , Whole scientist and Interest true be stand soldier able apply"""
Jose Welch,jose_welch_0609,83.0,"""Easy make laugh walk; Just life , Lead add type"""
A,brenda_hudson_1633,34.0,"""Stage including: Miss fall, Rest investment goal admit physical"""
Jose Copeland,jose_copeland_0661,14.0,"""Wife fish that court: To citizen, Rate indeed indeed"""
Sabrina Bass,sabrina_bass_4533,80.0,"""Station show section: Military fact, Important possible"""
Traci Schultz,traci_schultz_2336,8.0,"""(Carry organization) , Relate couple site and Man half"""
