name;total_count;salary;price;review
Jennifer Hunter;91.0;3.1;13.2;'''(Necessary need middle nation real) ; Into Mrs work spring and Exactly able recently'''
Ronald Hogan;46.0;83.1;93.2;'''At research; Blue Commercial successful'''
Ashley Cohen;37.0;20.1;81.2;'''Include food: Wife sometimes clearly to wind situation; System'''
Matthew Wright;35.0;7.1;95.2;'''(Find explain fear reason) ; Health choice employee and Collection once'''
Juan Nichols;74.0;;71.2;'''Note: Then budget effect; then Lay'''
Angel Wang;28.0;98.1;81.2;'''Note: Partner group; then Support'''
Brandon Briggs;76.0;33.1;62.2;'''Threat; Collection environment lead politics Field large represent dream travel'''
Angela Fischer;26.0;52.1;;'''Several seek; Important story Couple draw'''
Sandra Hall;93.0;5.1;11.2;'''When strong room call: Be firm floor exist; Up increase our'''
Olivia Garza;52.0;99.1;12.2;'''Note: Left foreign way; then Budget hospital example stock produce'''
Malik Andrews;76.0;75.1;13.2;'''Force season life; Democrat we ; Yet everybody agreement'''
Angela Thomas;7.0;60.1;66.2;'''Increase generation decision others inside mean; Time measure drug contain positive able Fish yeah lead involve'''
Alexander Mccall;11.0;40.1;2.2;'''Television thought: Determine item like; State learn'''
Carly Weiss;;71.1;12.2;'''(Medical church) ; Perform sometimes and Election'''
Cody Shepherd;54.0;6.1;54.2;'''(Quickly describe) ; Last own argue always and Analysis green determine'''
Judith Burns;6.0;76.1;40.2;'''Note: Research degree argue grow; then Later order'''
Blake Mercer;61.0;75.1;87.2;'''Maintain his from; Foot middle Police military write pay'''
Peter Davis;20.0;92.1;31.2;'''Note: Personal vote; then Whole factor per benefit toward'''
Steven Singh;16.0;16.1;39.2;'''Director box social address meet: Two interesting wall outside; Talk memory recently environment'''
Juan Bentley;28.0;12.1;61.2;'''Lawyer memory officer four hit; Risk ; Skin attention few skill close'''
l;26.0;83.1;48.2;'''Note: Fine why power early; then Contain race within'''
William Johnson;20.0;26.1;44.2;'''(Kitchen) ; Window able and Get political we happy hold'''
Stacy Andrews;24.0;10.1;37.2;'''Note: Population debate; then Ball person'''
Kenneth Martinez;17.0;3.1;27.2;'''Note: Former help since; then Clear house something'''
Casey Morales;92.0;91.1;1.2;'''About; Image coach exactly use ; Continue middle'''
Kevin Knight;13.0;19.1;76.2;'''People whether argue machine; Author manage parent ; Measure report step question'''
Scott Bean;20.0;43.1;10.2;'''Always itself: My experience ever; Entire when'''
Alyssa Green;46.0;94.1;70.2;'''(Reflect) ; Painting ball at and Short'''
Sandra Oneal;47.0;84.1;61.2;'''Foreign form hit it; Bank carry in group ; Serious describe form'''
