username;name;rating;total_count;note
justin_ramirez_0281;Justin Ramirez;29.0;44.1;'''Author clearly on; Pm ; Focus well'''
joe_hickman_7919;Joe Hickman;47.0;97.1;'''Note: Crime range sense strong; then Keep sea'''
scott_hanna_9194;Scott Hanna;12.0;51.1;'''View order ahead all: Each hold understand; Everybody'''
angela_roberts_5970;Angela Roberts;94.0;28.1;'''Note: Reason level sister stop; then Pressure win'''
morgan_williams_5847;Morgan Williams;15.0;99.1;'''Visit; Event boy Source capital order'''
susan_kennedy_0864;Susan Kennedy;97.0;75.1;'''(Send senior visit) ; Blood stock someone consumer and How order remain us fact executive'''
cynthia_woods_2590;Cynthia Woods;35.0;82.1;'''(Prove member unit price among another) ; Some before above building difficult and Program company'''
miguel_evans_0078;Miguel Evans;78.0;44.1;'''(Hot) ; Himself only behavior it and Suffer run write they push nearly'''
joshua_bauer_9422;Joshua Bauer;1.0;18.1;'''Step prepare rule; Require education board doctor audience wear Pick return model'''
mallory_nunez_1476;Mallory Nunez;41.0;98.1;'''Accept behavior; Fight Indicate let place woman professional box'''
sean_hughes_5342;Sean Hughes;56.0;;'''His huge piece; Food voice stay mention race allow ; Still deal'''
david_figueroa_5107;l;65.0;85.1;'''(Second suddenly or) ; Authority every other available and Allow price anyone behavior'''
kathy_young_5488;Kathy Young;70.0;99.1;'''Institution Mr collection figure establish: Will not live buy; Wear late we mean professor reduce'''
keith_henry_8142;Keith Henry;;76.1;'''Here girl: Kitchen reflect child; Question PM job while several house'''
mrs_wright_8986;Mrs. Kimberly Wright;52.0;96.1;'''Note: Born; then Early teacher ground to why part'''
maria_wells_3285;Maria Wells;37.0;23.1;'''Note: Organization; then Necessary myself picture'''
nathan_md_2054;Nathan Brown MD;44.0;23.1;'''Role generation manage these; Toward until Can walk box friend knowledge'''
samuel_bradley_2715;Samuel Bradley;51.0;9.1;'''Hand throughout north: Yard; Goal value'''
alexander_reynolds_8145;Alexander Reynolds;26.0;87.1;'''Note: Goal; then Actually help'''
michael_erickson_8333;Michael Erickson;71.0;64.1;'''Note: Role; then Hot'''
daniel_ramirez_5119;Daniel Ramirez;55.0;45.1;'''Note: Woman break pay read; then Exactly public several'''
connie_larsen_4374;Connie Larsen;37.0;43.1;'''Order commercial eat civil ball; Military wall Rate kind arrive'''
charles_benton_8870;Charles Benton;60.0;21.1;'''May only particularly mouth; Senior Eight open'''
susan_hawkins_5208;Susan Hawkins;98.0;87.1;'''Ever throughout government occur news song; Data media deep Police responsibility less'''
jodi_hill_8805;Jodi Hill;15.0;86.1;'''(Protect must) ; Industry production and Lawyer hotel subject artist bed'''
