name	age	price	review
Stephanie Curry	34.0		"""Artist call impact clearly; Official capital 	 Once knowledge white"""
Christopher Mullins	82.0	70.1	"""Lose high trade; Young training listen ground politics detail 	 Lawyer strategy option"""
James Robertson		64.1	"""My customer really; Another new sell officer 	 Green important represent"""
Adrian Callahan	8.0	26.1	"""Region student water; Particular child no 	 Free in white ok let"""
Haley Kane	77.0	85.1	"""Court teach: Address understand medical common toward democratic	 Cultural water main"""
Maria Duncan	16.0	16.1	"""Address modern administration: Several strategy nation	 Information minute realize"""
Regina Wilkins	85.0	47.1	"""(Dark letter interesting must respond book) 	 Join third also and Ahead go"""
Jane Martin	50.0	29.1	"""(Evening five) 	 Because despite and Act south"""
Sheila Bryant	53.0	20.1	"""(Attack strategy help message plant) 	 Baby leg analysis seat ask and Structure"""
Sharon Carter	72.0	75.1	"""Note: A pretty deal player international education investment	 then Happy him movie"""
George Gutierrez	46.0	62.1	"""Parent perform	 Minute structure Senior believe"""
Michael Williams	62.0	25.1	"""(Expect) 	 What practice collection and Who music receive one"""
Timothy Cummings	16.0	100.1	"""(Thousand couple even thing) 	 Top point building white growth difference and Identify realize any"""
Russell Lloyd	23.0	10.1	"""Note: Could his choose	 then Prepare rock"""
e	13.0	68.1	"""Attack reflect small fill	 Tree miss tax newspaper church use Door watch where war"""
Stanley Maxwell	14.0	23.1	"""Hope prove interview; Mr during 	 Also bag"""
Stephanie Baker	22.0	90.1	"""Likely rule she	 Community Mind opportunity be"""
Danielle Jones	65.0	88.1	"""Arm senior office; Per citizen 	 Player onto some after eye"""
Keith West	97.0	24.1	"""Money second lose media	 We lay get popular Deep show"""
Phillip Mcguire	11.0	30.1	"""Thing ask	 Statement effort cold Data student paper"""
Brian Nelson	15.0	65.1	"""Note: Military campaign	 then Market baby Mr foot"""
Kelsey Reyes	55.0	10.1	"""Note: White politics	 then Field standard"""
Timothy Burton	68.0	51.1	"""Quality risk book: Skin medical	 Unit field"""
Gary Ho	43.0	65.1	"""Low	 Support owner What unit present least"""
Jacqueline Harrison	3.0	18.1	"""Note: Individual after positive bar	 then Write conference off have practice listen"""
Lisa Johnson	45.0	97.1	"""Talk wait financial determine	 Until Beyond few"""
Keith Martin	66.0	74.1	"""Note: Value	 then Write"""
Clinton White	77.0	25.1	"""(White give short anyone could accept) 	 Rest professor and True first first night property"""
Julie Smith	64.0	84.1	"""Everyone; Road box condition 	 Make let clearly trip"""
Heidi Baker	86.0	94.1	"""The: Still	 Wear apply position identify"""
Daniel Chapman	27.0	34.1	"""Note: Bring human threat recognize	 then Price young building interview customer"""
Michael Pitts	10.0	1.1	"""Note: May onto across	 then Bank PM"""
Janet Fuller	38.0	58.1	"""Hit energy year attorney: Half expect coach	 Not discover central"""
Tanya Griffin	53.0	53.1	"""Movement moment: Serve week smile	 Condition scene"""
Todd Thompson	68.0	69.1	"""Note: Civil church indicate anything street	 then Decade"""
Laura Dunn	71.0	59.1	"""Power raise wind: Order because	 Beat four"""
Patricia Camacho	4.0	28.1	"""Director wonder; Relationship throughout 	 Instead"""
Victoria Johnston	81.0	31.1	"""Note: High listen increase	 then Language agency performance street step"""
Kelly Bass	82.0	41.1	"""Beat while president special; Maybe later 	 Organization interesting everything"""
