username;name;age;salary;price;description
lucas_west_6481;Lucas West;12.0;20.1;73.2;"""(Six go) ; Until cover nothing and Large"""
brian_benton_4306;Brian Benton;28.0;75.1;25.2;"""Note: Discuss positive exactly; then The yeah what our"""
daniel_ayala_8370;Daniel Ayala;8.0;;25.2;"""Read once identify; Among here ; Without"""
linda_davis_4344;Linda Davis;40.0;48.1;33.2;"""Exactly: Something beat; Occur size perform"""
lori_olson_3688;Lori Olson;25.0;69.1;28.2;"""(Kitchen laugh candidate pressure) ; Reason night and Successful hand"""
steve_duncan_5232;Steve Duncan;26.0;94.1;92.2;"""I both life: Finish result share; Newspaper quickly"""
erin_young_1582;Erin Young;27.0;61.1;41.2;"""Like list; Store rather though especially government fact Camera family for film assume"""
kevin_hayes_2198;Kevin Hayes;8.0;75.1;15.2;"""Challenge both professor; Address while ; Three itself"""
joy_martin_9112;Joy Martin;10.0;46.1;51.2;"""Start truth: Section north; So movement water customer news"""
danielle_hickman_9904;Danielle Hickman;26.0;56.1;;"""(Final specific item theory) ; Know ready and Network think car reveal"""
megan_daniel_9318;Megan Daniel;98.0;5.1;1.2;"""Note: Every own; then Close pay hundred garden piece"""
dan_gamble_7796;Dan Gamble;79.0;81.1;39.2;"""(Dog man) ; Trouble east fear and Loss walk"""
michael_moore_8127;Michael Moore;16.0;95.1;33.2;"""(Believe forward evidence agent all research) ; Crime and Wait many arm sign"""
jaime_aguilar_9569;Jaime Aguilar;69.0;68.1;68.2;"""Whatever story back the; Wear necessary bank book four Open thing hundred of"""
mark_jennings_0825;Mark Jennings;64.0;66.1;66.2;"""Note: Cause president practice group affect; then Certain everyone those"""
jamie_taylor_5762;Jamie Taylor;19.0;95.1;56.2;"""Note: Play deal affect admit; then Activity song base"""
laura_dillon_6905;Laura Dillon;15.0;26.1;21.2;"""Each least director letter seek: Administration child others; Our day"""
cory_brady_4008;Cory Brady;66.0;2.1;37.2;"""Type onto discuss; Health consumer Lot"""
madison_mckenzie_2235;Madison Mckenzie;71.0;100.1;15.2;"""Why whole activity set; Crime line Require we"""
amanda_king_7892;Amanda King;33.0;17.1;13.2;"""Increase identify; Without It"""
james_hill_1127;x;;33.1;36.2;"""Past teach; Like about brother different Alone consider admit of"""
