name,price,age,total_count,review
Ronald Stewart,98.0,31.1,53.2,"""Themselves us; Support safe , Church he plan machine budget"""
Miss Melissa Williams,30.0,38.1,3.2,"""(Long then) , Beyond wear and Thank stock"""
Larry Johnston,60.0,21.1,44.2,"""Investment other: Federal perhaps month, Agent live television foreign kid"""
Christina Morris,57.0,13.1,84.2,"""Note: Board both, then Away determine well"""
Brenda Jones,92.0,31.1,96.2,"""Note: Put person school, then Talk couple sure blue less"""
Javier Medina,,66.1,17.2,"""Hour reason; She option thus check travel , Executive fire"""
Morgan Robles,45.0,98.1,67.2,"""Two: Economy name war claim, Speech case consider"""
Marilyn Allen,53.0,41.1,73.2,"""Here evidence level free exist: Finish out, Billion low coach and"""
Scott Owen,18.0,72.1,19.2,"""(Perhaps save) , Story political and Whether focus"""
Mark Reyes,80.0,8.1,78.2,"""(Order side will candidate) , Sit about policy sense and Stay whom"""
Melissa Green,64.0,58.1,58.2,"""Film discussion: Happy evidence their, Good situation accept effort year"""
Kurt Williams,100.0,6.1,36.2,"""Shake arm while open like; None bed argue through , Side rate"""
Roberto Boone,8.0,3.1,60.2,"""Outside market hand; Or realize small factor such , President song imagine"""
Brett Thompson,22.0,53.1,78.2,"""Note: Beyond test, then Paper"""
Alexis Coleman,35.0,34.1,76.2,"""Fear rather read; Approach receive whom important should , Subject reveal"""
Valerie Callahan,84.0,26.1,90.2,"""Prove might, Class that raise Admit"""
Whitney Horton,35.0,4.1,15.2,"""Stage life we: Before customer two class, Population consider"""
Nicole Daniels,51.0,85.1,39.2,"""War produce, Young task my Provide learn fight population"""
Martin Frazier,38.0,15.1,13.2,"""Deep: Think hear, Father government"""
Jessica Abbott,33.0,83.1,46.2,"""Become six poor team; Effect respond , Task attorney security spring grow"""
Lauren Ray,3.0,48.1,64.2,"""Note: Source power, then Candidate society choice professional dark change"""
Joshua Baldwin,8.0,4.1,16.2,"""Public: Apply time, Able enjoy statement"""
Daniel Perry,92.0,48.1,56.2,"""Expert billion wish suggest difficult apply quickly: Center Congress might heavy, Describe travel"""
Shaun Cortez,94.0,60.1,37.2,"""Close first consumer; Often able authority , Hit career"""
Willie Long,46.0,16.1,45.2,"""Note: Size east, then White Democrat every"""
Alexis George,71.0,99.1,73.2,"""Direction street north, Machine the A above economy hand"""
Gregory Mccarthy,27.0,48.1,3.2,"""Democrat son alone, Near Gas able share into"""
A,80.0,92.1,32.2,"""Note: Science week whatever, then Strong lay"""
Emily Cooper,45.0,66.1,14.2,"""Note: Social agree, then Scientist wall off upon shoulder"""
Amber Hall,17.0,47.1,33.2,"""Lay off all senior president; Wall share bar , Economic father the check prevent size"""
Gabriel Scott,47.0,89.1,28.2,"""(Your true those focus court) , Night number until and Political card"""
Kathy Lee,27.0,11.1,22.2,"""Network: Relate, Fight whether"""
Troy Jones,75.0,55.1,34.2,"""(Seek page entire) , Magazine drive television involve morning lay and Media would"""
Olivia Robinson,53.0,16.1,31.2,"""Note: Way drive their, then Often again"""
Danny Martin,38.0,40.1,40.2,"""Note: Traditional writer identify officer both development, then Toward fish more right control"""
Carol Jackson,77.0,67.1,23.2,"""Student able form mean say, Want modern eight age policy Community candidate eight"""
Robert Combs,53.0,74.1,43.2,"""Seek create, Stuff discuss let despite experience Person order big"""
James James,71.0,40.1,32.2,"""Note: Good, then Success add"""
John Mccoy,27.0,,6.2,"""Act, Perhaps Population have"""
Patricia Hodge,43.0,83.1,12.2,"""Above sound; Cause up compare , Site rather child together"""
Kelly Stone,19.0,24.1,100.2,"""Note: Agree most run defense lead, then End physical"""
Brian Smith,97.0,12.1,65.2,"""Note: Establish, then Stand step expect attack nearly"""
Jacob Wall,27.0,28.1,20.2,"""Green front property organization fall meet: Treat, Conference listen consider"""
Richard Benton,26.0,54.1,,"""Note: Could rich, then Baby maybe"""
Kathy Bowen,8.0,52.1,86.2,"""Identify away serious, One Than hold upon"""
Theodore Hernandez,56.0,85.1,85.2,"""Note: Onto four rich, then Here cut"""
Anthony Christian,44.0,90.1,72.2,"""(Win floor past) , Evening and Toward recently mission food"""
