username;name;age;score;rating;note
annette_andrews_8384;Annette Andrews;49.0;17.1;93.2;'''Ducimus enim ea dolores quas; Quaerat quidem dolorem ipsa quidem enim Minus eveniet vitae quo quibusdam'''
dawn_sutton_9280;Dawn Taylor-Sutton;40.0;46.1;70.2;'''Mollitia iure: Itaque nobis; Asperiores voluptatem facere quod porro sed'''
jason_white_0184;Jason White;30.0;41.1;69.2;'''Nam: Impedit minus a; Ea'''
bruce_king_8039;Bruce King;38.0;56.1;20.2;'''Doloremque: Voluptatibus; Incidunt iusto saepe'''
ronald_howe_4495;Ronald Howe;74.0;72.1;97.2;'''Ratione sunt provident; Aliquam ; Aspernatur accusantium nisi tempore rerum'''
mohamed_owens_2237;Mohamed Owens;31.0;22.1;62.2;'''Deleniti laudantium libero; Blanditiis nesciunt aspernatur labore ipsa quasi Ipsa'''
alice_reid_2407;Alice Reid;66.0;82.1;74.2;'''Sit cupiditate; Libero quibusdam voluptatem Accusamus ab'''
jessica_tucker_5544;Jessica Tucker;2.0;38.1;89.2;'''Velit ab reiciendis ullam: Vero praesentium illum; Corporis sit iusto'''
mr_watson_4483;Mr Stuart Watson;45.0;62.1;55.2;'''Note: Nostrum eveniet nulla; then Pariatur'''
jemma_smith_5839;Jemma Smith;3.0;28.1;29.2;'''Note: Optio nam; then Tempora ipsum excepturi'''
sharon_wheeler_2818;Sharon Wheeler;;92.1;87.2;'''Note: Aliquam itaque beatae autem; then Dignissimos inventore cum laudantium dolores'''
lindsey_williams_1545;Lindsey Williams;64.0;38.1;46.2;'''(Eius repellendus delectus) ; Nesciunt corrupti labore beatae doloribus and Quaerat nesciunt quos'''
rebecca_rhodes_1658;Rebecca Nicholson-Rhodes;49.0;86.1;94.2;'''Note: Aut nam doloremque molestias; then Unde perferendis quisquam'''
abbie_payne_4566;Abbie Payne;81.0;;63.2;'''Labore maxime ducimus rem; Velit eveniet laboriosam Architecto ullam blanditiis perspiciatis sapiente aspernatur'''
james_price_8353;James Price;1.0;40.1;2.2;'''(Quibusdam nihil impedit dignissimos) ; Id aperiam voluptates pariatur and Sapiente repellat veritatis voluptates atque'''
james_williams_1940;James Parker-Williams;6.0;83.1;26.2;'''Sint; Officiis dolores enim voluptas corrupti excepturi Aut praesentium inventore aperiam'''
mr_wallace_2758;Mr Louis Wallace;39.0;69.1;46.2;'''(Quia nulla) ; Deleniti consequuntur illo harum and Nesciunt tenetur id nobis'''
miss_johnson_5163;o;20.0;60.1;16.2;'''Beatae; Temporibus nobis a ; Eligendi nisi dicta sed'''
jodie_ashton_0939;Jodie Ashton;93.0;71.1;27.2;'''Unde eligendi consectetur: Consectetur deleniti rem quod ipsa tempore; Aperiam natus placeat'''
neil_harris_1975;Neil Harris;82.0;5.1;39.2;'''Delectus; Fuga repellat aspernatur ; Quidem neque'''
albert_jackson_2048;Albert Jackson;23.0;5.1;68.2;'''Corrupti asperiores odit cum; Praesentium suscipit ; Repellendus quaerat'''
francis_butler_8015;Francis Butler;54.0;9.1;44.2;'''(Amet consequuntur eum hic) ; Dolore eveniet et and Illum'''
joan_howarth_8868;Joan Hunt-Howarth;89.0;56.1;84.2;'''(Animi voluptatibus) ; Amet alias molestiae and Sed distinctio harum'''
miss_jennings_2866;Miss Samantha Jennings;29.0;8.1;;'''Note: At dignissimos; then Tempora nostrum quidem corrupti aspernatur'''
hugh_edwards_9646;Hugh Edwards;27.0;95.1;92.2;'''At delectus; Doloremque et ratione blanditiis ex Odit repellat vitae'''
