# This is a comment line to skip
username,name,rating,total_count,price,note,review
bryan_black_9785,Bryan Black,67.0,92.1,36.2,"""Note: None wall, then Name specific campaign""","""(West main move) , Final interesting human work and Actually recent nor"""
keith_booth_1223,Keith Booth,12.0,73.1,65.2,"""(Large free training) , Ahead lay there relationship work sell and Example bad animal""","""(Hospital) , Involve first environment room their size and Identify determine"""
mark_lawrence_9729,Mark Lawrence,54.0,89.1,68.2,"""Throw long, Authority arrive power Car suggest term""","""Note: Central seven, then Course player"""
brittany_hamilton_3635,Brittany Hamilton,52.0,39.1,49.2,"""(Everyone recent) , Wear five and That might player everybody play""","""Voice country professor position: How continue, Everything"""
joan_martin_2243,Joan Martin,31.0,40.1,5.2,"""Note: Wrong party sure, then Local however""","""Their relate wide, Community water enter Large purpose"""
ronald_townsend_1837,Ronald Townsend,37.0,27.1,91.2,"""Shake anyone; Focus avoid bed experience , Unit skin whom surface""","""Inside how everything; Beautiful , Its bit market theory"""
ruth_smith_5984,Ruth Smith,15.0,72.1,34.2,"""(Nation whatever) , Get and Cup experience if""","""Note: Attention high again in, then Cold"""
christine_miller_3357,Christine Miller,4.0,21.1,88.2,"""Spend traditional study; World cause continue leg whose , Shake success treatment edge politics""","""Name bad able certainly know, Figure will Recent task nor"""
anthony_vasquez_1468,Anthony Vasquez,88.0,76.1,25.2,"""Southern: Sea culture market travel, True stuff expect""","""At girl; Reflect recently owner development , Science five"""
laura_mitchell_4814,Laura Mitchell,7.0,70.1,35.2,"""Over including; North visit , Bank investment PM""","""Note: Senior word year event opportunity tonight, then Small arrive"""
aimee_davis_9144,Aimee Davis,13.0,91.1,,"""(News alone always tell free) , Bring team cultural and Forget treatment bar explain""","""Trade could sea enough charge: From compare, Herself truth else political"""
adrian_hughes_6037,Adrian Hughes,19.0,34.1,78.2,"""Value various; According stock hundred , Because full""","""(Among score) , Policy affect different maybe writer and Sound involve event"""
emily_kim_9698,Emily Kim,44.0,19.1,24.2,"""Note: Arrive, then Fight""","""(Fill up American personal wall raise) , Century machine meeting worker and She civil front one"""
