# This is a comment line to skip
name;price;age;salary;note
Mandy French-Bailey;72.0;7.1;50.2;"""Est exercitationem: At quia; Illo tempora odio minima amet sed"""
Ann Porter;76.0;50.1;16.2;"""(Dicta beatae magni officiis) ; Alias and Sapiente magni unde et velit"""
Gemma Patel-Chadwick;37.0;24.1;93.2;"""Sapiente quidem omnis tenetur; Corporis Ipsa dolorum maiores distinctio sint"""
Raymond Williams;7.0;75.1;77.2;"""Magni saepe tempore hic odit; Adipisci architecto eius ipsa ; Velit consectetur itaque deserunt"""
 ;91.0;57.1;72.2;"""(Dolores totam delectus esse id) ; Excepturi sed blanditiis and Blanditiis maxime quisquam"""
Dr Sarah Fowler;86.0;49.1;76.2;"""Porro velit dolore; Soluta et ad id ; Atque quia suscipit"""
Charlene Kay;16.0;97.1;48.2;"""Consectetur quam iste: Architecto suscipit; Animi autem velit"""
Samantha Jones;34.0;38.1;82.2;"""Note: Rem; then Ut eos"""
Paula Watts;35.0;67.1;57.2;"""Odit aperiam occaecati; Iste Quos similique commodi placeat"""
Marion Richards;14.0;89.1;99.2;"""Quis assumenda minima veniam; Est dolorum adipisci omnis Id perferendis corporis"""
Stephanie Dunn;29.0;5.1;;"""A reiciendis: Magnam placeat est; Rem atque accusantium beatae"""
Samantha Owen;64.0;94.1;34.2;"""Ipsum laborum dolore; Aliquam similique Ratione quas"""
Jacob Finch-Williams;69.0;54.1;40.2;"""(Necessitatibus placeat) ; Temporibus facere and Voluptatem numquam deleniti dolorem"""
Pauline Wilson-Murphy;64.0;91.1;41.2;"""Eaque repellat ipsam aspernatur nostrum; Enim consequuntur Rerum inventore"""
Dr Karen May;43.0;;72.2;"""Ex magnam debitis aspernatur temporibus; Exercitationem amet consequatur ut ut Eaque"""
Samuel Holden-Watson;25.0;67.1;92.2;"""Iusto placeat veniam beatae modi: Blanditiis et non sit deleniti; Itaque ullam"""
Joanna O'Brien;;14.1;29.2;"""Illum facere dolorem; Deleniti cumque dolor Inventore laborum voluptatibus quidem"""
Dean Butler;66.0;50.1;85.2;"""(Cupiditate minima aliquid) ; Hic and Earum occaecati"""
Simon Potter;18.0;35.1;55.2;"""Nemo odio sapiente; Deserunt tenetur harum Voluptates placeat perferendis"""
Rita Hughes;64.0;89.1;88.2;"""Iste doloribus suscipit; Id autem provident maxime eligendi ea ; Alias error fugiat eveniet"""
Anne Hardy;7.0;23.1;82.2;"""Aliquam possimus; Culpa quia saepe quo Ipsam ad labore eum"""
Rebecca Harrison;28.0;47.1;19.2;"""Aliquid iusto sint cumque: Eius deleniti; Quisquam voluptas"""
Jayne Blake;34.0;43.1;71.2;"""Occaecati perspiciatis recusandae; Assumenda dolor nulla iusto repellat Consequatur fugit mollitia eveniet"""
Miss Hannah Pearson;27.0;4.1;9.2;"""Deleniti rem; Maxime pariatur nostrum Illum"""
Shaun Wright;24.0;4.1;28.2;"""Note: Quod deleniti ex veniam sit; then Expedita exercitationem quidem dolorum"""
Katie Burton;27.0;49.1;73.2;"""Note: Nisi; then Ab animi quibusdam facere"""
Dr Garry Smith;42.0;99.1;81.2;"""(Reiciendis hic at aliquam quaerat) ; Aspernatur aliquid repellendus sit and Consequuntur tenetur"""
Liam Moore;70.0;91.1;97.2;"""Exercitationem: Perspiciatis omnis facere nihil; Vero"""
Terry Ball;49.0;31.1;37.2;"""Quod nesciunt amet numquam excepturi ex; Natus commodi porro Odit asperiores cum aspernatur"""
Gavin Lowe-Robson;19.0;34.1;55.2;"""Libero possimus hic ea: Accusantium ut optio maxime soluta porro; Consequuntur"""
Dr Ben Lewis;14.0;52.1;56.2;"""Ipsam similique esse eum ad: Quas fugiat sit vitae quis repudiandae; Repellendus iusto aperiam unde sed facilis"""
Dr Sam Thomas;82.0;94.1;10.2;"""(Repellendus ex iure) ; Tempora and Sit ullam est reprehenderit debitis"""
Dr Danny Reeves;100.0;54.1;1.2;"""Note: Explicabo dolore nostrum; then Rerum illum"""
Miss Joan Andrews;89.0;6.1;65.2;"""Autem iure eaque autem; Cumque excepturi asperiores Minus rerum neque"""
Mr Adam Hewitt;14.0;93.1;71.2;"""Sunt inventore: A quae nemo enim; Repellat officia"""
Michelle Hope-Scott;69.0;97.1;79.2;"""Ipsam quis mollitia; Facilis nostrum ratione doloribus ; Inventore a"""
Kenneth Chapman-Bird;64.0;23.1;57.2;"""Sit assumenda; Aliquid tempora ; Voluptatem nihil"""
