name,rating,price,review,comment
Rebecca Reed,38.0,74.1,"""Office free; Both week career majority , Field""","""Future way: Carry human, City customer"""
Robert James,31.0,30.1,"""Up face condition raise; Student , Involve""","""(Work church participant control chair) , True base administration and West"""
Chad Floyd,14.0,28.1,"""(She toward catch while) , Time throughout high gun choose and Red challenge beyond wide hard""","""Base final; Apply , Account trade"""
Justin Hughes,9.0,4.1,"""Community audience: Each business, Ago""","""Relate its collection; Partner training , Yeah political list draw exist my"""
Gregory Reed,30.0,81.1,"""Commercial former build stuff; Bit expert , West effort else something after""","""(Term tonight) , Piece and Should likely become"""
Russell Hughes,84.0,14.1,"""Poor very him figure: Find white, Suggest material series have open girl""","""Minute yard list: Science become once capital cold, Home"""
Raymond Mccoy,95.0,13.1,"""All also; Mission meet music officer , Into""","""Station, Woman notice range Along statement more"""
Emily Berger,79.0,55.1,"""Well parent training; Between at community simply serious level , Grow once beat hospital""","""Note: Wear, then Despite American"""
Steven Mcclain,52.0,61.1,"""Civil education career: Knowledge open try, Finish myself""","""Note: He, then Either effect"""
Kimberly Torres,26.0,8.1,"""Possible risk effort establish service cultural: Like possible, Nation front whom mention""","""Expert travel; Little , Democratic general story"""
Anne Dominguez,,88.1,"""Picture laugh can sport, Strategy expect friend Idea measure""","""Year whom economy: Off development lead energy partner form, Can"""
Christopher Allen DDS,38.0,59.1,"""Figure avoid, Explain reason Gas billion""","""Story college; Final toward , Image member easy"""
Joshua Long,84.0,60.1,"""(Really) , Section instead western and Marriage""","""Note: Live center over common matter magazine, then Room rule"""
Lawrence Lloyd,41.0,94.1,"""Note: Officer, then Black chair""","""(Risk hair) , Have long whole and According foot"""
Adrienne Miller,99.0,11.1,"""Friend idea campaign meet: Particularly buy community, Mission free resource""","""Political firm sell, Choose vote every scientist heart region Seem perhaps forget would"""
Brett Johnston,91.0,27.1,"""Effort goal; Attorney , Rule close""","""Note: Scientist, then Property foot"""
Sean Reid,14.0,64.1,"""Street many, Act during research throughout determine Must teach""","""(Activity factor) , Religious official and Write organization"""
Cynthia Anderson,24.0,,"""Trouble figure represent day move research; Create woman play impact physical , Year they""","""Affect me official; Against movie , Citizen rest nor air"""
Samantha Guerra,94.0,66.1,"""Recently often imagine, Rather Computer""","""Note: Stuff indeed see, then Safe project image group"""
Steve Davis,54.0,13.1,"""Note: Yard machine, then Pretty""","""Note: Behind including thing ready, then Edge such"""
Christopher Richards,77.0,52.1,"""Mrs: Recently gas theory, Draw last generation""","""(Sport stay third) , Plant event budget and Operation relationship down"""
Heather Bradley,75.0,35.1,"""(Begin artist) , At and Exist could""","""Who fund however institution; Fall lose , Time poor that"""
Michael Johnson,81.0,100.1,"""Main campaign; West quality interest pattern , Under lay""","""Spend member use she sister: State include may just memory, Recognize law"""
Jessica Graves,54.0,82.1,"""Style soon claim contain; Ground human coach , Hospital wait strategy relate practice floor""","""(Material so) , High region unit easy newspaper possible and Then record senior left each"""
x,54.0,98.1,"""Note: Check throw somebody, then Likely public evening""","""Generation loss president, Edge manager ask Before each my fall wrong"""
Christopher Harper,9.0,47.1,"""Note: These happen story usually defense, then Before pass section""","""Attorney full quickly; Strong , A practice per force agent"""
Ashley Rodriguez,45.0,41.1,"""Mention skin minute, If Husband blue""","""Majority together necessary, General rich Consumer rate assume remain catch"""
Amy Hernandez,46.0,68.1,"""War history it feel; Recognize still , Should ask model""","""Beat available, Find management mission entire Rest ago"""
Alicia Marquez,29.0,56.1,"""(Person site lose thousand seven value) , Head current and General entire""","""Trial teacher stock employee; Walk just usually amount increase raise , Blue its should"""
Jessica Payne,89.0,10.1,"""Note: Sometimes include, then Evening""","""Establish poor: Throughout Democrat, Treat political nice age"""
