username,name,score,summary
alyssa_warner_8339,Alyssa Warner,43.0,"""Eight show our; Become stop mission , Way huge listen"""
kathleen_stanton_0952,Kathleen Stanton,16.0,"""Group business measure whatever product, Just manager Tend rule pretty what expert"""
kevin_mcbride_1371,Kevin Mcbride,29.0,"""Note: Send, then Audience skill"""
mark_pearson_6629,Mark Pearson,37.0,"""Civil; Sea factor , Director positive"""
jessica_guerrero_4541,Jessica Guerrero,97.0,"""(Good discover answer) , First and Guy yeah"""
kathryn_patel_4451,Kathryn Patel,59.0,"""Trouble become agree: Official half ever, Question"""
paul_watkins_8724,Paul Watkins,,"""Human after; Owner rule service take us , Moment up"""
christina_clark_4567,Christina Clark,61.0,"""Most financial fall single agent: Building, Second look"""
stephanie_davis_3570,Stephanie Davis,83.0,"""Upon need: Name war once easy purpose, Far style station"""
daniel_dds_1048,Daniel Davis DDS,69.0,"""New edge; Give culture something find open system , School month"""
jeremy_bernard_5213,Jeremy Bernard,7.0,"""Cover participant, Blue drop stop north be pattern Next quality"""
george_wagner_9715,George Wagner,80.0,"""National old commercial: Wait allow themselves sound thought, Possible traditional"""
james_casey_0443,James Casey,23.0,"""Over loss alone reach, They time Model choice gas"""
caleb_fischer_8771,Caleb Fischer,95.0,"""Meeting foreign remain among away third next: Three event hope wall, Activity discussion life accept meeting"""
luis_chen_9550,Luis Chen,48.0,"""Physical big dog: Cost challenge, Start first"""
kevin_sparks_9736, ,8.0,"""Note: Really south boy expect him, then Quite"""
hunter_perry_5586,Hunter Perry,95.0,"""Major throughout; Certainly , Girl reduce"""
tara_booth_5798,Tara Booth,46.0,"""Political bad and: Century play include month carry common, Teach hospital"""
frank_robinson_9934,Frank Robinson,51.0,"""Agreement, Truth Type time director"""
john_shaw_0916,John Shaw,87.0,"""Movement film: Yeah law statement main miss once, Certainly"""
paula_white_0042,Paula White,68.0,"""Traditional: Citizen care finish, To land gas"""
cynthia_edwards_2329,Cynthia Edwards,12.0,"""Down; Truth step across trip yes , Structure body it feeling adult"""
thomas_brown_3303,Thomas Brown,97.0,"""Tv first bag, Near maybe For customer television even"""
calvin_campbell_3746,Calvin Campbell,81.0,"""Fall assume benefit popular develop; Moment , Such anyone partner myself"""
melissa_peterson_9866,Melissa Peterson,91.0,"""Color recently, Out month threat Meeting"""
amanda_wolf_6687,Amanda Wolf,83.0,"""(After analysis bad green) , Ground and Far agree"""
alisha_hodges_6199,Alisha Hodges,99.0,"""Note: Attention site race, then Power other"""
mary_le_7171,Mary Le,75.0,"""Technology perform treatment: Work president east, To rule"""
robert_dds_5625,Robert Lang DDS,1.0,"""Investment reflect: Eight white girl, Give military deep performance save send"""
chloe_lee_0860,Chloe Lee,38.0,"""Note: Table memory executive, then Analysis often discuss seek leader"""
corey_kirby_4993,Corey Kirby,39.0,"""Little, Green Protect attorney account trouble"""
