username,name,salary,summary
julie_parsons_1075,Julie Parsons,57.0,'''Enjoy add yard song simply little, Small beat Worry his game me light mother'''
jessica_williams_8057,Jessica Williams,34.0,'''Many happy four record: Religious later probably benefit stop once, Memory write approach material go feel'''
david_jenkins_8899,David Jenkins,77.0,'''Note: Senior forward, then Movie'''
justin_mcgee_2312,Justin Mcgee,86.0,'''Pretty be record leave nearly far; Machine , Reach trade'''
jacqueline_dorsey_6249,Jacqueline Dorsey,35.0,'''The do necessary score, Usually hand again late Teach loss fly goal member dark'''
beth_allen_4694,Beth Allen,76.0,'''(Your area various clear) , Form time one minute mouth and Maintain data'''
jennifer_king_6076,Jennifer King,75.0,'''Sense perform front: Son role culture set, Each discuss out'''
lori_williams_3336,Lori Williams,78.0,'''(Meeting indeed process score) , Start imagine trip bank capital and Test option'''
craig_ponce_6008,Craig Ponce,88.0,'''War about, Land Him wide imagine'''
victor_beck_7476,Victor Beck,59.0,'''Election future full guess conference, Position behavior raise listen relationship Senior section watch during him'''
jessica_hicks_6821,Jessica Hicks,46.0,'''Pay; Meeting where avoid southern , Little yourself'''
amanda_short_9434,Amanda Short,90.0,'''Himself put bar also: Spend, Head spend style'''
jaime_lawrence_8614,Jaime Lawrence,59.0,'''Pay care project; Such western only effort , Say strategy decade position Congress'''
joseph_campos_4587,Joseph Campos,97.0,'''Collection; To , Wall key to'''
connie_phillips_9872,Connie Phillips,83.0,'''Note: You interest they, then Worker'''
jaime_collins_5536,Jaime Collins,70.0,'''Accept: Pattern health, Understand public opportunity'''
kathy_martin_6880,Kathy Martin,54.0,'''Eat: North stay, Enter election'''
jose_gonzales_0196,Jose Gonzales,47.0,'''Note: Less, then Condition throw wait such project'''
melissa_johnson_4267,Melissa Johnson,56.0,'''(Paper south involve line) , Thing major long and Size hour best'''
allison_medina_8240,l,34.0,'''Also enjoy yet, Language early Owner PM American happy'''
alyssa_cook_1893,Alyssa Cook,45.0,'''Section begin vote task; Heavy crime , Name represent theory use'''
douglas_collins_1365,Douglas Collins,26.0,'''Among; Where , Trip watch side not subject series'''
david_carson_0926,David Carson,35.0,'''Note: Car rule action, then Voice boy too field make'''
joseph_alexander_9932,Joseph Alexander,94.0,'''Short, Understand appear as peace Final space church'''
stephanie_butler_5536,Stephanie Butler,69.0,'''Note: Start leave, then Write'''
vanessa_phillips_2071,Vanessa Phillips,,'''Although office: Public, Rest recent stuff scientist'''
john_wells_7472,John Wells,27.0,'''(Season) , Play likely and Nice not mention husband see lawyer'''
