# This is a comment line to skip
name;score;comment
Taylor Collins;59.0;"""Big boy space; See same up play Personal economic"""
Mr. John Hernandez;59.0;"""Military; Relationship everyone accept drug make Suggest only material"""
Joshua Sutton;;"""Note: Several four; then Public answer couple guess"""
Kathy Robinson;43.0;"""Family say ask; Show yeah Control attack close"""
Andrea Miller;24.0;"""Figure traditional; Gas body ; Size red"""
Mark Gutierrez;40.0;"""Note: Say study trip or; then Technology rise once animal number between"""
Samuel Brown;4.0;"""Night: Red meeting include; Wife"""
Nicholas Gibbs;69.0;"""(Program than then) ; Foreign travel heart and Our usually any newspaper"""
Lisa Waters;78.0;"""Leave among; Yes public several ; Rest free avoid"""
Christina Oliver;90.0;"""Note: Computer person kind; then Adult become industry new"""
Shannon Wise;42.0;"""Top describe; With quite ; Into team"""
James Taylor;79.0;"""Time move subject owner radio: Change experience fine one clear analysis; Service visit account measure"""
Frank Palmer;100.0;"""(World) ; Floor certain and Decide certainly"""
Randy Robinson;90.0;"""Note: Close tend benefit interesting write; then These friend floor"""
Glenn Mcguire;16.0;"""Beyond idea discussion natural finally toward; Black turn Dream receive challenge"""
Melvin Jimenez;39.0;"""Note: Opportunity operation; then Behind"""
Herbert Gallegos;48.0;"""(Trouble according baby after record) ; Page and For energy"""
Colin Ortega;69.0;"""Note: Meeting finally into; then Low move would create majority"""
Elizabeth Torres;24.0;"""Affect as: New; Old network bed nor idea ball"""
Nancy Jones;14.0;"""Note: So music; then Scene everything conference institution protect"""
Pamela Morales DDS;5.0;"""Nation help born: Power notice writer beautiful against; Seek human daughter"""
Kendra Nicholson;66.0;"""Present suddenly responsibility; With happy ; Cost social instead eat"""
William Gordon;67.0;"""(In picture for) ; Wonder investment and Give relate"""
Bryce Ortega MD;56.0;"""Spend memory north; Movie when film Enjoy quickly reduce"""
Shane King;76.0;"""Mission new to; Bad manage draw wall The Mr article property who"""
Austin Jensen;94.0;"""Maybe use; Assume its win have ; Public spring information make"""
Alex Spears;3.0;"""Note: Meet fund simple; then Former if close"""
Sean Woods;30.0;"""Guy film effort article: Space central; Next meeting"""
Wendy Key;49.0;"""More; Organization room Thank"""
Casey Cantrell;4.0;"""Note: Major study; then Series increase"""
Jonathon Dean;2.0;"""Heart truth half; Win form ; Return"""
David Scott;24.0;"""Note: Few; then Art certain"""
Gabrielle Morales;44.0;"""(Community) ; Peace find account result until Republican and Start"""
D;24.0;"""Note: Deep particularly low; then Similar"""
