# This is a comment line to skip
username	name	rating	salary	age	note
joshua_md_0121	Joshua Ruiz MD	19.0	52.1	35.2	"""Citizen sort alone white just chance; College yet special old up 	 Truth government"""
elizabeth_bell_3586	Elizabeth Bell	45.0	79.1	22.2	"""House you see can	 Could government buy activity Tough care local"""
jennifer_martinez_0899	Jennifer Martinez	65.0	24.1	9.2	"""Note: Term before hotel like	 then Dog though since score forward"""
grace_terrell_7308	Grace Terrell	50.0	11.1	1.2	"""Note: Decade	 then Scientist different"""
brendan_lewis_2526	Brendan Lewis	76.0	97.1	31.2	"""(Through direction) 	 Eye sport live nearly and Even ahead"""
donald_johnson_6809	Donald Johnson	98.0	16.1	33.2	"""(Career significant movie owner) 	 Study dog moment public and Movement"""
monica_clay_1430	x	29.0	55.1	27.2	"""Receive threat	 Part position return Happen weight information"""
richard_bennett_2432	Richard Bennett	66.0	77.1	56.2	"""Military stuff wall: Federal	 Expert sport"""
amanda_mendoza_0891	Amanda Mendoza	70.0	69.1	53.2	"""Single sea which dinner help leg	 Represent role hundred four myself country Yourself sort"""
valerie_silva_5531	Valerie Silva	1.0	75.1	56.2	"""Author responsibility small describe season especially; Agreement begin discuss 	 Down factor"""
kevin_calhoun_9695	Kevin Calhoun	88.0	33.1	19.2	"""Point fall: Thank drug difference available	 Performance"""
darryl_jensen_0661	Darryl Jensen	99.0	47.1	22.2	"""Attention religious window; Ever expert service reveal hold weight 	 Push so common"""
gary_morris_9955	Gary Morris	94.0	15.1		"""Simple beautiful public wall	 Wear whether painting central rate tough drive Change buy"""
amy_nolan_3395	Amy Nolan	33.0	88.1	22.2	"""Note: Out easy	 then Fly news yet rather situation"""
james_brown_5644	James Brown	60.0	44.1	10.2	"""(Young once back hospital attack) 	 Head modern star firm main bed and Fund business approach"""
todd_smith_1024	Todd Smith	72.0	19.1	48.2	"""Wind soon girl become old ball	 Find foot Will difficult"""
erica_dds_5361	Erica Jones DDS	9.0	34.1	80.2	"""My fill	 Turn Young phone"""
jennifer_carter_1243	Jennifer Carter	89.0	97.1	39.2	"""And	 Language win book attack officer place Leader approach when"""
erica_martinez_5259	Erica Martinez	94.0	20.1	70.2	"""Any deal	 Ahead price country Walk"""
samantha_kelly_8718	Samantha Kelly	51.0	48.1	18.2	"""Behind language	 Traditional commercial Kid analysis leave support build"""
michael_branch_7387	Michael Branch	95.0	47.1	43.2	"""Send politics	 First third Campaign"""
diane_martin_8689	Diane Martin	68.0	63.1	83.2	"""Fall someone mind	 Quickly nation contain Rule prevent"""
edward_swanson_2079	Edward Swanson	27.0	52.1	29.2	"""Note: Election event	 then Seven really could break child"""
austin_chase_7993	Austin Chase	87.0	13.1	34.2	"""Front appear hotel picture: Total to	 Feel through"""
christine_cruz_0512	Christine Cruz	5.0	95.1	4.2	"""Summer modern; Huge into 	 Police room reach front list head"""
pamela_bailey_2169	Pamela Bailey	71.0	66.1	22.2	"""Usually see: Community provide situation	 Scientist reflect eat everyone"""
scott_meyers_1615	Scott Meyers	82.0		40.2	"""Source budget article force; Loss both citizen 	 Book let"""
hannah_porter_2205	Hannah Porter	88.0	99.1	19.2	"""Note: Foreign	 then Short these close security say"""
james_underwood_1700	James Underwood	84.0	91.1	46.2	"""(Later four him job) 	 Her and When meet organization according"""
margaret_lowe_8408	Margaret Lowe	53.0	28.1	72.2	"""Condition indeed character necessary	 Sign image Kid attorney"""
derek_hoffman_2332	Derek Hoffman	33.0	39.1	9.2	"""Look sort network	 Specific must community Time cover"""
cynthia_anderson_3037	Cynthia Anderson	4.0	73.1	42.2	"""Note: Order beyond record take tough	 then Almost from without east important"""
amanda_harrison_8977	Amanda Harrison		7.1	13.2	"""Member executive both	 Hand between environment value vote various Nor also"""
louis_watson_3694	Louis Watson	65.0	39.1	36.2	"""News compare relationship send	 Style choose ever window Series black cup"""
chad_carter_7967	Chad Carter	61.0	41.1	20.2	"""Note: Behind try	 then Student choice of"""
richard_lee_3865	Richard Lee	93.0	60.1	81.2	"""Note: Need stay	 then Pressure he"""
emily_williams_6305	Emily Williams	99.0	26.1	68.2	"""Note: Notice me	 then Maybe lay program"""
donna_fields_5263	Donna Fields	46.0	89.1	60.2	"""Rule sure star event thus; Appear available 	 Common"""
valerie_mccall_3881	Valerie Mccall	78.0	62.1	78.2	"""Until according; Away positive 	 Through"""
nichole_gomez_1847	Nichole Gomez	38.0	30.1	37.2	"""Note: Growth ready card cover	 then Subject news station either"""
brian_hawkins_3063	Brian Hawkins	37.0	3.1	60.2	"""Information: Whom charge	 Control strong public"""
zachary_gomez_3587	Zachary Gomez	51.0	34.1	85.2	"""Note: Himself box traditional than	 then Past big same"""
ryan_mason_8855	Ryan Mason	63.0	74.1	88.2	"""(Direction political pull yet another American) 	 Late and Natural same"""
anthony_vaughan_1371	Anthony Vaughan	61.0	14.1	38.2	"""Note: Owner morning wife matter	 then Official"""
erin_scott_6762	Erin Scott	21.0	41.1	57.2	"""Note: Minute	 then Decade"""
evan_herrera_5411	Evan Herrera	82.0	98.1	99.2	"""Cost whose happen; Study single worker interesting understand 	 Evening interesting government gun"""
