# This is a comment line to skip
name;total_count;comment;review
Henry Walker;33.0;"""(Bag can glass production on) ; Lose book and and Candidate trade decision lot push allow""";"""(Scientist city) ; Science each list and Rise high many"""
Brian Webb;;"""Production require break describe; Several floor official Exactly high paper third""";"""(Book realize sense management) ; Cost power heavy and Stop entire today"""
Jennifer Gibson;55.0;"""Still: Effort property child let operation; Doctor expert firm another writer military""";"""(Fact teach what) ; Happen blood meeting event and When"""
Ryan Morse;42.0;"""For education: Around; Score on keep glass question clearly""";"""Note: Theory American; then Occur how"""
Lindsey Stewart;29.0;"""(Health while generation) ; Range and Believe million better""";"""Spring question letter game reduce: Matter community fish grow television run; Right like themselves"""
Mario Owens;97.0;"""(Important see many maintain) ; Indeed and Eye lead sell job""";"""(Item accept away born) ; Box today listen surface and Theory idea two sort"""
Sarah Fisher;80.0;"""Note: Explain ok; then Laugh police week""";"""Occur every investment: Author difficult thought sound its hold; Include how spring little your"""
Julie Jackson;14.0;"""Together clear; American loss third News ahead""";"""(According thus ten) ; Reduce modern change and Other find dream reach"""
Paul Humphrey;71.0;"""Note: Ball piece top; then Red leader argue home""";"""Hospital western money; Sign choose model Number fill your relationship"""
Megan Cook;90.0;"""Note: Defense; then Opportunity technology her""";"""(Future debate keep main song) ; Car number and Cold toward"""
Richard Williamson;39.0;"""Close here project follow; Big look among report better Training world often""";"""Mission; Ever personal Life major"""
Tony Ward;55.0;"""Learn statement: Foot affect; Ok cup green score everyone""";"""(Partner) ; Responsibility all and Water right"""
Stephen Orozco;2.0;"""Note: By hot last any fine; then Specific candidate address program""";"""Instead; Whom Skill worker sound"""
Amy Ramos DDS;2.0;"""Note: Most apply range today learn quality; then Though use""";"""(Read) ; Open describe gas and Benefit only effect"""
Christine Payne;97.0;"""See compare begin; Tax book ; Him""";"""(Your state take) ; Improve and Need clearly college state"""
Roberto Garner Jr.;48.0;"""Note: Oil billion ahead; then Situation actually""";"""Note: Ability ground ever one admit soldier; then Brother instead them black ago"""
Alyssa Sullivan;77.0;"""Bed hope sell; Practice health however Term long""";"""Note: Let name; then Whole himself college"""
Paul Walker;24.0;"""(Pay major) ; Ok and World case both development""";"""(Lay into) ; Find thank and Product thousand many young"""
Heather Joyce;44.0;"""Note: Trip firm; then Become role""";"""Main close view behavior; Pretty ; Place member"""
Tammy Gibbs;7.0;"""Different base room environment: Reduce; Color""";"""Area live bad reflect church; Door every change agent key ok ; Add reveal central old support"""
Timothy Greene;75.0;"""Note: Decade truth; then End business four""";"""Position; She material against Note successful ahead"""
Cynthia Lynch;50.0;"""Note: Five join evidence; then East meeting we single military""";"""Base; Before may citizen Work magazine media hospital kid"""
Timothy Cox;49.0;"""Water: Young information; Knowledge almost or above carry""";"""Happen; Entire seven true scientist international Stay performance"""
Ian Glover;61.0;"""Cup; Natural site instead ; Nature choose adult green""";"""Population later politics six: Job; Authority piece must"""
Jessica Horton;55.0;"""Note: Able three; then Indeed while""";"""Tell care son enjoy occur task; Part help Allow sense meet point"""
Richard James;45.0;"""(Forward operation future president investment difference) ; Suddenly we and Open strategy film""";"""Detail child the adult better: Choice executive somebody reflect board live; Well member"""
Julia Wallace;74.0;"""Lead two job support; A ; Remain""";"""Account child method: Effect body outside force; Law picture nature"""
Jeremy Smith;23.0;"""Note: For goal be go thousand than; then At key""";"""Safe; Production daughter recognize Wife model"""
Donna Miller;14.0;"""Member institution; Property Network""";"""Note: Service sport part story; then Pick everything across"""
