name,rating,age,summary,description
Todd Miller,40.0,65.1,'''Show several election, Write learn Mrs Economic''','''(May voice effect stage best) , Mother class and Lawyer'''
Paul Harding,29.0,33.1,'''Expect short possible part feel, Though everyone ago Support station rather place moment often''','''Point heavy history conference, Agreement month your total source Tree benefit meeting'''
Wendy Craig,51.0,25.1,'''Wife final paper rich analysis quality, Take despite several Practice oil''','''Risk job; Memory support , Daughter somebody senior'''
Julie Leonard,72.0,41.1,'''Force every itself; Decade choice , Threat raise east''','''(Room then remain) , Travel and Allow across data artist'''
Peter Daniels,85.0,36.1,'''Be, Partner certainly local commercial difficult Officer recent''','''Southern girl often: Deep consumer learn line human still, Amount develop reach tree Mr try grow'''
Nicole Butler,31.0,10.1,'''Study; Join record hair , Identify court most stop''','''My mother: Provide that, Either turn green'''
Holly Downs,28.0,69.1,'''Few nice; Ask reduce thousand expect , Cup like''','''Note: Hard only born bank, then Throughout culture'''
Melinda Cortez,20.0,17.1,'''Head down campaign leg fill: Scene teacher, At true''','''Tend letter much animal after audience, Instead administration Interest Democrat event probably present'''
Jeffery Monroe,47.0,66.1,'''Suffer against identify; Admit necessary television debate , Organization matter decide region interesting''','''Build star next line effect, Spring admit attention Degree baby'''
Deborah Walters,28.0,31.1,'''(Station card) , Nor include and Moment raise of key research''','''Structure manage common person force; Career push also himself , Region'''
Karen Thomas,,84.1,'''Common strategy; Magazine majority , Skin''','''Gas: Bit meet, Upon hold'''
James Hernandez,52.0,77.1,'''Treat, Only agency receive Design pass happy compare''','''Note: Threat town, then Miss'''
Robert Hodges,43.0,40.1,'''Note: Full mother, then History reveal kitchen forget''','''Note: Friend with, then Appear also'''
Suzanne Hansen,72.0,93.1,'''Manager; Piece effort set happen its wrong , Result head''','''Note: Range always, then Dream several wind'''
Alexis Taylor,89.0,,'''Note: Think fear system, then Leg turn where pull''','''Two; Have kind , Different'''
Alejandro Wu,40.0,42.1,'''Value success Mrs: Less begin tell tree plant expert, Hold life day me after''','''Open human to, Animal list them Our rock source'''
Mackenzie Graves,51.0,2.1,'''(Its wait economic herself every) , Both free and Picture during finish box its''','''Area: Direction would heart, Me appear'''
D,54.0,45.1,'''Wide century magazine: Environment edge, Pressure discussion industry week''','''Out, Movement sit Thought'''
David Caldwell,57.0,25.1,'''Success my green partner per, Peace only relate Available suddenly''','''Structure design tend quickly health: Thing, Usually music year'''
Kyle Long,76.0,30.1,'''Land laugh offer window; World region service way , Structure policy individual''','''Note: Interview entire soon road, then People test man similar so'''
Brenda Mcguire,21.0,21.1,'''Provide able radio; Should talk accept loss traditional , Former imagine''','''Already know; Behavior us determine tax hope , Reach'''
Stephanie Soto,47.0,92.1,'''May out happy without compare value, Field course school parent its Investment''','''(Color style pull point charge task) , Customer simple couple and Reason respond treatment receive'''
Mary Allen,11.0,85.1,'''(Young really) , Road suddenly office and Week one as choose''','''Note: Certain candidate determine, then Read sense itself ball'''
Marilyn Wilson,9.0,80.1,'''Note: Five describe, then Assume early''','''Difference writer: What, Another'''
Monica York,17.0,12.1,'''Note: Big out, then Take very plan generation''','''Western beyond goal: You, Memory'''
