name	username	rating	price	summary
Shawn Bryant	shawn_bryant_0188	22.0	61.1	'''Former never tax	 Region town Magazine lot similar southern'''
Brianna Vasquez	brianna_vasquez_9014	82.0	39.1	'''Participant difference collection: Hard dinner though vote exist	 Physical head crime'''
o	heather_ray_3770	69.0	25.1	'''Yeah college: Cup color black	 Down away save treatment sell one'''
Alex Brady	alex_brady_0605	14.0	64.1	'''Hair main	 Main Ask'''
Diana Armstrong	diana_armstrong_7068	34.0	13.1	'''Kid protect; Ok later 	 Certain kind per'''
Kevin Montoya	kevin_montoya_7118	87.0	53.1	'''Note: Create court	 then Teach'''
Renee Anderson	renee_anderson_3059	72.0	47.1	'''Note: Back personal another	 then Discuss positive would'''
Justin Adams	justin_adams_3676	62.0	33.1	'''Note: Try security billion bank	 then Cold writer'''
Sarah Nguyen	sarah_nguyen_4593	69.0	62.1	'''Dinner explain: Put beat whom leader hot work	 Bed indeed sport with'''
Alexander Martinez	alexander_martinez_2176	71.0	70.1	'''Leave great: Blood good	 Argue'''
Andrea Walker	andrea_walker_7516	77.0	67.1	'''(Buy give) 	 Art and Finish current would back'''
George Horton	george_horton_7767		47.1	'''Send attention everything: Its since question	 Represent hope'''
Hannah Alexander	hannah_alexander_9601	62.0	52.1	'''Himself course	 Animal expert technology visit You help few'''
Bryce Bowen	bryce_bowen_3349	56.0	33.1	'''(Run young forward) 	 Add customer and Land'''
Yvonne Carr	yvonne_carr_7509	30.0	64.1	'''Example threat house billion: Education many several defense	 Everybody'''
Matthew Walters	matthew_walters_5781	7.0	45.1	'''Economy interest stage: Other apply receive	 Situation'''
Amber Hogan	amber_hogan_0123	96.0	47.1	'''Part last offer: Common former	 Yourself someone'''
Deborah Roy	deborah_roy_9594	15.0	75.1	'''Note: Kid age wife	 then Few plan security series cover'''
Julia Woods	julia_woods_2168	55.0	69.1	'''Surface deal herself: Action five foreign walk	 Real'''
Samuel Ruiz	samuel_ruiz_4229	55.0	74.1	'''Put; Southern 	 Heart service beyond son'''
David Cruz	david_cruz_7804	40.0	91.1	'''Firm	 Story learn former father Minute rest sit involve'''
Dr. Rachael Johnson	dr_johnson_5804	88.0	55.1	'''Information day sure: State performance citizen stage oil	 Kind since many experience amount'''
Christina Lee	christina_lee_1324	8.0	73.1	'''(Technology push) 	 Sense arrive speech and Continue keep trouble difference far forward'''
Deborah Kelly	deborah_kelly_9506	100.0	91.1	'''Republican threat summer same: Nice first	 Body him personal'''
Elizabeth Stanley DDS	elizabeth_dds_2984	41.0	42.1	'''Agreement start; Huge human fight 	 Cover forget game support'''
Craig Rivera	craig_rivera_1700	21.0	99.1	'''(First paper game resource) 	 Exist spring education and Power easy'''
Aaron Alexander	aaron_alexander_5057	64.0	8.1	'''Door alone	 You land itself Wonder degree'''
Ashley Greene	ashley_greene_9248	63.0	10.1	'''Note: Special high	 then Thought crime relationship key'''
Marc Arnold	marc_arnold_5490	49.0	33.1	'''Talk form move; Administration fact bit road magazine 	 Her job thus'''
Anthony Barry	anthony_barry_7215	27.0	69.1	'''(Down responsibility always play person lay must) 	 Inside spring number watch in and Need'''
Carolyn Evans	carolyn_evans_0835	9.0	47.1	'''Note: Interesting never	 then Now decision pattern'''
Michelle Torres	michelle_torres_4577	55.0	21.1	'''Pass skin: Organization development letter would	 Across drug resource produce'''
Michael Foster	michael_foster_7374	81.0	77.1	'''(Country community statement) 	 Need personal and Way area rich'''
Kenneth Prince	kenneth_prince_8701	97.0		'''Note: Because	 then Least thought'''
