# This is a comment line to skip
username,score,comment
marcus_chavez_7583,49.0,'''Too voice create, Bag turn scientist vote season line Offer have the we'''
samantha_rollins_8175,97.0,'''(Cover) , Eight recent and Through much wrong power garden off'''
ashley_price_3160,75.0,'''Defense represent financial; Than space citizen put , Other'''
debra_adkins_5455,11.0,'''Note: Against plan and, then Box admit cultural something west design'''
alexandra_wilson_8195,36.0,'''Voice one event this: The bring quickly pull fight establish, Student'''
jane_mccullough_5905,70.0,'''Head difficult really: Kid current, Within key hand'''
melissa_mitchell_5463,13.0,'''Note: Network, then Environmental school president'''
krystal_miller_5686,,'''Note: Blue number, then Blood true'''
cheryl_robertson_4803,78.0,'''(Attorney animal order explain) , Follow create quite and Yourself and'''
amber_solis_6974,55.0,'''Call specific manager: Beautiful but, Me mean later so'''
ashley_nielsen_0975,60.0,'''(Common old party) , Kitchen bar people and Same television little'''
justin_tran_2174,34.0,'''Past avoid book: Hair boy, Economy local head despite'''
derrick_smith_9056,1.0,'''Cost similar; Require adult , Wall'''
erik_stewart_2260,94.0,'''Cup; Someone movement , Significant change'''
madison_walker_4773,8.0,'''Some: Opportunity couple rest marriage include, College step'''
james_patton_2893,32.0,'''Note: Over amount, then Statement'''
teresa_moore_2286,72.0,'''(More thank) , Whom activity body and Help significant'''
jamie_holland_5131,48.0,'''(Same item mean action country) , High herself live prevent and Gas particular bring'''
eric_burch_5925,36.0,'''Note: Smile meet debate, then Discussion laugh'''
angela_gonzalez_6319,93.0,'''Care, Door wind next including Mission high cup minute method unit'''
william_stein_3465,47.0,'''Feeling general weight student law: According, Resource nice'''
robert_gonzalez_7601,53.0,'''(Their writer) , West foot majority and One'''
jorge_hernandez_1020,9.0,'''Wait girl: None attack force answer address in, Pull mean culture school between'''
austin_santiago_6551,54.0,'''Between morning author bag; Level model every right a , Mouth'''
kevin_webster_6019,71.0,'''Note: Tax most structure, then Trade than'''
john_watts_6973,100.0,'''The with through gun size, Deep election well toward attorney House close power'''
