# This is a comment line to skip
name;username;age;price;score;description;summary
Ann Palmer;ann_palmer_9884;51.0;33.1;24.2;"""Note: Politics financial school successful case; then Way public how week provide""";"""Your body commercial threat senior; Cause news idea space Candidate care quite"""
Phyllis Hays;phyllis_hays_9829;69.0;80.1;21.2;"""(Attention establish marriage) ; Matter meeting bill box represent group and Step avoid air""";"""(Whose bed force) ; Tv marriage again and Onto indeed"""
Jennifer Young;jennifer_young_0038;31.0;1.1;49.2;"""Evening dark check; Child Include increase activity recently""";"""(Firm south) ; Democratic according federal bag among and Drop guy together"""
Melissa Woodard;melissa_woodard_1387;40.0;87.1;84.2;"""Individual occur star; Key often list industry sell not Rest camera performance security""";"""Address everything final decade out; Firm leader Arrive case"""
Jared Morales;jared_morales_8760;77.0;31.1;45.2;"""Less human third state; Coach life movie wall ; Upon old station""";"""Weight reason present; Goal ; Speak show myself challenge future around"""
Sara Williams PhD;sara_phd_2795;36.0;97.1;64.2;"""(Yard coach score) ; If exist poor name difficult and Hour enjoy enough north age""";"""(Wish never wind) ; Ready and Team behind"""
Richard Parks;richard_parks_0556;92.0;47.1;36.2;"""Finish value; Plant answer Customer thank""";"""American; Thank cold Seem suddenly throughout"""
Matthew Nguyen;matthew_nguyen_6455;;79.1;54.2;"""(Beautiful produce) ; Whose and Must""";"""Discuss itself tend; Evidence agent ; Cause find state"""
Sara Davis;sara_davis_7434;56.0;57.1;32.2;"""(Report) ; National structure down work and Certain hold green know""";"""Miss exactly: Recognize education nation; During"""
Dr. Crystal Coleman;dr_coleman_0309;72.0;61.1;51.2;"""Weight whole; Professor animal concern Thank performance this""";"""Concern indeed letter baby science; Quality air Very decade probably"""
Adrienne Adams;adrienne_adams_2493;3.0;89.1;78.2;"""Technology best: Class audience president; Front majority""";"""Region fine radio recent; Research South seem no girl character"""
Kimberly Fischer;kimberly_fischer_7349;33.0;97.1;56.2;"""Investment among physical establish; People oil responsibility rock ; So""";"""(This) ; World provide stand and We age but"""
Catherine Taylor;catherine_taylor_4326;39.0;5.1;30.2;"""(Voice miss throw) ; Positive light win apply realize and Number expert""";"""Note: Sense have sound clearly development; then If guess charge bag argue"""
Christopher Ramos;christopher_ramos_1706;28.0;21.1;44.2;"""Specific within; Method practice deep ; Rock first throughout skill contain such""";"""Low project represent; Say same so push public realize Away later"""
Alexandra Wallace;alexandra_wallace_9269;56.0;85.1;91.2;"""Occur new up; Court other Often""";"""Note: Father rate; then Name worry"""
Brianna Murphy;brianna_murphy_3957;100.0;59.1;91.2;"""Tv third; Above almost study ; School these""";"""Yet thousand all west; Son ; Investment city knowledge"""
Matthew Shields;matthew_shields_2049;77.0;91.1;94.2;"""Note: Service; then Begin study also""";"""Parent part: Sign born; Actually analysis use interest these"""
Richard Adams;richard_adams_2316;36.0;67.1;94.2;"""(Color) ; Return ability range choice and Over deal civil""";"""(Beautiful hair) ; Nothing and Camera"""
James Perez;james_perez_3503;84.0;54.1;82.2;"""Land today within me better; End Particular dream quality like long police""";"""Guy attorney including by woman; Lot ; Seek west cup indicate necessary"""
Frederick Miller;frederick_miller_2348;45.0;68.1;47.2;"""Compare language situation artist analysis he; Suffer anything Whether big""";"""Natural whom response attorney sort body; Yeah figure End value something idea"""
Kelly Williams;kelly_williams_1792;13.0;18.1;;"""Involve structure; Car ; Involve market husband""";"""South feel through east; Prepare end father measure certain ; Industry size laugh man into"""
Monica Delgado;monica_delgado_8023;62.0;;1.2;"""Democrat area knowledge; Six have sense May entire toward""";"""(Physical class individual threat left) ; This season herself coach film get and Whatever us hear"""
Destiny Howell;destiny_howell_4508;70.0;41.1;2.2;"""Note: Herself design person; then Place bar weight whom""";"""When challenge use and; Environment Fall top"""
Michelle Acosta;michelle_acosta_8229;20.0;10.1;33.2;"""Officer international; Investment everyone Mrs show Player add""";"""Value order effort blue: Deal eat; Trouble control enough"""
Benjamin Foley;benjamin_foley_9181;86.0;6.1;93.2;"""Note: Table mother against add; then Money""";"""Apply gas kind; Benefit thus read improve four long ; College general"""
Mark Mercado;mark_mercado_4858;38.0;33.1;19.2;"""Main us; But society of education Would wind development want""";"""By adult our; Arm itself government One consider address"""
Mark Long;mark_long_1446;51.0;44.1;55.2;"""Congress organization front statement end order; Course action trip ; Service various speech""";"""Reason federal article production popular: Require ball; Try serious meet win skin"""
Thomas Gibbs;thomas_gibbs_8713;46.0;28.1;79.2;"""Family large citizen; Positive ; Difficult step""";"""(Reveal mean manage cost always) ; Trouble risk and Theory eye piece task"""
x;amber_vincent_0026;28.0;16.1;39.2;"""These fly: Growth generation; Form movement""";"""Theory box; Region yourself describe mind ; She individual middle"""
William Johnson;william_johnson_3940;52.0;99.1;36.2;"""Direction him perhaps western memory; Brother thank here Responsibility anything""";"""Increase indeed; And ; Ever safe"""
Tina Everett;tina_everett_7278;8.0;87.1;36.2;"""Model; Yard six person Station interest""";"""Note: Eat morning power heavy too; then Behind moment though computer"""
Angela Torres;angela_torres_5271;82.0;45.1;11.2;"""(Author) ; Thought and Month seven sea prevent stop""";"""Room she: Yard major; Wonder stage site left"""
