# This is a comment line to skip
name,rating,age,description
Ian Peters,8.0,19.1,'''Rest, Down study fast kitchen answer Save often hour'''
Joshua Mitchell,56.0,5.1,'''Common gas: Hundred hand expect dream effort factor, Girl these quite protect between'''
Steven Miller,69.0,82.1,'''Memory need itself, Affect suddenly There'''
Richard Raymond,83.0,54.1,'''Series imagine back; Season record , Model'''
Ronald Hale,28.0,36.1,'''Alone deal, Court key Concern budget skill'''
Shannon Carpenter,76.0,14.1,'''Season size central accept research mouth: Decade subject whom operation democratic officer, Push record phone degree'''
Desiree Thomas,58.0,7.1,'''(Member partner Congress) , Training per and Ok time teacher tough production'''
John Howard,56.0,80.1,'''Part; Month possible , Generation buy of apply summer'''
Scott Phillips,20.0,27.1,'''Series feel; Upon course red difference expect necessary , Down everything'''
Steven Ellis,18.0,9.1,'''Explain first market maybe week, Control Truth answer professional treat'''
Wayne Martin,25.0,85.1,'''Probably benefit audience just; Despite service , Work young international itself nature'''
Susan Garcia,10.0,81.1,'''Election general body pay improve generation structure: Cup rate tell notice often why, Eat skill'''
Jeffrey Horton,34.0,93.1,'''Note: Open listen support debate, then Hope probably again method'''
James Nichols,33.0,99.1,'''(Sister career defense pattern apply manager) , Year everybody and Fear bag'''
Nathan Smith,8.0,19.1,'''Analysis win item: Foreign particular seat, Open consider somebody force'''
William Erickson,36.0,81.1,'''Fight position last receive east mission; Matter out common , Moment woman not'''
l,86.0,71.1,'''Note: Seem light goal, then Read'''
Thomas Shea,23.0,79.1,'''After economy approach son eat; Pm , Another she'''
George Vargas,81.0,33.1,'''(Morning economy society) , Rule all field behind huge and Prove large form save'''
Jonathan Mcclain,92.0,42.1,'''Paper; Generation thousand life piece , Sort'''
Keith Mcknight,92.0,51.1,'''Note: Where represent, then Particular standard rest partner idea'''
William Phillips,47.0,37.1,'''Something by; Whom floor career , Unit life'''
Ryan Frazier,,68.1,'''Note: Deep including hot life piece, then President hotel head land will yeah'''
Arthur Perkins,18.0,,'''(Professor clear) , Describe matter although and Issue several'''
Kristen Wall,100.0,85.1,'''Administration company product firm; Or catch meeting , Left close note'''
Mikayla Lewis,89.0,16.1,'''Note: Half seek once concern, then Scientist he'''
Samantha Weber,21.0,77.1,'''Use cost above him some: Car young, Today difference'''
Tanner Lam,12.0,17.1,'''(Section pattern compare plant) , Short direction significant and Skill watch surface'''
Francisco Cook,87.0,51.1,'''Share heavy production usually, Thus Build stock court key'''
Sara Mcbride,83.0,47.1,'''Answer: Feeling say available must, Call front value'''
Stephen Thomas,30.0,53.1,'''Head: Fall watch thousand thought, Member model parent'''
Charles Collins,87.0,80.1,'''Body wonder: Daughter artist upon yet consider level, Face yourself song'''
Jordan Wilson,31.0,75.1,'''Note: Miss short let single, then Degree raise section'''
Brenda Carney,67.0,33.1,'''Note: Ten history believe, then Later until vote'''
Matthew Page,36.0,9.1,'''Note: Ok far matter, then Evening idea'''
Julia Smith,82.0,71.1,'''Team management trial, Address drive member Next respond strong'''
Angel Wheeler,18.0,86.1,'''Purpose report, Sometimes college cultural Writer unit fight give'''
Gabriel Oconnor,14.0,68.1,'''Material leader; Commercial marriage , Computer'''
Michael Lewis,34.0,82.1,'''Maintain everything there glass recognize war; Ready consumer several policy major , Action professor'''
Robert Mcgrath,60.0,73.1,'''(Early hundred when wait) , White crime and Box better ok'''
Melissa Moore,96.0,23.1,'''Support third seven: Culture, Attention report team bit'''
Brian Elliott,97.0,25.1,'''General agreement boy character, Most add Machine cold themselves decide'''
