username,name,score,age,total_count,summary,description
philip_morales_5104,Philip Morales,38.0,96.1,72.2,"""Middle long meeting effect, Professor speak mean try Check""","""Operation stay fund plan, Country play Result official"""
trevor_walker_2162,Trevor Walker,82.0,16.1,30.2,"""Maybe surface, Popular style number ever Edge each service agreement""","""(Hard poor) , Form left language camera and Bring market"""
jason_koch_7186,Jason Koch,80.0,,63.2,"""Its hour safe month even probably: Society bill report fish, Friend game""","""Always white employee north improve: Example fire line case join office, Ago threat always"""
debra_bates_7812,Debra Bates,65.0,27.1,51.2,"""Campaign rather say tonight talk; Sit bed fall agreement performance , Popular book pull eye class""","""Human; Summer management long clear , Travel class project"""
elizabeth_singh_3806,Elizabeth Singh,17.0,15.1,40.2,"""Author election always generation political, Across half serious win Heart argue old""","""Nearly executive during start image story; Right attention , Camera"""
david_jones_9066,David Jones,32.0,35.1,92.2,"""Note: Leader instead rule program, then Glass life""","""Model past fine individual; Cut cold commercial , Sea about project during"""
dennis_castillo_8789,Dennis Castillo,,33.1,37.2,"""Job your across and however: Face cost make hospital fish shoulder, Attorney life""","""Every region; Real , Similar culture item fund health"""
jay_cruz_3316,Jay Cruz,5.0,100.1,92.2,"""(And just) , Get serious and Daughter customer put who""","""Note: Include I truth, then Decade process service account"""
jonathan_rodgers_2550,Jonathan Rodgers,95.0,65.1,3.2,"""Look teach deal, Week whole begin star Term process law""","""Child organization term science sit hard: Again, Finish front"""
michelle_brewer_8754,Michelle Brewer,98.0,77.1,17.2,"""Which finish: Various before attorney itself, General position use make""","""Option half image: Behind citizen for explain, Worry person"""
gregory_bates_9887,Gregory Bates,98.0,66.1,100.2,"""Note: Put yeah, then Five""","""Note: Foreign remember commercial, then Expect"""
joseph_roberson_3389,Joseph Roberson,75.0,1.1,96.2,"""(Discuss) , Sign send yourself brother and Machine""","""(Live) , Look believe vote bad and But attack film"""
melissa_wade_4646,Melissa Wade,100.0,24.1,54.2,"""Note: Management present campaign human stage adult, then Western return if""","""Hospital quite away; Attack window story describe , Ago stand"""
aaron_payne_7501,Aaron Payne,53.0,90.1,1.2,"""Note: Section list avoid, then Structure central""","""Responsibility Republican form seek the worry: Build it, Usually important find"""
jessica_hernandez_2407,Jessica Hernandez,48.0,63.1,39.2,"""Red our watch; Agreement character material , Character if country wonder word""","""(Natural) , Body and Reach"""
rebecca_white_6427,Rebecca White,33.0,15.1,8.2,"""(Car ever police middle) , Medical side into manager people and Create firm support subject conference human""","""Be success significant stand, Arm toward color Scientist choose"""
anthony_alvarez_1899,Anthony Alvarez,17.0,74.1,,"""Note: Walk song, then Skill""","""(Friend them hour public) , Cost and Seek miss"""
marcus_young_4401,A,17.0,85.1,73.2,"""(Team) , About dog and Either cup thing American""","""Positive respond Mrs report speech take: Music onto not pay big however, Short continue black"""
eric_thomas_9369,Eric Thomas,43.0,4.1,75.2,"""Pay partner perhaps; Program , Home might stand week""","""Others history very: Issue charge, Evening increase order treatment"""
christopher_aguilar_2766,Christopher Aguilar,78.0,41.1,72.2,"""Beyond center; Spring between so , Such kind""","""(Message partner person indicate speech) , Former and Go with"""
karen_garcia_4181,Karen Garcia,63.0,77.1,86.2,"""Information former, Particularly house foreign lay them Collection hope""","""Could audience approach us: Leg election, Billion from"""
dean_duke_7854,Dean Duke,88.0,55.1,80.2,"""Knowledge let fund, Provide police participant Job brother idea item""","""Voice finish: Provide behavior hotel another, Development campaign off"""
travis_snow_3317,Travis Snow,41.0,20.1,18.2,"""Note: Now factor ever, then Meet general blood""","""Force any positive: Control environmental, New real everything business"""
matthew_fernandez_6269,Matthew Fernandez,95.0,80.1,35.2,"""Big position deal song because; Think , Begin try new woman""","""Follow mention indicate, Remain education Audience approach"""
robert_adams_9017,Robert Adams,16.0,32.1,46.2,"""Note: Mission crime, then Beat why moment""","""Involve soon; Street often , Stock generation rather"""
