username	name	total_count	salary	summary
joshua_simpson_5564	Joshua Simpson	16.0	25.1	'''(Member decision since) 	 Result and Human his Republican blood'''
john_rogers_8814	John Rogers	2.0	23.1	'''Spend production	 Power Mr So mention can teacher necessary'''
jeremy_boyd_3632	Jeremy Boyd	70.0	66.1	'''Moment animal	 Cell Expert upon close'''
david_blackwell_1431	David Blackwell	27.0	75.1	'''Cold despite people example notice: Challenge	 Care take'''
jaime_bailey_6503	Jaime Bailey	19.0	25.1	'''Note: Appear term I skill	 then Police kitchen subject'''
mckenzie_wood_4248	Mckenzie Wood	35.0	98.1	'''Finally half way arrive this live; Name end 	 Also'''
colton_moore_7687	Colton Moore	61.0	91.1	'''(Break assume industry field) 	 System over view civil let water and Skill trouble rich'''
linda_shaw_3351	Linda Shaw	33.0	72.1	'''Hour plan son	 Notice season Professor teach half generation hotel'''
veronica_hicks_1379	Veronica Hicks	53.0	15.1	'''Debate left choose hospital seat happen: Like	 Shoulder practice'''
amber_ferrell_0209	Amber Ferrell	98.0	56.1	'''Day interest: Rule into cultural watch	 Reason'''
donald_wheeler_8434	e	9.0	98.1	'''Point fine third her; Trial cause analysis image east 	 Onto accept sit different amount spend expert'''
michele_harvey_1569	Michele Harvey	82.0	14.1	'''(Trouble only couple body third bit left) 	 Per edge and Similar food price mouth listen'''
kristin_curtis_2752	Kristin Curtis	10.0	97.1	'''Guy even evening leg: Suffer fight TV	 Foreign'''
lori_kline_2583	Lori Kline	69.0	36.1	'''Note: Clear perhaps public better always	 then Read manage term them'''
sharon_duncan_1189	Sharon Duncan	99.0	81.1	'''(Kitchen according) 	 Dog mind old ten and Artist own dinner next'''
kimberly_dvm_8465	Kimberly Jenkins DVM	81.0	76.1	'''Bag nation: But perhaps	 Must view population heart may standard'''
douglas_thompson_4196	Douglas Thompson	21.0	27.1	'''(Set try way decade specific) 	 Gas bar himself cut and Forget'''
omar_noble_1044	Omar Noble	68.0	69.1	'''(Statement agent) 	 Suffer ok edge may and Score set idea'''
mary_chandler_3387	Mary Chandler	53.0	41.1	'''Note: After often push	 then Tonight civil only player certainly important'''
robert_anderson_4120	Robert Anderson	78.0	35.1	'''(Hope network he well) 	 Analysis explain anyone it and Time lead'''
sarah_butler_0722	Sarah Butler	15.0	56.1	'''Note: None sea light man south	 then Cold fight'''
keith_anthony_3837	Keith Anthony	25.0	62.1	'''Charge bad	 Feeling Suffer whose difficult range'''
andrew_moody_1970	Andrew Moody	68.0		'''(Create yourself practice central radio) 	 Worry fill administration and Wide address suffer whose'''
john_walton_0211	John Walton	76.0	67.1	'''Check recognize care: Would ahead interesting build remain	 Make edge all'''
kathy_murphy_9847	Kathy Murphy		20.1	'''Treat: Professor source	 Hot baby'''
