# This is a comment line to skip
name	username	price	age	total_count	remark
Edward Diaz	edward_diaz_3355	90.0	2.1	96.2	'''(Speech sometimes expert throw might) 	 Attack pattern leg office bank and Actually standard read various those'''
Nicole Meyer	nicole_meyer_1635	37.0	86.1		'''Reach sometimes I; Develop less outside participant 	 Talk field support defense officer past'''
Wendy Graham	wendy_graham_2215	30.0	22.1	35.2	'''Note: Party network	 then Recognize because'''
Jorge Simon	jorge_simon_6715	34.0	93.1	6.2	'''Also: Son else along	 Explain strong'''
Kelly Garcia	kelly_garcia_1264	43.0	57.1	56.2	'''Rock vote back; Claim 	 Side month ago'''
Jason Stevenson	jason_stevenson_5864	11.0	35.1	73.2	'''Note: Society mean edge fast	 then Manager hold always we'''
Scott Wall	scott_wall_6707	28.0	9.1	86.2	'''Note: Style article upon	 then Up white'''
Andrew Thomas	andrew_thomas_2254	15.0	17.1	65.2	'''Note: Father arrive least note history	 then Public become drive guy'''
Roger Green	roger_green_4276	15.0	96.1	57.2	'''(Black) 	 Team tend suddenly and Help beautiful partner'''
Dominique Hernandez	dominique_hernandez_5012	21.0	53.1	95.2	'''Create door test staff positive; Truth director song 	 Music father treat'''
Tina Snyder	tina_snyder_6826	31.0	86.1	79.2	'''(However) 	 Officer direction protect record specific fight and Head old it structure'''
Cory Lawrence	cory_lawrence_6413	53.0	33.1	56.2	'''Too Democrat look maintain: Laugh production both	 Nearly laugh together'''
Benjamin Mason	benjamin_mason_5931	92.0	96.1	74.2	'''Note: Treat man sell course discover few	 then Action'''
Mr. Adam Taylor	mr_taylor_6557	97.0	78.1	77.2	'''Serve note door real control	 Effect teacher base Training chair effort'''
Victor Pruitt	victor_pruitt_7520	12.0	3.1	88.2	'''Save main defense; Hair only industry 	 Woman drug'''
Joseph Garcia	joseph_garcia_0526	96.0	34.1	98.2	'''(The sign) 	 Significant car international and Commercial force that expect'''
Lisa Bowen	lisa_bowen_6174	26.0	8.1	24.2	'''Only wish; Be Mr able 	 Officer'''
Daniel Gomez	daniel_gomez_6706	38.0		51.2	'''Thing low: Senior surface character	 Reduce TV offer lot'''
Margaret Velazquez	margaret_velazquez_5435		39.1	73.2	'''(Test performance lose guess rule) 	 Low and Room at dinner deal'''
Terri Johnson	terri_johnson_9810	23.0	15.1	67.2	'''Tough community: Most exactly off eight almost	 Every course series book'''
Jonathan Bautista	jonathan_bautista_2986	44.0	78.1	27.2	'''Page various doctor least position	 Mr Front door pull scientist throw prevent'''
Kimberly Wong	kimberly_wong_9699	10.0	33.1	40.2	'''Read radio: To president car	 Theory'''
David Webster	david_webster_2782	30.0	22.1	14.2	'''Note: They reality certain	 then Include way both'''
Dr. Richard Cox	dr_cox_7224	6.0	87.1	83.2	'''Focus task upon stand traditional	 Both growth Box process effect discussion'''
Donald Wood	donald_wood_2571	45.0	18.1	47.2	'''Learn teacher	 Culture bill international Teach'''
Michelle Madden	michelle_madden_9253	44.0	25.1	89.2	'''(Concern car tax war) 	 Clearly professional husband and Case big seek religious focus able'''
Lisa Tucker DVM	lisa_dvm_2474	17.0	87.1	74.2	'''Prepare analysis end	 Make last Society drug animal guess sport'''
Margaret Whitaker	margaret_whitaker_5173	15.0	3.1	18.2	'''Tree they remain; Might draw small 	 Forget save'''
Rebecca Golden	rebecca_golden_6063	80.0	87.1	86.2	'''(Throw grow strong) 	 Son and International push ask'''
Kendra Riley	kendra_riley_2498	59.0	89.1	82.2	'''Citizen nothing; Number rich character majority 	 Society tend bit face'''
Michael Simmons	michael_simmons_8075	40.0	66.1	27.2	'''Develop: Party item also able rest sea	 Also month base more'''
Scott Lucero	scott_lucero_8383	27.0	51.1	92.2	'''Note: Whether statement top ok	 then Stop effect'''
Cesar Robles	cesar_robles_2695	24.0	34.1	97.2	'''Church quite read	 Author class Leg'''
Teresa Stevens	teresa_stevens_7908	13.0	28.1	20.2	'''(Difference just) 	 During form yes and Training sense discussion'''
Kathleen Lewis	kathleen_lewis_4784	21.0	54.1	18.2	'''Upon; Push 	 Research fish face base attention'''
Terri Mcdonald	terri_mcdonald_2356	33.0	36.1	57.2	'''According middle: Approach Congress bed surface pick	 Realize benefit enter through couple'''
Justin Mcdaniel	justin_mcdaniel_4450	22.0	74.1	54.2	'''(Five central onto entire bar) 	 Commercial and Partner'''
Paige Reyes	paige_reyes_0174	10.0	19.1	25.2	'''Pull beyond operation	 Glass church education despite Join life green'''
Pamela Duran	pamela_duran_9992	66.0	70.1	79.2	'''Weight; Could rule find 	 Security head'''
Wesley Washington	wesley_washington_9135	82.0	8.1	35.2	'''(Want or good age activity) 	 He street there include and Create manager'''
David Hampton	david_hampton_7652	68.0	18.1	87.2	'''Air; Executive 	 Factor easy view win federal rate'''
Susan Hernandez	susan_hernandez_1925	93.0	30.1	61.2	'''Note: Time sound certain	 then Rate follow yard mean'''
Marcus Hunt	marcus_hunt_5489	16.0	55.1	71.2	'''Whose black game city religious; Hard may 	 Attention something bar'''
Anthony Davis MD	anthony_md_5204	36.0	39.1	92.2	'''Bring kid; Finish sort figure third 	 On baby institution'''
e	shane_thompson_0215	45.0	61.1	52.2	'''Note: Together ever	 then Production when exist line attorney'''
