username;name;price;score;rating;description
kerry_bull_0214;e;60.0;70.1;55.2;'''Note: In distinctio; then Neque facilis'''
sheila_hunter_4060;Sheila Hunter;;92.1;91.2;'''Note: Officiis architecto saepe; then Quod velit iure laboriosam vero'''
mr_gibson_7505;Mr Edward Gibson;67.0;33.1;23.2;'''(Debitis) ; Voluptate repellat and Quo odit sit excepturi voluptatum iusto'''
miss_miles_9423;Miss Pamela Miles;59.0;8.1;45.2;'''Possimus natus nobis; Saepe nulla impedit Sint facere'''
miss_burke_9408;Miss Paula Burke;53.0;84.1;39.2;'''Non hic nesciunt eum; Fuga praesentium iusto voluptatem Saepe ducimus expedita voluptates'''
miss_knight_7046;Miss Donna Knight;49.0;61.1;7.2;'''Illum; Dolorum quod ; At rem'''
mohamed_herbert_3893;Mohamed Herbert;74.0;52.1;95.2;'''Note: Animi animi quod similique; then Ipsam quia libero itaque'''
katherine_ellis_2526;Katherine Ellis;18.0;31.1;74.2;'''Consectetur hic: Aspernatur; Officia magni temporibus tenetur'''
ms_fry_5226;Ms Julia Fry;34.0;;58.2;'''Note: Eaque in ea quasi; then Ab in dolores'''
irene_joyce_4765;Irene Kelly-Joyce;7.0;50.1;82.2;'''Odit non debitis; Voluptates doloribus cupiditate aliquam ; Soluta voluptates suscipit'''
dr_jones_9333;Dr William Jones;30.0;16.1;79.2;'''(Neque molestias asperiores) ; Totam dicta quam and Sit eligendi'''
dr_jones_8145;Dr Patrick Jones;69.0;24.1;91.2;'''Autem architecto; Iusto a ratione cupiditate Possimus'''
dr_bates_3701;Dr Brett Bates;82.0;92.1;99.2;'''Note: Rerum accusamus; then Dolores alias aspernatur'''
roy_turner_2510;Roy Brown-Turner;44.0;100.1;70.2;'''Delectus dolores fugiat at; Impedit natus odio commodi soluta neque neque Sapiente ratione'''
russell_evans_7568;Russell Evans;88.0;46.1;22.2;'''Provident dolorum exercitationem; Praesentium ; Delectus assumenda'''
mr_jackson_4313;Mr Max Jackson;28.0;97.1;46.2;'''Note: Suscipit ea magnam; then Quasi quo deserunt'''
dr_middleton_6019;Dr Timothy Middleton;3.0;18.1;56.2;'''Note: Quis perferendis; then Fugit nihil magni'''
jacqueline_harding_3263;Jacqueline Harding;92.0;38.1;54.2;'''Repellat quod facere: Quidem veritatis nisi; Explicabo'''
shirley_smart_7331;Shirley Smart;32.0;64.1;46.2;'''Aperiam harum; Similique ; Nisi veniam officia officia culpa'''
bryan_green_9394;Bryan Green;6.0;42.1;76.2;'''Veniam ad in alias dolore; Sit Eligendi enim'''
elaine_holt_4711;Elaine Holt;75.0;92.1;52.2;'''Ab eos molestiae consectetur delectus dignissimos; Non id sunt ; Atque asperiores'''
victoria_wall_6041;Victoria Wall;71.0;67.1;1.2;'''Note: Deleniti dolor impedit odit; then Hic illo voluptatum'''
garry_lane_3410;Garry Thompson-Lane;74.0;33.1;45.2;'''Cumque praesentium: Excepturi dolores esse; Aliquid nobis qui'''
lucy_jennings_1215;Lucy Jennings;55.0;99.1;97.2;'''Quod: Velit illo id; Deleniti doloribus'''
ashleigh_robinson_0323;Ashleigh Robinson;64.0;75.1;72.2;'''Minus tenetur mollitia assumenda; Earum nobis id quas qui hic Est repudiandae id porro'''
mr_riley_2794;Mr Clive Riley;9.0;2.1;;'''Asperiores veniam culpa iste quo aspernatur quaerat; Sit id quibusdam ; A aperiam'''
emma_palmer_1531;Emma Palmer;99.0;82.1;29.2;'''Ducimus voluptates consequatur facilis maiores; Repellat inventore Quod nobis'''
