name,rating,salary,age,note
Juan Howard,81.0,12.1,97.2,'''Improve onto, Front plan coach Allow far nice'''
Donald Roman,42.0,79.1,53.2,'''Miss rise notice; Great Mrs result beat , Own central actually'''
Michelle Benton,72.0,60.1,7.2,'''Cup left measure another; Whatever , Culture win'''
A,98.0,17.1,82.2,'''Upon little interesting month democratic bag; Leader difference , Two least'''
James Adkins DDS,64.0,,95.2,'''Note: Economy clearly once, then Son service throw discover they'''
Denise Stone,100.0,8.1,53.2,'''Bag none; Concern interview a , Republican relate hold before'''
Samuel Anderson,50.0,18.1,70.2,'''(Eat themselves model) , Camera part sister and Western stuff music'''
Russell Curtis,80.0,5.1,3.2,'''Note: Wife in brother, then Old center'''
Oscar Rose,51.0,23.1,60.2,'''Whatever in number down stock two: Owner hope, With'''
Grace Ortiz,36.0,93.1,91.2,'''Lay design do sing; Smile house , Among commercial'''
Haley Rangel,5.0,37.1,9.2,'''(Newspaper reduce voice at resource) , Himself claim into almost address and Especially base skill'''
Dennis Knight,4.0,1.1,84.2,'''Note: Check less black, then Per'''
Jacqueline Ryan,28.0,78.1,38.2,'''(Good long) , Stop and Statement south'''
Teresa Shaffer,66.0,48.1,74.2,'''Rich produce tax really including; Sing reveal check reveal , Owner base'''
Edward Owen,36.0,64.1,41.2,'''Which find blood gas put director; Executive spring difference in , Forward majority degree'''
Elizabeth Richardson,,35.1,58.2,'''Page finish, Debate marriage like election behind Stuff heart pressure must'''
Marcus Ballard,59.0,52.1,,'''Note: Claim far, then Short dog tree attack'''
Dr. James George,35.0,77.1,21.2,'''Site lead management, Like nation foreign from born Nature'''
Elizabeth Preston,11.0,76.1,15.2,'''Lay husband represent: Claim nearly, True lay'''
Robert Harper,65.0,26.1,82.2,'''Note: Whole, then Interest exactly reason'''
Christopher Smith,68.0,34.1,35.2,'''Might knowledge week, Sit Mr on'''
Timothy Obrien,97.0,72.1,66.2,'''Former heavy beat third value; Yes , Total prove'''
Brittany Ramirez,14.0,73.1,19.2,'''Score rise natural: Sign black law, Including heavy name central perform point'''
Brittany Murphy,41.0,65.1,26.2,'''(Must hair) , Hand health husband commercial and Interview base billion property skill'''
Cody Williams,59.0,86.1,63.2,'''City drop; Benefit describe same behind , Story rise'''
Stephanie Leon,39.0,43.1,92.2,'''Assume type: Country question majority follow manager, He man source air'''
Ms. Veronica Peterson MD,96.0,2.1,98.2,'''Yes; Size move eight base , Police market'''
Kevin Williams,61.0,90.1,5.2,'''Power throughout ask; He all president team style , Report life factor'''
Ann Carney,92.0,17.1,64.2,'''(Father though) , Approach reflect and Lose consumer stay food foreign during'''
